lambda_p,2,2,2,4,4,4,6,6,6
curve,dpki_lower_theory,dpki_sim,dpki_upper_theory,dpki_lower_theory,dpki_sim,dpki_upper_theory,dpki_lower_theory,dpki_sim,dpki_upper_theory
lambda,,,,,,,,,
1,,0.380718,,,0.298455,,,0.272799,
1.5,,0.409486,,,0.323861,,,0.294395,
2,,0.443524,,,0.350131,,,0.320594,
2.5,,0.479204,,,0.379655,,,0.349565,
3,0.317472,0.519499,0.573953,0.317472,0.416279,0.445712,0.317472,0.382015,0.402966
3.081633,0.322899,,0.583799,0.322899,,0.453349,0.322899,,0.409866
3.163265,0.328491,,0.593905,0.328491,,0.461198,0.328491,,0.416963
3.244898,0.334256,,0.604283,0.334256,,0.469269,0.334256,,0.424265
3.326531,0.340201,,0.614945,0.340201,,0.477573,0.340201,,0.431782
3.408163,0.346335,,0.625906,0.346335,,0.48612,0.346335,,0.439525
3.489796,0.352667,,0.637179,0.352667,,0.494923,0.352667,,0.447504
3.5,,0.568946,,,0.456799,,,0.419742,
3.571429,0.359208,,0.648779,0.359208,,0.503993,0.359208,,0.455731
3.653061,0.365967,,0.660724,0.365967,,0.513345,0.365967,,0.464219
3.734694,0.372955,,0.673031,0.372955,,0.522993,0.372955,,0.472981
3.816327,0.380186,,0.685719,0.380186,,0.532952,0.380186,,0.48203
3.897959,0.38767,,0.698807,0.38767,,0.543238,0.38767,,0.491382
3.979592,0.395423,,0.712317,0.395423,,0.55387,0.395423,,0.501054
4,,0.625578,,,0.508466,,,0.467471,
4.061224,0.403458,,0.726273,0.403458,,0.564865,0.403458,,0.511063
4.142857,0.411791,,0.740699,0.411791,,0.576245,0.411791,,0.521427
4.22449,0.42044,,0.755622,0.42044,,0.588031,0.42044,,0.532167
4.306122,0.429423,,0.77107,0.429423,,0.600246,0.429423,,0.543305
4.387755,0.438758,,0.787075,0.438758,,0.612916,0.438758,,0.554864
4.469388,0.448469,,0.803669,0.448469,,0.626069,0.448469,,0.566869
4.5,,0.689515,,,0.569549,,,0.528159,
4.55102,0.458576,,0.82089,0.458576,,0.639733,0.458576,,0.579347
4.632653,0.469106,,0.838777,0.469106,,0.653941,0.469106,,0.59233
4.714286,0.480085,,0.857371,0.480085,,0.668728,0.480085,,0.605847
4.795918,0.491544,,0.876721,0.491544,,0.684132,0.491544,,0.619936
4.877551,0.503513,,0.896874,0.503513,,0.700193,0.503513,,0.634633
4.959184,0.516027,,0.917888,0.516027,,0.716958,0.516027,,0.649981
5,,0.772677,,,0.638258,,,0.596398,
5.040816,0.529126,,0.939822,0.529126,,0.734474,0.529126,,0.666025
5.122449,0.542851,,0.962742,0.542851,,0.752796,0.542851,,0.682814
5.204082,0.557247,,0.986721,0.557247,,0.771984,0.557247,,0.700405
5.285714,0.572365,,1.011837,0.572365,,0.792101,0.572365,,0.718856
5.367347,0.588262,,1.03818,0.588262,,0.813221,0.588262,,0.738235
5.44898,0.604999,,1.065845,0.604999,,0.835422,0.604999,,0.758614
5.5,,0.887174,,,0.743415,,,0.69595,
5.530612,0.622643,,1.094942,0.622643,,0.858792,0.622643,,0.780076
5.612245,0.641271,,1.125588,0.641271,,0.88343,0.641271,,0.80271
5.693878,0.660969,,1.157919,0.660969,,0.909444,0.660969,,0.826619
5.77551,0.681829,,1.192083,0.681829,,0.936956,0.681829,,0.851914
5.857143,0.703959,,1.228247,0.703959,,0.966103,0.703959,,0.878722
5.938776,0.727479,,1.2666,0.727479,,0.997039,0.727479,,0.907186
6,,1.024104,,,0.876507,,,0.833557,
6.020408,0.752522,,1.307354,0.752522,,1.029938,0.752522,,0.937466
6.102041,0.779243,,1.350752,0.779243,,1.064997,0.779243,,0.969746
6.183673,0.807815,,1.397066,0.807815,,1.102441,0.807815,,1.004232
6.265306,0.838438,,1.446613,0.838438,,1.142525,0.838438,,1.041163
6.346939,0.871342,,1.499751,0.871342,,1.185547,0.871342,,1.080812
6.428571,0.90679,,1.5569,0.90679,,1.231845,0.90679,,1.123493
6.5,,1.232424,,,1.086076,,,1.033378,
6.510204,0.945089,,1.618541,0.945089,,1.281815,0.945089,,1.169573
6.591837,0.986599,,1.68524,0.986599,,1.335919,0.986599,,1.219479
6.673469,1.031739,,1.757661,1.031739,,1.3947,1.031739,,1.273713
6.755102,1.08101,,1.836588,1.08101,,1.458799,1.08101,,1.332869
6.836735,1.135004,,1.922959,1.135004,,1.528981,1.135004,,1.397655
6.918367,1.194435,,2.017896,1.194435,,1.606165,1.194435,,1.468922
7,1.260167,1.591962,2.122762,1.260167,1.415552,1.691465,1.260167,1.344984,1.547699
