lambda,runDir,txCount,maxSubmitToHashMs,maxHashToReceiptMs,maxTxTotalMs,maxSignMs,maxNonceMs,maxEstimateGasMs,slowTxOver1000ms,slowSubmitOver1000ms,meanBlockMs,configuredLambdaBlock
14.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_60_50_r200_blockms_60_lambda_14_r200,101,5.060699939727783,465.2358000278473,469.9442000389099,4.214299917221069,0.0096999406814575,0.0,0,0,60.0,16.666666666666668
16.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_60_50_r200_blockms_60_lambda_16_r200,101,9.882400035858154,290.5365000963211,295.0934000015259,4.227400064468384,0.0105999708175659,0.0,0,0,60.0,16.666666666666668
18.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_60_50_r200_blockms_60_lambda_18_r200,101,5.539799928665161,283.9574999809265,286.65520000457764,1.940000057220459,0.0101000070571899,0.0,0,0,60.0,16.666666666666668
20.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_60_50_r200_blockms_60_lambda_20_r200,101,6.033400058746338,317.4275999069214,320.5226000547409,1.600200057029724,0.00819993019104,0.0,0,0,60.0,16.666666666666668
2.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_60_50_r200_blockms_50_lambda_2_r200,101,6.449899911880493,377.0758999586105,384.3121000528336,3.6147000789642334,0.0094000101089477,0.0,0,0,50.0,20.0
4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_60_50_r200_blockms_50_lambda_4_r200,101,6.156499981880188,306.2148998975754,309.833899974823,2.682099938392639,0.009700059890747,0.0,0,0,50.0,20.0
6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_60_50_r200_blockms_50_lambda_6_r200,101,5.653600096702576,289.2002999782562,293.5587000846863,4.314200043678284,0.0087000131607055,0.0,0,0,50.0,20.0
8.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_60_50_r200_blockms_50_lambda_8_r200,101,10.681400060653688,298.8645000457764,301.66299998760223,2.819200038909912,0.0083000659942626,0.0,0,0,50.0,20.0
10.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_60_50_r200_blockms_50_lambda_10_r200,101,5.863399982452393,295.138200044632,298.07569992542267,2.0851000547409058,0.0088999271392822,0.0,0,0,50.0,20.0
12.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_60_50_r200_blockms_50_lambda_12_r200,101,5.478500008583069,277.8109999895096,282.24290001392365,2.409600019454956,0.0063999891281127,0.0,0,0,50.0,20.0
14.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_60_50_r200_blockms_50_lambda_14_r200,101,6.7210999727249146,308.7563999891281,311.3025999069214,1.8007999658584597,0.0076000690460205,0.0,0,0,50.0,20.0
16.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_60_50_r200_blockms_50_lambda_16_r200,101,6.543400049209595,303.6028000116348,305.8447999954224,2.8086999654769897,0.0098000764846801,0.0,0,0,50.0,20.0
18.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_60_50_r200_blockms_50_lambda_18_r200,101,5.607599973678589,183.47290003299716,187.29379999637604,1.906599998474121,0.0092999935150146,0.0,0,0,50.0,20.0
20.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_60_50_r200_blockms_50_lambda_20_r200,101,6.190999984741211,369.0657000541687,373.38609993457794,1.93340003490448,0.0090000629425048,0.0,0,0,50.0,20.0
