p,epsilon,DPKI_sim,PKI_sim,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho,lambdaTotalMeasured,pManageMeasured,gammaOnChainMeasured,qManageMeasured,muModelOffchainAuthMeasured,lambdaBlockMeasured,serviceCAs,pkiMuPrimaryAuthMeasured,pkiMuCrossExtraCertificateMeasured
0.0,0.1,0.1921530998409557,0.2152871350736,0.21394469115463516,0.19462684959564802,0.2278465045143778,0.11926709909625514,3.005499561584364,0.0,0.3,1.0083102744969776,5.608563833282985,27.68767392070838,4,6.299934316250032,6.299934316250032
0.05,0.1,0.2055770446718041,0.2788367157269862,0.23429591697333135,0.21234799525877734,0.31065832297667645,0.15750795140274382,3.005499561584364,0.05,0.30058479532163745,0.8257486355071274,5.348302642131252,28.090241571447688,4,5.339892838536616,5.339892838536616
0.1,0.1,0.2114153338816883,0.3127914791876212,0.24970972939500424,0.22291063146234175,0.3598126336763663,0.17922448887625503,3.005499561584364,0.1,0.3,0.8302806086025518,5.2889261487735535,25.929014349151405,4,5.181931847047792,5.181931847047792
0.15,0.1,0.2113565537405753,0.3805657237782402,0.2571851057258346,0.22791161218459471,0.44251656664049327,0.213052860179776,3.005499561584364,0.15,0.29934640522875816,0.8054789053944956,5.402380834876812,26.373454431937752,4,4.735750639372518,4.735750639372518
0.2,0.1,0.2188093311805729,0.4513970857585895,0.27662120492299114,0.24338973462410385,0.5279458440016649,0.24528580187263513,3.005499561584364,0.2,0.3,0.8334983698151144,5.254419711379124,26.099695324457,4,4.458789368958733,4.458789368958733
0.25,0.1,0.2330336249367388,0.3499147929853756,0.28782088136145245,0.2511925539180758,0.39959867277343486,0.2026248084973576,3.005499561584364,0.25,0.30074074074074075,0.8500756988661435,5.267583545978097,26.105841400442152,4,5.34792804183327,5.34792804183327
0.3,0.1,0.2420683193336624,0.5088499285473388,0.29999456347177056,0.260751209980942,0.6570879475507801,0.2906672959594245,3.005499561584364,0.3,0.3,0.8933274433806734,5.178885705519307,26.67098056703324,4,4.435304528708707,4.435304528708707
0.35,0.1,0.2751730944643067,0.6067832621209429,0.32398910163195366,0.279975214784061,0.8008144796711882,0.3348887871434186,3.005499561584364,0.35,0.29914529914529914,0.9251546523447919,4.986711744989153,26.36321005543773,4,4.040884026119158,4.040884026119158
0.4,0.1,0.2508414538358955,0.6435368857492908,0.32837266453206926,0.2809063139194494,0.9022650761392672,0.363673324624663,3.005499561584364,0.4,0.3,0.9190993277675009,5.145358284013738,26.299359869937053,4,3.9911410652187493,3.9911410652187493
