M,epsilon,DPKI_sim,PKI_sim,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho,lambdaTotalMeasured,pManageMeasured,gammaOnChainMeasured,qManageMeasured,muModelOffchainAuthMeasured,lambdaBlockMeasured,serviceCAs,pkiMuPrimaryAuthMeasured,pkiMuCrossExtraCertificateMeasured,runDir
2.0,0.1,0.3551641875487009,0.7211711958862768,0.482157821183788,0.4311605590877051,1.5513138348246758,0.7846260696081844,5.870066599793584,0.106,0.29826732673267325,0.616334152719802,4.704887847344093,28.139582793980885,2,4.532917074064705,4.532917074064705,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\final_fig4_lambda6_fixedseed\M\fig4_lambda6_fixedseed_M_2
3.0,0.1,0.4153103476039276,0.5855731722192872,0.5305078168217485,0.46956679293170056,0.8172064956215708,0.5666938532046278,5.870066599793584,0.106,0.29826732673267325,0.6406894193769419,4.407783053105184,25.658970389640164,3,4.119702944177305,4.119702944177305,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\final_fig4_lambda6_fixedseed\M\fig4_lambda6_fixedseed_M_3
4.0,0.1,0.4134291911967352,0.5873933083091561,0.5114051960982319,0.4555265695303796,0.8861367072825153,0.518546084251944,5.870066599793584,0.106,0.29826732673267325,0.6364492138541848,4.465091661777351,27.468793169281195,4,3.3269664234684626,3.3269664234684626,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\final_fig4_lambda6_fixedseed\M\fig4_lambda6_fixedseed_M_4
5.0,0.1,0.7211462361021833,0.6279938832800351,0.5751786617278145,0.5146932062119887,0.8726224735164492,0.4607819874595655,5.870066599793584,0.106,0.29826732673267325,0.802616281572889,3.957747821370504,27.736066673435882,5,2.9564672195516932,2.9564672195516932,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\final_fig4_lambda6_fixedseed\M\fig4_lambda6_fixedseed_M_5
6.0,0.1,0.9310606373235244,0.6940048934061241,0.6363407143667454,0.5707016322535101,0.8354517970905774,0.4041214661619479,5.870066599793584,0.106,0.29826732673267325,0.8858952804064231,3.7109392061302686,27.607819431255777,6,2.8189413573496203,2.8189413573496203,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\final_fig4_lambda6_fixedseed\M\fig4_lambda6_fixedseed_M_6
