scenario,series,min,max,mean
nodes_not_responding,PKI,0.0,0.9882539682539684,0.49412698412698414
nodes_not_responding,Lower,0.0,0.9826542470435944,0.8543911022174653
nodes_not_responding,Upper,0.0,0.98741378016729,0.8630201940871239
nodes_not_responding,Center,0.0,0.9850340136054422,0.8587056481522946
malicious_nodes,PKI,0.0,0.9882539682539684,0.49412698412698414
malicious_nodes,Lower,0.0,0.9826542470435944,0.4539619518872855
malicious_nodes,Upper,0.0,0.98741378016729,0.4641365458680131
malicious_nodes,Center,0.0,0.9850340136054422,0.4590473578805245
