epsilon,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho,DPKI_sim,PKI_sim,PKI_sim_raw,pkiNetworkCompensationSec,pkiNetworkCompensationMs,pkiAuthNetworkSetupMs,pkiOcspNetworkRttMs,pkiAuthCount,pkiOcspCount
0.0,0.08886918725245123,0.07330470424917584,0.2150710745420197,0.1374707251268268,0.0796529893328595,0.1764060281343984,0.1738094583303985,0.002596569804,2.596569804,1.48386291,1.40121465,1800,1800
0.05,0.09100937332779767,0.07396859568871489,0.23996116811509183,0.1374707251268268,0.0826258722796206,0.206326957162376,0.203541223380626,0.00278573378175,2.7857337817500003,1.48386291,1.40121465,1800,2070
0.1,0.09319936021337671,0.07465757317096527,0.264851261688164,0.1374707251268268,0.084023122143618,0.2331964625849241,0.2302215648254241,0.0029748977595,2.9748977595,1.48386291,1.40121465,1800,2340
0.15,0.09543979376382362,0.07537204944838444,0.28974135526123607,0.1374707251268268,0.0857588586117852,0.260483221070845,0.257319159333595,0.00316406173725,3.16406173725,1.48386291,1.40121465,1800,2610
0.2,0.09773133410916003,0.07611244640436955,0.3146314488343082,0.1374707251268268,0.0876457425699703,0.2761907437347818,0.2728375180197818,0.003353225715,3.353225715,1.48386291,1.40121465,1800,2880
0.25,0.10007465604942781,0.07687919530518501,0.33952154240738036,0.1374707251268268,0.0895229215204604,0.3145694154539517,0.3110270257612017,0.00354238969275,3.54238969275,1.48386291,1.40121465,1800,3150
0.3,0.10247044946254932,0.07767273706033911,0.3644116359804524,0.1374707251268268,0.0918384556816759,0.3341929578042691,0.3304614041337691,0.0037315536705,3.7315536705,1.48386291,1.40121465,1800,3420
0.35,0.10491941972593302,0.07849352249174177,0.38930172955352454,0.1374707251268268,0.0937735578194098,0.3711215490272708,0.3672008313790207,0.00392071764825,3.92071764825,1.48386291,1.40121465,1800,3690
0.4,0.10742228815236773,0.07934201261199042,0.4141918231265967,0.1374707251268268,0.0937652369637385,0.3873678358846623,0.3832579542586622,0.004109881626,4.109881626,1.48386291,1.40121465,1800,3960
0.45,0.10997979244077412,0.08021867891214729,0.43908191669966884,0.1374707251268268,0.0963269519667739,0.4214423205494887,0.4171432749457387,0.00429904560375,4.29904560375,1.48386291,1.40121465,1800,4230
0.5,0.11259268714240589,0.08112400365938693,0.463972010272741,0.1374707251268268,0.1001771978494819,0.4438369713110425,0.4393487617295425,0.0044882095815,4.4882095815000005,1.48386291,1.40121465,1800,4500
0.55,0.1152617441431232,0.08205848020491162,0.48886210384581313,0.1374707251268268,0.1019587029755186,0.4897334905964303,0.4850561170371802,0.0046773735592499,4.677373559249999,1.48386291,1.40121465,1800,4770
0.6,0.11798775316238688,0.08302261330254934,0.5137521974188852,0.1374707251268268,0.1029692105561752,0.5128001476082228,0.5079336100712228,0.004866537537,4.866537537,1.48386291,1.40121465,1800,5040
