level,model,kind,count,latencyMeanSec,latencyRawMeanSec,latencyMedianSec,queueMeanSec,serviceMeanSec,serviceRawMeanSec,serviceMedianSec,serviceStdSec,serviceCv,localNetworkCompensationMeanSec,stage,meanMs,medianMs,minMs,maxMs
request_type,DPKI,cross-domain,7020,0.1048211446585164,0.1048211446585164,0.0976714500039815,0.0020308435758872,0.1027903010826292,0.1027903010826292,0.0962564999908208,0.023975641597135,0.2332480919368249,0.0,,,,,
request_type,DPKI,intra-off-chain,11466,0.0518871835077851,0.0518871835077851,0.0510551999956369,0.0,0.0518871835077851,0.0518871835077851,0.0510551999956369,0.0050249348592195,0.0968434692252204,0.0,,,,,
request_type,DPKI,intra-on-chain,4914,0.1037830431011113,0.1037830431011113,0.0968520999997854,0.0013248132069024,0.1024582298942089,0.1024582298942089,0.0957907999902963,0.0234969083967057,0.2293315863544289,0.0,,,,,
request_type,DPKI,management,2600,0.2074249558231788,0.2074249558231788,0.2022304765199078,0.0018769032461693,0.2055480525770095,0.2055480525770095,0.1994645999968052,0.0297999896116921,0.1449782142816822,0.0,,,,,
request_type,PKI,cross-domain,7020,0.7112426461466075,0.7041539246366075,0.7013403500020504,0.0174838619728468,0.6937587841737606,0.6866700626637606,0.6901508000046015,0.1217251730127967,0.1772687927308132,0.00708872151,,,,,
request_type,PKI,intra-pki,16380,0.2021440001434771,0.1992589225834771,0.1819598999917507,0.0148878590792391,0.187256141064238,0.184371063504238,0.1741434500068426,0.0626089581638894,0.3395812606051939,0.00288507756,,,,,
request_type,PKI,management,2600,0.212036193671534,0.212036193671534,0.1918836000114679,0.0164092885945488,0.1956269050769851,0.1956269050769851,0.1878368999958038,0.0366697454839598,0.1874473527530845,0.0,,,,,
stage,DPKI,cross-domain,7020,,,,,,,,,,,dpkiOnchainAssertionSign,17.48871793458265,17.23955000936985,14.748600006103516,173.99489998817444
stage,DPKI,cross-domain,7020,,,,,,,,,,,dpkiOnchainAssertionVerify,9.18469289203315,9.046599999070168,8.271000027656555,87.10030001401901
stage,DPKI,cross-domain,7020,,,,,,,,,,,dpkiOnchainAuthenticateTx,50.52655431637567,44.00474999845028,10.087500005960464,246.83059999346733
stage,DPKI,cross-domain,7020,,,,,,,,,,,dpkiOnchainAuthSignature,1.6542845300969236,1.6310000121593475,1.525199979543686,3.077500015497208
stage,DPKI,cross-domain,7020,,,,,,,,,,,dpkiOnchainMptProofHttpQuery,1.998055213490273,1.9483999907970428,1.793500006198883,6.207500010728836
stage,DPKI,cross-domain,7020,,,,,,,,,,,dpkiOnchainMptProofResponseVerify,0.4214783190322397,0.4169999957084656,0.3294000029563904,1.6743000149726868
stage,DPKI,cross-domain,7020,,,,,,,,,,,dpkiOnchainMptProofSignerCertVerify,9.432083803428034,9.338899999856949,8.821199983358383,13.910700023174286
stage,DPKI,cross-domain,7020,,,,,,,,,,,dpkiOnchainMptVerify,0.3604276498286133,0.3385500013828277,0.3027999997138977,1.0824999809265137
