model,kind,count,latencyMeanSec,latencyRawMeanSec,latencyMedianSec,queueMeanSec,serviceMeanSec,serviceRawMeanSec,serviceMedianSec,serviceStdSec,serviceCv,localNetworkCompensationMeanSec
DPKI,intra-off-chain,300,0.06019588576380869,0.06019588576380869,0.05567589640788356,0.00042656742994447996,0.05976931833386421,0.05976931833386421,0.0554381500184536,0.010874489327708726,0.18194099633134744,0.0
PKI,intra-pki,300,0.05874587120950293,0.05586079364950293,0.051753549963235855,0.0003287083162350852,0.058417162893267836,0.05553208533326784,0.0511251500248909,0.011541027935876377,0.20782630197685814,0.00288507756
