dataKind,M,DPKI_upper_bound,DPKI_lower_bound,DPKI_experimental,PKI_theory,PKI_experimental,epsilon,lambdaTotalMeasured,pManageMeasured,gammaOnChainMeasured,qManageMeasured,muModelOffchainAuthMeasured,lambdaBlockMeasured,lambdaBlockHeightMeasured,lambdaBlockTxConfirmMeanMs,serviceCAs,pkiMuPrimaryAuthMeasured,pkiQManageMeasured,calibrationScope,PKI_rho,runDir,DPKI_upper_theory_pointMeasured,DPKI_lower_theory_pointMeasured,PKI_theory_pointMeasured,MPoint_pki_mu_scale
measured_point,2.0,0.1601371402788414,0.13474647059428888,0.11329935798198988,0.27845361810824354,0.28143533640191576,0.1,27.532474115792965,0.1,0.0,0.6,15.695911837632352,16.98015265795871,26.93591716425538,57.714439895843206,2.0,20.549726067062878,0.28993164298976076,M-pointwise-measured-parameters,0.7446098057915811,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_2_lambda_28_r10000,0.1601371402788414,0.13474647059428888,0.48398548430933763,1.12
measured_point,3.0,0.11455788020666421,0.08923018134479353,0.09084495144146641,0.1359862431507131,0.1277829264639056,0.1,27.532474115792965,0.1,0.0,0.6,15.669967101321555,17.046487554555984,26.93762554243851,57.48984926446488,3.0,20.82947368239283,0.28490452340681716,M-pointwise-measured-parameters,0.4921337650076783,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_3_lambda_28_r10000,0.11455788020666421,0.08923018134479353,0.17350285862110665,1.12
measured_point,4.0,0.10963412693800448,0.08317076215089492,0.08875127798074998,0.10983322038459901,0.10676245642429008,0.1,27.532474115792965,0.1,0.0,0.6,15.731196513242105,16.26066638354335,26.75218322657376,60.26813273727894,4.0,20.476974655262772,0.28944212809561876,M-pointwise-measured-parameters,0.37380271189089714,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_4_lambda_28_r10000,0.10963412693800448,0.08317076215089492,0.1331285024989819,1.12
measured_point,5.0,0.10907170447216144,0.0824691321405797,0.0884316573570758,0.09649190212963027,0.10047188310788606,0.1,27.532474115792965,0.1,0.0,0.6,15.685584650810194,16.21573267212888,26.663056316504512,60.4351354215647,5.0,20.62909945990059,0.2884424976924543,M-pointwise-measured-parameters,0.29712230963120984,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_5_lambda_28_r10000,0.10907170447216144,0.0824691321405797,0.11428457948635184,1.12
measured_point,6.0,0.10832359243643903,0.08249597850657572,0.08799143655935104,0.08842001110543896,0.09224661310322996,0.1,27.532474115792965,0.1,0.0,0.6,15.653663255561955,16.731466624387753,26.80584075092596,58.57227115831877,6.0,20.9358820545509,0.28495447751629716,M-pointwise-measured-parameters,0.24480418547215074,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_6_lambda_28_r10000,0.10832359243643903,0.08249597850657572,0.10339235931985757,1.12
measured_point,7.0,0.10790432892692906,0.08259305907082215,0.08778812360047078,0.08482619366907068,0.08916829268422032,0.1,27.532474115792965,0.1,0.0,0.6,15.634685222987887,17.09058116975209,26.984817876305982,57.34152573667075,7.0,20.722335830858007,0.28831038244490664,M-pointwise-measured-parameters,0.2113022530159749,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_7_lambda_28_r10000,0.10790432892692906,0.08259305907082215,0.09843341509338013,1.12
measured_point,8.0,0.10779065137145317,0.081891115305173,0.08777637738837563,0.08154317654160517,0.08725788285667813,0.1,27.532474115792965,0.1,0.0,0.6,15.735663830027008,16.610639642291268,26.967294307582474,58.99833005255775,8.0,20.813745987063843,0.28706205730358175,M-pointwise-measured-parameters,0.18430014940150666,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_8_lambda_28_r10000,0.10779065137145317,0.081891115305173,0.09410744375366387,1.12
measured_point,9.0,0.10651588080092836,0.08141895286303306,0.0872025891773735,0.07860776371486358,0.08572481830909044,0.1,27.532474115792965,0.1,0.0,0.6,15.805101451329989,17.077877702394417,26.88019422350565,57.384179526159635,9.0,21.003591181936773,0.2860254987340368,M-pointwise-measured-parameters,0.1625057876559,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_9_lambda_28_r10000,0.10651588080092836,0.08141895286303306,0.09034246174840158,1.12
plot_curve,2.0,0.1601371402788414,0.13474647059428888,0.11329935798198988,0.27845361810824354,0.28143533640191576,,,,,,,,,,,,,,,,,,,
plot_curve,2.5,0.1601371402788414,0.13474647059428888,0.11329935798198988,0.27845361810824354,0.28143533640191576,,,,,,,,,,,,,,,,,,,
plot_curve,2.5,0.11455788020666421,0.08923018134479353,0.09084495144146641,0.1359862431507131,0.1277829264639056,,,,,,,,,,,,,,,,,,,
plot_curve,3.5,0.11455788020666421,0.08923018134479353,0.09084495144146641,0.1359862431507131,0.1277829264639056,,,,,,,,,,,,,,,,,,,
plot_curve,3.5,0.10963412693800448,0.08317076215089492,0.08875127798074998,0.10983322038459901,0.10676245642429008,,,,,,,,,,,,,,,,,,,
plot_curve,4.5,0.10963412693800448,0.08317076215089492,0.08875127798074998,0.10983322038459901,0.10676245642429008,,,,,,,,,,,,,,,,,,,
plot_curve,4.5,0.10907170447216144,0.0824691321405797,0.0884316573570758,0.09649190212963027,0.10047188310788606,,,,,,,,,,,,,,,,,,,
plot_curve,5.5,0.10907170447216144,0.0824691321405797,0.0884316573570758,0.09649190212963027,0.10047188310788606,,,,,,,,,,,,,,,,,,,
plot_curve,5.5,0.10832359243643903,0.08249597850657572,0.08799143655935104,0.08842001110543896,0.09224661310322996,,,,,,,,,,,,,,,,,,,
