pf,ts_ms,m,timeoutMs,PKI,PKI_Exact,PKI_Observed,DPKI_Lower,DPKI_Upper,DPKI_Mean
0.0,80.0,6.0,80.0,0.9184419871134631,0.9222222222222223,0.9198,0.8934219919790551,0.9052174638032577,0.8993197278911564
0.0125,80.0,6.0,80.0,0.9104827986205201,0.9106944444444446,0.9119,0.8933869522879672,0.9051842004930981,0.8992855763905326
0.025,80.0,6.0,80.0,0.8928633751271048,0.8991666666666667,0.8944,0.8931495483913169,0.9049588213272736,0.8990541848592952
0.037500000000000006,80.0,6.0,80.0,0.8871274836248866,0.887638888888889,0.8887,0.8925285614328333,0.9043691996196166,0.898448880526225
0.05,80.0,6.0,80.0,0.8715362560293122,0.8761111111111112,0.8732,0.8913648481409787,0.9032639226923541,0.8973143854166664
0.0625,80.0,6.0,80.0,0.8623865882718973,0.8645833333333334,0.8641,0.8895202918915806,0.9015110930630665,0.8955156924773235
0.07500000000000001,80.0,6.0,80.0,0.8450995806738428,0.8530555555555557,0.8469,0.8868767763374558,0.8989971564657441,0.8929369664015999
0.08750000000000001,80.0,6.0,80.0,0.8403772331471084,0.8415277777777778,0.8422,0.8833351591530274,0.8956257791579718,0.8894804691554996
0.1,80.0,6.0,80.0,0.8265148379380011,0.8300000000000001,0.8284,0.8788142299973286,0.8913167904108349,0.8850655102040818
0.1125,80.0,6.0,80.0,0.8179786463755987,0.8184722222222223,0.8199,0.8732496458618331,0.886005197015094,0.8796274214384635
0.125,80.0,6.0,80.0,0.807436128568363,0.8069444444444445,0.8094,0.8665928465936463,0.8796402670131245,0.8731165568033854
0.1375,80.0,6.0,80.0,0.7968958867921199,0.7954166666666668,0.7989,0.8588099611610839,0.8721846720895617,0.8654973166253228
0.15000000000000002,80.0,6.0,80.0,0.7847521611391519,0.783888888888889,0.7868,0.8498807194437514,0.8636136738385614,0.8567471966411564
0.1625,80.0,6.0,80.0,0.7737147280752862,0.7723611111111112,0.7758,0.8397973846354908,0.8539143388193028,0.8468558617273968
0.17500000000000002,80.0,6.0,80.0,0.762579069131254,0.7608333333333334,0.7647,0.8285637186554863,0.8430847700044305,0.8358242443299584
0.1875,80.0,6.0,80.0,0.7443249267253723,0.7493055555555556,0.7465,0.8161939887847939,0.8311333464041949,0.8236636675944944
0.2,80.0,6.0,80.0,0.7375060087169727,0.7377777777777779,0.7397,0.8027120194956604,0.8180779668988981,0.8103949931972793
0.21250000000000002,80.0,6.0,80.0,0.7277802027119576,0.7262500000000001,0.73,0.7881502900210581,0.8039452977322376,0.7960477938766478
0.225,80.0,6.0,80.0,0.707530727208994,0.7147222222222223,0.7098,0.7725490759552769,0.7887700253747085,0.7806595506649927
0.23750000000000002,80.0,6.0,80.0,0.7038222665322738,0.7031944444444445,0.7061,0.7559556320088171,0.7725941176337948,0.764274874821306
0.25,80.0,6.0,80.0,0.6813748424246946,0.6916666666666667,0.6837,0.7384234126913448,0.7554660962372265,0.7469447544642857
