model,kind,stage,count,meanMs,medianMs,minMs,maxMs
DPKI,intra-on-chain,dpkiCrossRelayHttp,300,0,0,0,0
DPKI,intra-on-chain,dpkiOnchainAssertionSign,300,12.264315332571666,12.072499990463257,11.055899977684021,24.410600006580353
DPKI,intra-on-chain,dpkiOnchainAssertionVerify,300,9.58418533484141,9.247249990701675,8.4825000166893,71.80200004577637
DPKI,intra-on-chain,dpkiOnchainAuthenticateTx,300,62.23721133251985,58.063400000333786,12.408399999141693,181.54780000448227
DPKI,intra-on-chain,dpkiOnchainAuthSignature,300,1.9119100022315978,1.8415499925613403,1.721399962902069,4.854900002479553
DPKI,intra-on-chain,dpkiOnchainCertTransferHttp,300,1.0023816682895024,0.7450500130653381,0.023800015449523926,4.804400026798248
DPKI,intra-on-chain,dpkiOnchainMptProofHttpQuery,300,11.607399668892224,7.777850031852722,2.1366000175476074,49.86779999732971
DPKI,intra-on-chain,dpkiOnchainMptProofResponseVerify,300,0.4587006676197052,0.4490000009536743,0.3722999691963196,0.7958000302314758
DPKI,intra-on-chain,dpkiOnchainMptProofSignerCertVerify,300,10.011648667653402,9.91625002026558,9.282400012016296,13.602899968624115
DPKI,intra-on-chain,dpkiOnchainMptVerify,300,0.3853303337097168,0.3593500256538391,0.3097999691963196,0.9031999707221985
DPKI,intra-on-chain,dpkiOnchainOpenSslVerifyCert,300,9.654519000053405,9.53250002861023,8.866999983787537,15.99920004606247
DPKI,intra-on-chain,dpkiOnchainRelayHttp,300,0,0,0,0
DPKI,intra-on-chain,dpkiOnchainRootRead,300,2.0606263331572214,1.985949993133545,1.615500032901764,4.575200021266937
PKI,intra-pki,pkiCertTransferHttp,300,10.382681331237157,6.022000014781952,0.034999966621398926,37.214999973773956
PKI,intra-pki,pkiCrossRelayHttp,300,0,0,0,0
PKI,intra-pki,pkiLeafOcspHttpQuery,300,13.44358966489633,12.308799982070923,11.281799972057343,38.21299999952316
PKI,intra-pki,pkiOpenSslAssertionSign,300,12.204694000283878,11.954750001430511,11.040499985218048,20.426200032234192
PKI,intra-pki,pkiOpenSslAssertionVerify,300,9.659952334165574,9.259450018405914,8.278300046920776,78.06270003318787
PKI,intra-pki,pkiOpenSslVerifyLeaf,300,9.72979033390681,9.55689999461174,8.471200048923492,15.901899993419647
