Scheme,External payload B,On-chain storage B,Gas (10^3)
Our proposed DPKI,3923.0,590.0,216.527
Centralized PKI,1573.0,,
Multi-CA based DPKI,3740.0,,
full-contract DPKI,1298.0,1006.0,279.457
