pf,M,PKI_Availability,DPKI_Lower,DPKI_Upper
0,4,0.925506720610839,0.968842780336566,0.942692421387162
0,5,0.931137946611518,0.968861808223139,0.942711540443717
0,6,0.934665404149053,0.968862438732093,0.942712174197805
0,7,0.937079447020125,0.96886245751207,0.942712193078772
0,8,0.938834252394867,0.968862458014224,0.942712193583707
0,9,0.940166932945589,0.968862458026345,0.942712193595896
0,10,0.94121321801698,0.968862458026611,0.942712193596164
0,11,0.942056349409195,0.968862458026616,0.942712193596169
0,12,0.942750192472561,0.968862458026616,0.942712193596169
0.0344827586206897,4,0.890819477051203,0.968579397633696,0.942429075657374
0.0344827586206897,5,0.896239649254568,0.968843170478275,0.942692903973782
0.0344827586206897,6,0.899634900535761,0.968861158003496,0.942710893513171
0.0344827586206897,7,0.901958467031928,0.968862371117612,0.94271210668583
0.0344827586206897,8,0.903647503720091,0.968862452271159,0.942712187840695
0.0344827586206897,9,0.904930236481326,0.968862457649797,0.942712193219351
0.0344827586206897,10,0.905937307634227,0.968862458002264,0.942712193571817
0.0344827586206897,11,0.906748839143585,0.968862458025064,0.942712193594617
0.0344827586206897,12,0.907416677529951,0.968862458026519,0.942712193596072
0.0689655172413793,4,0.856330320542352,0.96761523772352,0.94146547034344
0.0689655172413793,5,0.861540644204859,0.968729253815677,0.942579026833997
0.0689655172413793,6,0.864804444214678,0.968848585511684,0.942698323791033
0.0689655172413793,7,0.867038051015744,0.968861034679307,0.942710770440052
0.0689655172413793,8,0.868661694599931,0.96886231337199,0.942712048954856
0.0689655172413793,9,0.869894764806517,0.968862443423774,0.942712178994249
0.0689655172413793,10,0.870862845978279,0.968862456560344,0.942712192129961
0.0689655172413793,11,0.871642958060964,0.968862457880093,0.942712193449651
0.0689655172413793,12,0.872284940274196,0.968862458012042,0.942712193581596
0.103448275862069,4,0.822039251084286,0.965505382126955,0.939358017997254
0.103448275862069,5,0.827040931462392,0.9683689581384,0.942219000166832
0.103448275862069,6,0.830174035185802,0.968792106042901,0.942641873557697
0.103448275862069,7,0.832318198971573,0.968852625704887,0.942702364587011
0.103448275862069,8,0.833876825034385,0.968861102113421,0.942710838025879
0.103448275862069,9,0.835060517921161,0.968862272779245,0.942712008384276
0.103448275862069,10,0.835989833049136,0.968862432888416,0.94271216846164
0.103448275862069,11,0.836738706161332,0.968862454632716,0.94271219020265
0.103448275862069,12,0.837354980705295,0.968862457570254,0.942712193139847
0.137931034482759,4,0.787946268677005,0.961844870387179,0.935703976546962
0.137931034482759,5,0.792740511027166,0.967546269227207,0.941397306975535
0.137931034482759,6,0.795743673449134,0.968623481367953,0.942473396906436
0.137931034482759,7,0.797798910899417,0.968820004880803,0.942669765285128
0.137931034482759,8,0.799292895023454,0.968855031356701,0.942704770352064
0.137931034482759,9,0.800427495825258,0.968861173234711,0.942710909276797
0.137931034482759,10,0.801318268846799,0.968862237601726,0.942711973236457
0.137931034482759,11,0.802036083444689,0.968862420448261,0.942712156026804
0.137931034482759,12,0.80262679882325,0.968862451651695,0.942712187222488
0.172413793103448,4,0.754051373320508,0.956268700069637,0.930141449296959
0.172413793103448,5,0.758639382899182,0.965990062597246,0.939843778972335
0.172413793103448,6,0.761513359004674,0.968228402885398,0.942078825274216
0.172413793103448,7,0.763480186799275,0.968725613395353,0.942575467397073
0.172413793103448,8,0.764909904567138,0.968833399226076,0.94268315521539
0.172413793103448,9,0.765995698518808,0.968856361609629,0.942706100699841
0.172413793103448,10,0.766848153371266,0.968861190785718,0.942710926962282
0.172413793103448,11,0.767535089911035,0.968862196498964,0.942711932173175
0.172413793103448,12,0.76810039462806,0.968862404360506,0.942712139948104
0.206896551724138,4,0.720354565014796,0.948451826762034,0.92234938492789
0.206896551724138,5,0.724737547078439,0.963383907354731,0.937243553426661
0.206896551724138,6,0.727483091852422,0.967438658245707,0.941290444852824
0.206896551724138,7,0.729362026671146,0.968500693778572,0.942350853719356
