pf,m,PKI,DPKI_Lower,DPKI_Upper,DPKI_Mean
1.0,4,0.0,0.0,0.0,0.0
1.0,5,0.0,0.0,0.0,0.0
1.0,6,0.0,0.0,0.0,0.0
1.0,7,0.0,0.0,0.0,0.0
1.0,8,0.0,0.0,0.0,0.0
1.0,9,0.0,0.0,0.0,0.0
1.0,10,0.0,0.0,0.0,0.0
1.0,11,0.0,0.0,0.0,0.0
1.0,12,0.0,0.0,0.0,0.0
0.9655172413793104,4,0.02741404739440206,0.00014119644225361923,0.0001372095312948958,0.00013920298677425752
0.9655172413793104,5,0.027498074835044316,0.0003415380474981209,0.00033080955357281844,0.00033617380053546967
0.9655172413793104,6,0.027552379081071436,1.7657532932065788e-05,1.7128175937349683e-05,1.7392854434707735e-05
0.9655172413793104,7,0.027590359331423207,3.988731492079906e-05,3.860838741228826e-05,3.924785116654366e-05
0.9655172413793104,8,0.027618413778648043,2.1984083287105477e-06,2.1305076823129836e-06,2.1644580055117657e-06
0.9655172413793104,9,0.027639983515124866,4.788623516687306e-06,4.6333137950371936e-06,4.71096865586225e-06
0.9655172413793104,10,0.02765708387294131,2.7485660371183296e-07,2.662142229897392e-07,2.705354133507861e-07
0.9655172413793104,11,0.027670973506943884,5.853024881864751e-07,5.661797787456251e-07,5.757411334660501e-07
0.9655172413793104,12,0.027682479035510466,3.4551673931589866e-08,3.345223276802068e-08,3.4001953349805275e-08
0.9310344827586207,4,0.0550144440535698,0.0010996881964726124,0.0010686862905333438,0.0010841872435029781
0.9310344827586207,5,0.05518307011836321,0.002589990316201893,0.002508841365403133,0.002549415840802513
0.9310344827586207,6,0.0552920477480415,0.00026677715017600027,0.0002587933720648328,0.0002627852611204165
0.9310344827586207,7,0.05536826642265227,0.0005856912041339243,0.0005669542715506706,0.0005763227378422974
0.9310344827586207,8,0.055424566019537755,6.431081342021688e-05,6.232780202596104e-05,6.331930772308896e-05
0.9310344827586207,9,0.055467852114567145,0.00013597623958737617,0.00013157487683360385,0.00013377555821049002
0.9310344827586207,10,0.055502169071303016,1.5551253612901642e-05,1.5063027273516065e-05,1.5307140443208855e-05
0.9310344827586207,11,0.055530042755249275,3.211639867630512e-05,3.1068960882038794e-05,3.1592679779171957e-05
0.9310344827586207,12,0.055553132022168765,3.7784317042577055e-06,3.658372393936099e-06,3.7184020490969022e-06
0.896551724137931,4,0.08280118997750302,0.0036105913853423906,0.003508975116137861,0.003559783250740126
0.896551724137931,5,0.08305498584995648,0.008274704920050993,0.008016153975064715,0.008145429447557855
0.896551724137931,6,0.08321900600090999,0.0012732489659178041,0.0012352159823460884,0.0012542324741319463
0.896551724137931,7,0.08333372127368698,0.0027149288444482606,0.0026282870938556676,0.002671607969151964
0.896551724137931,8,0.08341845672266894,0.0004452933496263627,0.0004315875706792485,0.0004384404601528056
0.896551724137931,9,0.08348360579832666,0.0009132497025294032,0.0008837531665618699,0.0008985014345456366
0.896551724137931,10,0.08353525559508493,0.00015603416879016323,0.0001511437822971123,0.00015358897554363775
0.896551724137931,11,0.08357720774491598,0.0003122739037662435,0.00030210923697185826,0.0003071915703690509
0.896551724137931,12,0.0836119589599747,5.4895078298977526e-05,5.315351833347253e-05,5.402429831622503e-05
0.8620689655172413,4,0.11077428516620182,0.008319372106879348,0.008085650967053503,0.008202511536966425
0.8620689655172413,5,0.11111382202982423,0.018541013549174895,0.01796338025944557,0.018252196904310233
0.8620689655172413,6,0.11133325383967702,0.0037873117138259873,0.003674408643093992,0.0037308601784599897
0.8620689655172413,7,0.11148672388452745,0.007837967046243507,0.007588494698562816,0.007713230872403162
0.8620689655172413,8,0.11160008588804171,0.001706342811659022,0.001653925619879754,0.0016801342157693878
0.8620689655172413,9,0.11168724456640348,0.003391990519812371,0.003282694453966804,0.0033373424868895878
0.8620689655172413,10,0.11175634344428714,0.0007693121444057936,0.0007452449816616514,0.0007572785630337225
0.8620689655172413,11,0.11181246847594409,0.0014908482784495305,0.001442424349981306,0.0014666363142154183
0.8620689655172413,12,0.11185895984892838,0.0003479590396942667,0.0003369389590438344,0.0003424489993690506
0.8275862068965517,4,0.13893372961966619,0.01578184643443079,0.015339318922747798,0.015560582678589292
0.8275862068965517,5,0.13935957865796644,0.03418089273242056,0.033119355666213844,0.033650124199317205
0.8275862068965517,6,0.13963479126434256,0.008686726202707107,0.008428326220885933,0.00855752621179652
0.8275862068965517,7,0.13982727425517366,0.017436175550459572,0.016882798288890694,0.017159486919675133
0.8275862068965517,8,0.13996945351565604,0.0047217107350655835,0.004576972802935244,0.004649341769000413
0.8275862068965517,9,0.14007876841879763,0.009090922383141211,0.008798759057427453,0.008944840720284331
0.8275862068965517,10,0.14016543261890965,0.002564884234215876,0.002484806672633563,0.0025248454534247196
0.8275862068965517,11,0.1402358249483336,0.004809155270926168,0.0046533202520716915,0.004731237761498929
0.8275862068965517,12,0.1402941346890298,0.0013965157356748306,0.0013523714051971668,0.0013744435704359987
0.7931034482758621,4,0.16727952333789614,0.026464180416675014,0.025723614183210827,0.026093897299942923
0.7931034482758621,5,0.16779225573438317,0.05566362509988054,0.053940746447284055,0.0548021857735823
0.7931034482758621,6,0.16812361827490663,0.016890573162753133,0.016389306205434696,0.016639939684093913
0.7931034482758621,7,0.16835537238562565,0.032858823965926647,0.0318192336696883,0.03233902881780747
0.7931034482758621,8,0.16852655960551194,0.010621285759961284,0.01029645895886347,0.010458872359412376
0.7931034482758621,9,0.1686581773555091,0.019791450000346267,0.0191572166079652,0.019474333304155732
0.7931034482758621,10,0.16876252311895248,0.006665313286839579,0.006457680691483347,0.006561496989161463
0.7931034482758621,11,0.16884727716208453,0.012082163880931189,0.01169168590875002,0.011886924894840604
0.7931034482758621,12,0.16891748348027893,0.00418854634370664,0.004056424746037986,0.004122485544872313
0.7586206896551724,4,0.1958116663208917,0.04074289007762134,0.03960520206895523,0.04017404607328828
0.7586206896551724,5,0.19641185325907434,0.0831664606454207,0.08060167789228308,0.08188406926885189
0.7586206896551724,6,0.19679973487136926,0.029283675482380513,0.02841679950741483,0.028850237494897672
0.7586206896551724,7,0.19707101827588336,0.055173618896753346,0.05343398754026587,0.05430380321850961
0.7586206896551724,8,0.1972714041576094,0.020687037776945687,0.020055978304594813,0.020371508040770252
0.7586206896551724,9,0.19742547137653788,0.037278782065131605,0.036087932000900186,0.036683357033015895
0.7586206896551724,10,0.1975476149444156,0.014562202926867726,0.014109688550595197,0.01433594573873146
0.7586206896551724,11,0.19764682511719686,0.025499325451548267,0.02467764189629876,0.025088483673923516
0.7586206896551724,12,0.1977290062226758,0.010254435641741106,0.009931736015834282,0.010093085828787693
0.7241379310344828,4,0.2245301585686528,0.05890484141660986,0.05726377802101601,0.05808430971881293
0.7241379310344828,5,0.22521837123204,0.1166052779892079,0.11302336256201598,0.11481432027561195
0.7241379310344828,6,0.2256631410537304,0.046651644835660824,0.04527439166124439,0.04596301824845261
0.7241379310344828,7,0.22597421192594686,0.08506577780949034,0.08239365760113326,0.0837297177053118
0.7241379310344828,8,0.22620398717194848,0.03622294486873871,0.03512103561427686,0.03567199024150779
0.7241379310344828,9,0.226380650481884,0.0630788661799553,0.061070906924845576,0.06207488655240044
0.7241379310344828,10,0.22652070809529903,0.027980796181253192,0.027113676173841455,0.027547236177547323
0.7241379310344828,11,0.22663446881367058,0.04729333071761845,0.045774365211872156,0.0465338479647453
0.7241379310344828,12,0.22672870291622044,0.02159802498994986,0.02092014172178489,0.021259083355867375
0.6896551724137931,4,0.2534350000811794,0.0811472504083118,0.07889206760095084,0.08001965900463132
0.6896551724137931,5,0.25421180965328005,0.15566524564023826,0.15090372852193243,0.15328448708108533
0.6896551724137931,6,0.25471383682198995,0.06962655270034351,0.06757711443282252,0.06860183356658302
0.6896551724137931,7,0.25506495333581597,0.12278053618978814,0.11893950523837132,0.12086002071407972
0.6896551724137931,8,0.255324308648529,0.05841555157568055,0.05664397940935584,0.05752976549251819
0.6896551724137931,9,0.25552371467154733,0.09823062767086135,0.09511587259282384,0.0966732501318426
0.6896551724137931,10,0.25568180257160267,0.04867460580961413,0.047170767122537524,0.04792268646607582
0.6896551724137931,11,0.25581020825150563,0.07935137263295554,0.07681216452009078,0.07808176857652316
0.6896551724137931,12,0.2559165735609127,0.040479905926064735,0.03921315170939972,0.03984652881773223
0.6551724137931034,4,0.2825261908584717,0.10757768300272941,0.10459582649083993,0.10608675474678467
0.6551724137931034,5,0.28339216852279464,0.19983148325886482,0.1937470475755926,0.19678926541722871
0.6551724137931034,6,0.2839518221761481,0.0986432257664702,0.0957490478322224,0.0971961367993463
0.6551724137931034,7,0.284343242505491,0.1681039845382655,0.16286876954935922,0.16548637704381236
0.6551724137931034,8,0.2846323685873512,0.0881998345278469,0.08553403527324409,0.08686693490054549
0.6551724137931034,9,0.28485466394552805,0.14311999750194826,0.1386015575520652,0.14086077752700674
0.6551724137931034,10,0.2850308983733267,0.07818206180199844,0.07577476026726143,0.07697841103462993
0.6551724137931034,11,0.2851740434307022,0.12284779936179566,0.11893306736706241,0.12089043336442903
0.6551724137931034,12,0.2852926181567528,0.0690809146076386,0.06692636474225795,0.06800363967494827
0.6206896551724138,4,0.31180373090052954,0.13821405512519558,0.13439384049328582,0.1363039478092407
0.6206896551724138,5,0.31275944784058374,0.24841972291932513,0.240893563498133,0.24465664320872907
0.6206896551724138,6,0.3133770971162049,0.13390616573558023,0.1299912125313393,0.13194868913345975
0.6206896551724138,7,0.3138090794349717,0.2203771317553061,0.21354811147358227,0.21696262161444418
0.6206896551724138,8,0.31412816698841495,0.1261425790011397,0.12234425929451834,0.12424341914782902
0.6206896551724138,9,0.31437349830382616,0.19739073691134779,0.19118916021875404,0.1942899485650509
0.6206896551724138,10,0.314567995500471,0.1175816519753917,0.11397497290925393,0.11577831244232281
0.6206896551724138,11,0.31472597435126015,0.1779664267415978,0.17232194056699324,0.17514418365429552
0.6206896551724138,12,0.3148568367037406,0.10910417324474973,0.10571424923713543,0.10740921124094258
0.5862068965517242,4,0.34126762020735285,0.17298463267637443,0.16821792553141368,0.17060127910389405
0.5862068965517242,5,0.3423136476066472,0.3006069703722696,0.2915491202697329,0.29607804532100124
0.5862068965517242,6,0.34298966164216,0.17536709351050914,0.17025975268649507,0.17281342309850212
0.5862068965517242,7,0.3434624641242581,0.27853809146450315,0.2699542567922465,0.2742461741283748
0.5862068965517242,8,0.34381170385172016,0.1723529974693233,0.16718483853273022,0.16976891800102678
0.5862068965517242,9,0.34408021774644143,0.2599371179501022,0.25181493907162117,0.25587602851086166
0.5862068965517242,10,0.34429309395303553,0.1672813888997795,0.16217221699855772,0.1647268029491686
0.5862068965517242,11,0.3444660010131794,0.2437606455823453,0.23607071857761086,0.2399156820799781
0.5862068965517242,12,0.3446092292018761,0.16139100110914212,0.15639816235759482,0.15889458173336846
0.5517241379310345,4,0.3709178587789419,0.2117280315322611,0.20591292764887134,0.2088204795905662
0.5517241379310345,5,0.37205476782098523,0.35546216630728905,0.3448147903090801,0.35013847830818456
0.5517241379310345,6,0.3727895157540138,0.2227131177757777,0.2162544091659974,0.21948376347088755
0.5517241379310345,7,0.3733033965733504,0.3411872878244666,0.3307369067604218,0.3359620972924442
0.5517241379310345,8,0.37368297917726706,0.22642784873858085,0.2196697722910428,0.22304881051481182
0.5517241379310345,9,0.37397482227337414,0.3289750998101537,0.31875869424383474,0.3238668970269942
0.5517241379310345,10,0.3742061937310205,0.22687361228486794,0.21997793519404749,0.2234257737394577
0.5517241379310345,11,0.3743941234164602,0.3181744891289521,0.30819818810234656,0.3131863386156493
