m,pf,PKI,DPKI_Lower,DPKI_Upper
8,0.0,0.8739856239820436,0.9384109682394709,0.9198215984705238
8,0.001001001001001001,0.873032104870235,0.9384109682350706,0.9198215984661234
8,0.002002002002002002,0.8720787433909462,0.9384109682294712,0.9198215984605241
8,0.003003003003003003,0.8711255395441768,0.9384109682224335,0.9198215984534865
8,0.004004004004004004,0.8701724933299274,0.9384109682136835,0.9198215984447364
8,0.005005005005005005,0.8692196047481977,0.9384109682029087,0.9198215984339615
8,0.006006006006006006,0.8682668737989876,0.938410968189754,0.9198215984208069
8,0.007007007007007007,0.8673143004822974,0.9384109681738172,0.9198215984048701
8,0.008008008008008008,0.8663618847981268,0.9384109681546446,0.9198215983856977
8,0.009009009009009009,0.8654096267464759,0.9384109681317254,0.9198215983627783
8,0.01001001001001001,0.8644575263273448,0.9384109681044859,0.9198215983355388
8,0.011011011011011011,0.8635055835407335,0.938410968072284,0.9198215983033368
8,0.012012012012012012,0.8625537983866417,0.9384109680344024,0.9198215982654552
8,0.013013013013013013,0.8616021708650697,0.9384109679900423,0.9198215982210953
8,0.014014014014014014,0.8606507009760176,0.9384109679383154,0.9198215981693684
8,0.015015015015015015,0.859699388719485,0.9384109678782362,0.9198215981092891
8,0.016016016016016016,0.8587482340954723,0.9384109678087138,0.9198215980397667
8,0.017017017017017015,0.8577972371039793,0.9384109677285429,0.9198215979595958
8,0.018018018018018018,0.8568463977450059,0.9384109676363946,0.9198215978674478
8,0.01901901901901902,0.8558957160185523,0.9384109675308064,0.9198215977618598
8,0.02002002002002002,0.8549451919246184,0.9384109674101715,0.9198215976412247
8,0.02102102102102102,0.8539948254632043,0.9384109672727274,0.9198215975037809
8,0.022022022022022022,0.8530446166343099,0.938410967116545,0.9198215973475989
8,0.023023023023023025,0.852094565437935,0.9384109669395158,0.9198215971705701
8,0.024024024024024024,0.8511446718740802,0.9384109667393385,0.9198215969703936
8,0.025025025025025023,0.8501949359427449,0.9384109665135066,0.9198215967445623
8,0.026026026026026026,0.8492453576439293,0.9384109662592928,0.9198215964903494
8,0.02702702702702703,0.8482959369776335,0.9384109659737341,0.9198215962047922
8,0.028028028028028028,0.8473466739438574,0.9384109656536179,0.9198215958846778
8,0.029029029029029027,0.8463975685426011,0.9384109652954632,0.9198215955265255
8,0.03003003003003003,0.8454486207738644,0.9384109648955052,0.9198215951265702
8,0.031031031031031032,0.8444998306376474,0.9384109644496765,0.9198215946807453
8,0.03203203203203203,0.8435511981339503,0.9384109639535896,0.919821594184663
8,0.03303303303303303,0.8426027232627727,0.9384109634025155,0.9198215936335947
8,0.03403403403403403,0.841654406024115,0.9384109627913664,0.9198215930224527
8,0.035035035035035036,0.840706246417977,0.9384109621146719,0.9198215923457671
8,0.036036036036036036,0.8397582444443586,0.9384109613665592,0.9198215915976651
8,0.037037037037037035,0.8388104001032601,0.9384109605407298,0.9198215907718486
8,0.03803803803803804,0.8378627133946812,0.9384109596304355,0.9198215898615698
8,0.03903903903903904,0.8369151843186221,0.9384109586284548,0.919821588859608
8,0.04004004004004004,0.8359678128750827,0.9384109575270683,0.9198215877582439
8,0.04104104104104104,0.835020599064063,0.9384109563180303,0.919821586549233
