pf,m,PKI,DPKI_Lower,DPKI_Upper,DPKI_Mean
0,4,0.870665175932483,0.892753169861418,0.871776803078817,0.882264986470118
0,5,0.873333872215721,0.89275393510113,0.871777568318529,0.882265751709829
0,6,0.875058565225872,0.892753958516503,0.871777591733902,0.882265775125203
0,7,0.876264811092407,0.892753959142241,0.87177759235964,0.88226577575094
0,8,0.87715581525087,0.892753959157032,0.871777592374431,0.882265775765731
0.0344827586206897,4,0.838033349124645,0.885547291124825,0.864215487409626,0.874881389267225
0.0344827586206897,5,0.840602024828992,0.891173665935145,0.869658798316249,0.880416232125697
0.0344827586206897,6,0.842262077739642,0.890861210131712,0.869360730543617,0.880110970337665
0.0344827586206897,7,0.843423114486423,0.891491646183054,0.869973130972264,0.880732388577659
0.0344827586206897,8,0.844280724529458,0.891459987878066,0.869944910609822,0.880702449243944
0.0689655172413793,4,0.805587871581573,0.867539684353869,0.846214721909189,0.856877203131529
0.0689655172413793,5,0.808057097890537,0.887687138203327,0.865695006426187,0.876691072314757
0.0689655172413793,6,0.809652879839311,0.885385735030214,0.863474755696814,0.874430245363514
0.0689655172413793,7,0.810768965640245,0.889706175331482,0.867655591057043,0.878680883194263
0.0689655172413793,8,0.811593372270287,0.889196542145718,0.867167039852461,0.87818179099909
0.103448275862069,4,0.773328743303266,0.840326134067262,0.8193211786055,0.829823656336381
0.103448275862069,5,0.775699091400356,0.880784520489248,0.858432025462138,0.869608272975693
0.103448275862069,6,0.777230971524878,0.873813790364691,0.851693049541616,0.862753419953154
0.103448275862069,7,0.778302364553872,0.886329234252077,0.863794901465848,0.875062067858962
0.103448275862069,8,0.779093758473359,0.884076576140512,0.861621421176757,0.872848998658635
0.137931034482759,4,0.741255964289724,0.805412774759043,0.784994559647071,0.795203667203057
0.137931034482759,5,0.74352800535845,0.869338496515868,0.846784968411856,0.858061732463862
0.137931034482759,6,0.744996352796343,0.854622635476219,0.832547657853036,0.843585146664627
0.137931034482759,7,0.746023311227305,0.879964349120449,0.857045045861801,0.868504697491125
0.137931034482759,8,0.746781883138672,0.873854229019336,0.851139872075259,0.862497050547297
0.172413793103448,4,0.709369534540948,0.764216090898585,0.744607597302942,0.754411844100763
0.172413793103448,5,0.711543839764818,0.852573603883003,0.8300086002036,0.841291102043302
0.172413793103448,6,0.712949023653707,0.82712237306441,0.805376170126127,0.816249271595269
