m,pf,PKI,DPKI_Mal_Lower,DPKI_Mal_Upper
8,0.0,0.8739856239820436,0.8723089360013346,0.8508431510487399
8,0.001001001001001001,0.873032104870235,0.8722516789600222,0.8507713874890203
8,0.002002002002002002,0.8720787433909462,0.8721943800336744,0.85069957473319
8,0.003003003003003003,0.8711255395441768,0.8721370370984902,0.8506277107272312
8,0.004004004004004004,0.8701724933299274,0.8720796466606303,0.850555792095367
8,0.005005005005005005,0.8692196047481977,0.8720222038785264,0.8504838141616008
8,0.006006006006006006,0.8682668737989876,0.8719647025850242,0.8504117709710999
8,0.007007007007007007,0.8673143004822974,0.8719071353093584,0.8503396553114128
8,0.008008008008008008,0.8663618847981268,0.8718494932989579,0.8502674587335254
8,0.009009009009009009,0.8654096267464759,0.8717917665410879,0.8501951715727573
8,0.01001001001001001,0.8644575263273448,0.8717339437843199,0.8501227829694945
8,0.011011011011011011,0.8635055835407335,0.8716760125598412,0.8500502808897635
8,0.012012012012012012,0.8625537983866417,0.8716179592025982,0.8499776521456486
8,0.013013013013013013,0.8616021708650697,0.871559768872274,0.8499048824155465
8,0.014014014014014014,0.8606507009760176,0.8715014255741069,0.8498319562642677
8,0.015015015015015015,0.859699388719485,0.8714429121795374,0.8497588571629735
8,0.016016016016016016,0.8587482340954723,0.8713842104467028,0.8496855675089642
8,0.017017017017017015,0.8577972371039793,0.8713253010407633,0.8496120686453057
8,0.018018018018018018,0.8568463977450059,0.8712661635540713,0.8495383408803027
8,0.01901901901901902,0.8558957160185523,0.8712067765261798,0.8494643635068204
8,0.02002002002002002,0.8549451919246184,0.8711471174636881,0.8493901148214431
8,0.02102102102102102,0.8539948254632043,0.871087162859932,0.8493155721434897
8,0.022022022022022022,0.8530446166343099,0.8710268882145162,0.8492407118338694
8,0.023023023023023025,0.852094565437935,0.8709662680526851,0.8491655093137878
8,0.024024024024024024,0.8511446718740802,0.8709052759445443,0.8490899390833034
8,0.025025025025025023,0.8501949359427449,0.8708438845241153,0.849013974739728
8,0.026026026026026026,0.8492453576439293,0.8707820655082443,0.8489375889958806
8,0.02702702702702703,0.8482959369776335,0.8707197897153505,0.8488607536981921
8,0.028028028028028028,0.8473466739438574,0.8706570270840222,0.8487834398446585
8,0.029029029029029027,0.8463975685426011,0.8705937466914617,0.8487056176026493
8,0.03003003003003003,0.8454486207738644,0.8705299167717697,0.8486272563265623
8,0.031031031031031032,0.8444998306376474,0.8704655047340859,0.8485483245753375
8,0.03203203203203203,0.8435511981339503,0.8704004771805732,0.8484687901298216
8,0.03303303303303303,0.8426027232627727,0.8703347999242513,0.8483886200099849
8,0.03403403403403403,0.841654406024115,0.8702684380066849,0.8483077804920004
8,0.035035035035035036,0.840706246417977,0.870201355715512,0.8482262371251662
8,0.036036036036036036,0.8397582444443586,0.8701335166018337,0.8481439547486948
8,0.037037037037037035,0.8388104001032601,0.8700648834974493,0.848060897508354
8,0.03803803803803804,0.8378627133946812,0.8699954185319462,0.8479770288729657
8,0.03903903903903904,0.8369151843186221,0.8699250831496435,0.8478923116507648
8,0.04004004004004004,0.8359678128750827,0.8698538381263846,0.8478067080056116
8,0.04104104104104104,0.835020599064063,0.8697816435861895,0.8477201794730688
8,0.04204204204204204,0.834073542885563,0.8697084590177584,0.8476326869763353
8,0.043043043043043044,0.8331266443395828,0.8696342432908319,0.8475441908420397
8,0.044044044044044044,0.8321799034261224,0.8695589546724102,0.8474546508159003
8,0.04504504504504504,0.8312333201451815,0.8694825508428206,0.8473640260782367
8,0.04604604604604605,0.8302868944967604,0.8694049889116527,0.8472722752593541
8,0.04704704704704705,0.829340626480859,0.8693262254335431,0.8471793564547817
8,0.04804804804804805,0.8283945160974775,0.8692462164238274,0.8470852272403844
8,0.04904904904904905,0.8274485633466157,0.8691649173740412,0.8469898446873262
8,0.050050050050050046,0.8265027682282734,0.8690822832672889,0.8468931653769086
8,0.05105105105105105,0.825557130742451,0.86899826859347,0.8467951454152695
8,0.05205205205205205,0.8246116508891482,0.8689128273643663,0.8466957404479482
8,0.05305305305305305,0.8236663286683652,0.8688259131285946,0.8465949056743208
8,0.05405405405405406,0.822721164080102,0.8687374789864141,0.8464925958618948
8,0.055055055055055056,0.8217761571243584,0.8686474776044041,0.8463887653604786
8,0.056056056056056056,0.8208313078011346,0.8685558612300021,0.8462833681162166
8,0.057057057057057055,0.8198866161104305,0.8684625817059071,0.8461763576854922
8,0.058058058058058054,0.8189420820522461,0.8683675904843483,0.8460676872487046
8,0.05905905905905906,0.8179977056265814,0.8682708386412161,0.8459573096239078
8,0.06006006006006006,0.8170534868334365,0.8681722768900633,0.8458451772803282
8,0.06106106106106106,0.8161094256728113,0.8680718555959707,0.8457312423517486
8,0.062062062062062065,0.8151655221447058,0.8679695247892805,0.8456154566497658
8,0.06306306306306306,0.81422177624912,0.8678652341792,0.8454977716769234
8,0.06406406406406406,0.813278187986054,0.8677589331672683,0.8453781386397103
8,0.06506506506506507,0.8123347573555076,0.8676505708606979,0.8452565084614398
8,0.06606606606606606,0.8113914843574811,0.8675400960855824,0.8451328317950001
8,0.06706706706706707,0.8104483689919743,0.8674274573999766,0.8450070590354789
8,0.06806806806806806,0.809505411258987,0.8673126031068498,0.8448791403326681
8,0.06906906906906907,0.8085626111585196,0.8671954812669026,0.844749025603436
8,0.07007007007007007,0.807619968690572,0.8670760397112647,0.8446166645439835
