epsilon,model,requestIndex,kind,onChain,crossDomain,arrivalOffsetMs,arrivalWallMs,finishWallMs,latencyMs,queueMs,serviceMs,workerId,chainReads,verifiedCertificateSteps,proofNodes,stageTimingsJson,chainTxCount,chainBlockNumbers,chainTxHashes
0,DPKI,115,intra-off-chain,false,false,235257.61571094434,244266.72001096647,244322.03981098573,55.31980001926422,0,55.31980001926422,0,1,1,65,"{""dpkiOffchainCertTransferHttp"":1.7225000262260437,""dpkiMptProofHttpQuery"":7.455799996852875,""dpkiMptProofSignerCertVerify"":9.966299951076508,""dpkiMptProofResponseVerify"":0.47499996423721313,""dpkiChainRootRead"":1.721399962902069,""dpkiMptVerify"":0.32770001888275146,""dpkiOpenSslVerifyCert"":9.290899991989136,""dpkiOffchainAssertionSign"":12.79069995880127,""dpkiOffchainAssertionVerify"":9.377400040626526,""dpkiAuthSignature"":1.7985999584197998}",0,,
0,DPKI,116,intra-off-chain,false,false,236763.95595133794,245773.06025136006,245826.98825139296,53.928000032901764,0,53.928000032901764,0,1,1,65,"{""dpkiOffchainCertTransferHttp"":1.5271999835968018,""dpkiMptProofHttpQuery"":7.4132000207901,""dpkiMptProofSignerCertVerify"":9.299899995326996,""dpkiMptProofResponseVerify"":0.41760003566741943,""dpkiChainRootRead"":2.1915000081062317,""dpkiMptVerify"":0.3532000184059143,""dpkiOpenSslVerifyCert"":9.784599959850311,""dpkiOffchainAssertionSign"":11.519999980926514,""dpkiOffchainAssertionVerify"":8.879499971866608,""dpkiAuthSignature"":2.15829998254776}",0,,
0,DPKI,117,intra-off-chain,false,false,236923.16317824574,245932.26747826787,245994.86287824364,62.59539997577667,0,62.59539997577667,0,1,1,65,"{""dpkiOffchainCertTransferHttp"":0.07819998264312744,""dpkiMptProofHttpQuery"":18.50499999523163,""dpkiMptProofSignerCertVerify"":9.515199959278107,""dpkiMptProofResponseVerify"":0.42739999294281006,""dpkiChainRootRead"":1.8587999939918518,""dpkiMptVerify"":0.3651999831199646,""dpkiOpenSslVerifyCert"":9.303799986839294,""dpkiOffchainAssertionSign"":11.779300034046173,""dpkiOffchainAssertionVerify"":8.564300000667572,""dpkiAuthSignature"":1.8149999976158142}",0,,
0,DPKI,118,intra-off-chain,false,false,237692.1680586156,246701.27235863774,246754.87705866664,53.60470002889633,0,53.60470002889633,0,1,1,65,"{""dpkiOffchainCertTransferHttp"":0.3367000222206116,""dpkiMptProofHttpQuery"":6.486599981784821,""dpkiMptProofSignerCertVerify"":9.660199999809265,""dpkiMptProofResponseVerify"":0.4456000328063965,""dpkiChainRootRead"":2.007799983024597,""dpkiMptVerify"":0.5918999910354614,""dpkiOpenSslVerifyCert"":9.300400018692017,""dpkiOffchainAssertionSign"":12.867300033569336,""dpkiOffchainAssertionVerify"":9.647199988365173,""dpkiAuthSignature"":1.879800021648407}",0,,
0,DPKI,119,intra-off-chain,false,false,238287.2014173042,247296.30571732632,247370.5124172937,74.20669996738434,0,74.20669996738434,0,1,1,65,"{""dpkiOffchainCertTransferHttp"":1.7754999995231628,""dpkiMptProofHttpQuery"":24.444099962711334,""dpkiMptProofSignerCertVerify"":9.659200012683868,""dpkiMptProofResponseVerify"":0.4339999556541443,""dpkiChainRootRead"":2.158500015735626,""dpkiMptVerify"":0.34619998931884766,""dpkiOpenSslVerifyCert"":9.692200005054474,""dpkiOffchainAssertionSign"":13.260000050067902,""dpkiOffchainAssertionVerify"":10.085900008678436,""dpkiAuthSignature"":1.9101999998092651}",0,,
0,DPKI,120,intra-off-chain,false,false,240656.3970431258,249665.50134314792,249727.6809431483,62.17960000038147,0,62.17960000038147,0,1,1,65,"{""dpkiOffchainCertTransferHttp"":1.0841999650001526,""dpkiMptProofHttpQuery"":12.927799999713898,""dpkiMptProofSignerCertVerify"":9.60290002822876,""dpkiMptProofResponseVerify"":0.4456999897956848,""dpkiChainRootRead"":2.2164000272750854,""dpkiMptVerify"":0.3441999554634094,""dpkiOpenSslVerifyCert"":9.881999969482422,""dpkiOffchainAssertionSign"":12.164499998092651,""dpkiOffchainAssertionVerify"":11.084399998188019,""dpkiAuthSignature"":2.0040000081062317}",0,,
0,DPKI,121,intra-off-chain,false,false,240920.6577481034,249929.76204812553,249978.98224812772,49.22020000219345,0,49.22020000219345,0,1,1,65,"{""dpkiOffchainCertTransferHttp"":0.616100013256073,""dpkiMptProofHttpQuery"":2.8917999863624573,""dpkiMptProofSignerCertVerify"":9.903199970722198,""dpkiMptProofResponseVerify"":0.5180000066757202,""dpkiChainRootRead"":2.2562000155448914,""dpkiMptVerify"":0.359000027179718,""dpkiOpenSslVerifyCert"":9.728299975395203,""dpkiOffchainAssertionSign"":11.916299998760223,""dpkiOffchainAssertionVerify"":8.772700011730194,""dpkiAuthSignature"":1.8612000346183777}",0,,
0,DPKI,122,intra-off-chain,false,false,242264.07190645125,251273.17620647338,251320.41020650056,47.23400002717972,0,47.23400002717972,0,1,1,65,"{""dpkiOffchainCertTransferHttp"":0.2662000060081482,""dpkiMptProofHttpQuery"":2.226700007915497,""dpkiMptProofSignerCertVerify"":9.122399985790253,""dpkiMptProofResponseVerify"":0.39149999618530273,""dpkiChainRootRead"":2.3652999997138977,""dpkiMptVerify"":0.33969998359680176,""dpkiOpenSslVerifyCert"":8.886900007724762,""dpkiOffchainAssertionSign"":11.897100031375885,""dpkiOffchainAssertionVerify"":8.946799993515015,""dpkiAuthSignature"":2.33050000667572}",0,,
0,DPKI,123,intra-off-chain,false,false,242361.62619613504,251370.73049615716,251440.0927961359,69.36229997873306,0,69.36229997873306,0,1,1,65,"{""dpkiOffchainCertTransferHttp"":2.0012999773025513,""dpkiMptProofHttpQuery"":22.28329998254776,""dpkiMptProofSignerCertVerify"":10.014899969100952,""dpkiMptProofResponseVerify"":0.4453999996185303,""dpkiChainRootRead"":1.9017000198364258,""dpkiMptVerify"":0.339400053024292,""dpkiOpenSslVerifyCert"":9.177599966526031,""dpkiOffchainAssertionSign"":12.211899995803833,""dpkiOffchainAssertionVerify"":8.820900022983551,""dpkiAuthSignature"":1.7782000303268433}",0,,
0,DPKI,124,intra-off-chain,false,false,242896.76180460068,251905.8661046228,251968.15920462224,62.293099999427795,0,62.293099999427795,0,1,1,65,"{""dpkiOffchainCertTransferHttp"":0.1162000298500061,""dpkiMptProofHttpQuery"":16.906800031661987,""dpkiMptProofSignerCertVerify"":9.450999975204468,""dpkiMptProofResponseVerify"":0.4230000376701355,""dpkiChainRootRead"":2.0954999923706055,""dpkiMptVerify"":0.35670000314712524,""dpkiOpenSslVerifyCert"":9.256200015544891,""dpkiOffchainAssertionSign"":12.087599992752075,""dpkiOffchainAssertionVerify"":9.278700053691864,""dpkiAuthSignature"":1.923799991607666}",0,,
