pf,ts_ms,m,timeoutMs,PKI,PKI_Exact,PKI_Observed,DPKI_Lower,DPKI_Upper,DPKI_Mean
0.0,80.0,6.0,80.0,0.9262034300057459,0.9222222222222223,0.9275,0.8934219919790551,0.9052174638032577,0.8993197278911564
0.0125,80.0,6.0,80.0,0.9057492401990681,0.9106944444444446,0.9072,0.8934219919755353,0.9052174637999162,0.8993197278877257
0.025,80.0,6.0,80.0,0.9019229383899106,0.8991666666666667,0.9034,0.8934219917537838,0.9052174635894081,0.899319727671596
0.037500000000000006,80.0,6.0,80.0,0.8909512605932566,0.887638888888889,0.8925,0.8934219894130738,0.905217461367377,0.8993197253902254
0.05,80.0,6.0,80.0,0.876162416719675,0.8761111111111112,0.8778,0.8934219775616893,0.9052174501168823,0.8993197138392858
0.0625,80.0,6.0,80.0,0.8698267714591247,0.8645833333333334,0.8715,0.8934219369811689,0.9052174115938783,0.8993196742875236
0.07500000000000001,80.0,6.0,80.0,0.8508274789140887,0.8530555555555557,0.8526,0.8934218277562479,0.9052173079068845,0.8993195678315662
0.08750000000000001,80.0,6.0,80.0,0.8422861974335667,0.8415277777777778,0.8441,0.8934215778705025,0.9052170706908428,0.8993193242806726
0.1,80.0,6.0,80.0,0.8257113613368354,0.8300000000000001,0.8276,0.8934210692677041,0.9052165878751529,0.8993188285714285
0.1125,80.0,6.0,80.0,0.8177778143299879,0.8184722222222223,0.8197,0.8934201213789142,0.9052156880458585,0.8993179047123864
0.125,80.0,6.0,80.0,0.8019147746349595,0.8069444444444445,0.8039,0.8934184721153685,0.9052141224019304,0.8993162972586495
0.1375,80.0,6.0,80.0,0.7894688196165776,0.7954166666666668,0.7915,0.8934157563272692,0.9052115443055345,0.8993136503164019
0.15000000000000002,80.0,6.0,80.0,0.777126070396566,0.783888888888889,0.7792,0.8934114817286805,0.9052074864260815,0.899309484077381
0.1625,80.0,6.0,80.0,0.7738150588137792,0.7723611111111112,0.7759,0.893405002288881,0.9052013354777119,0.8993031688832964
0.17500000000000002,80.0,6.0,80.0,0.7531504540595744,0.7608333333333334,0.7553,0.8933954890907376,0.9051923045496482,0.8992938968201929
0.1875,80.0,6.0,80.0,0.7434223829537773,0.7493055555555556,0.7456,0.8933818986569871,0.9051794030285277,0.8992806508427574
0.2,80.0,6.0,80.0,0.7397120535312764,0.7377777777777779,0.7419,0.8933629387457598,0.9051614041113831,0.8992621714285715
0.21250000000000002,80.0,6.0,80.0,0.7227674286125635,0.7262500000000001,0.725,0.8933370316172923,0.9051368099073221,0.8992369207623072
0.225,80.0,6.0,80.0,0.7062277337854028,0.7147222222222223,0.7085,0.8933022747745952,0.9051038141251443,0.8992030444498698
0.23750000000000002,80.0,6.0,80.0,0.7005148733076698,0.7031944444444445,0.7028,0.8932563991819096,0.9050602623430537,0.8991583307624816
0.25,80.0,6.0,80.0,0.6850822357755803,0.6916666666666667,0.6874,0.8931967249661611,0.9050036098552675,0.8991001674107143
0.2625,80.0,6.0,80.0,0.6769662717060463,0.680138888888889,0.6793,0.8931201146083445,0.9049308770885802,0.8990254958484624
0.275,80.0,6.0,80.0,0.6599353715408124,0.6686111111111112,0.6623,0.893022923633906,0.9048386025798216,0.8989307631068638
0.28750000000000003,80.0,6.0,80.0,0.6573309500321859,0.6570833333333332,0.6597,0.8929009488137929,0.9047227935025348,0.8988118711581639
0.30000000000000004,80.0,6.0,80.0,0.645511875264983,0.6455555555555555,0.6479,0.8927493738909472,0.9045788737281003,0.8986641238095238
0.3125,80.0,6.0,80.0,0.6337945397529786,0.6340277777777779,0.6362,0.8925627128506802,0.9044016294028684,0.8984821711267743
