pf,ts,pki_availability,dpki_lower,dpki_upper,dpki_advantage_lower,dpki_advantage_upper
0.0,0.5,0.8501447837311761,0.9199054783018206,0.8974598208595994,0.06976069457064449,0.04731503712842333
0.02040816326530612,0.5,0.831265266917954,0.9199054783018206,0.8974598208595994,0.08864021138386657,0.06619455394164542
0.04081632653061224,0.5,0.8124494844075522,0.9199054783018205,0.8974598208595994,0.1074559938942683,0.08501033645204725
0.061224489795918366,0.5,0.7936974361999707,0.9199054783018206,0.8974598208595994,0.12620804210184988,0.10376238465962873
0.08163265306122448,0.5,0.7750091222952096,0.9199054783018206,0.8974598208595993,0.144896356006611,0.12245069856438973
0.1020408163265306,0.5,0.7563845426932688,0.9199054783018206,0.8974598208595995,0.16352093560855174,0.1410752781663307
0.12244897959183673,0.5,0.7378236973941483,0.9199054783018205,0.8974598208595993,0.18208178090767213,0.15963612346545097
0.14285714285714285,0.5,0.7193265863978482,0.9199054783018205,0.8974598208595994,0.20057889190397227,0.17813323446175122
0.16326530612244897,0.5,0.7008932097043684,0.9199054783018205,0.8974598208595994,0.21901226859745204,0.196566611155231
0.18367346938775508,0.5,0.6825235673137089,0.9199054783018196,0.8974598208595986,0.23738191098811068,0.21493625354588974
0.2040816326530612,0.5,0.6642176592258697,0.9199054783018134,0.8974598208595922,0.2556878190759436,0.23324216163372247
0.22448979591836732,0.5,0.6459754854408509,0.9199054783017692,0.897459820859548,0.27392999286091824,0.2514843354186971
0.24489795918367346,0.5,0.6277970459586525,0.9199054783015086,0.8974598208592874,0.2921084323428561,0.26966277490063495
0.26530612244897955,0.5,0.6096823407792743,0.9199054783001608,0.8974598208579401,0.3102231375208865,0.28777748007866577
0.2857142857142857,0.5,0.5916313699027165,0.9199054782939456,0.8974598208517266,0.32827410839122917,0.3058284509490101
0.3061224489795918,0.5,0.573644133328979,0.9199054782680208,0.8974598208258099,0.3462613449390418,0.3238156874968309
0.32653061224489793,0.5,0.5557206310580618,0.9199054781690499,0.8974598207268772,0.3641848471109881,0.34173918966881545
0.3469387755102041,0.5,0.537860863089965,0.9199054778198671,0.8974598203778535,0.38204461472990214,0.3595989572878886
0.36734693877551017,0.5,0.5200648294246883,0.9199054766719196,0.8974598192305168,0.39984064724723123,0.3773949898058284
0.3877551020408163,0.5,0.5023325300622322,0.9199054731307528,0.8974598156915274,0.41757294306852055,0.3951272856292952
0.4081632653061224,0.5,0.4846639650025964,0.9199054628193165,0.897459805387355,0.4352414978167201,0.41279584038475864
0.42857142857142855,0.5,0.4670591342457808,0.9199054343304247,0.8974597769212931,0.4528463000846439,0.43040064267551226
0.44897959183673464,0.5,0.44951803779178573,0.9199053593145478,0.897459701973384,0.470387321522762,0.44794166418159825
0.4693877551020408,0.5,0.43204067564061077,0.919905170323812,0.8974595131752843,0.48786449468320126,0.4654188375346735
0.4897959183673469,0.5,0.41462704779225623,0.9199047132194916,0.897459056592906,0.5052776654272354,0.4828320088006498
0.5102040816326531,0.5,0.397277154246722,0.9199036486455047,0.8974579933759178,0.5226264943987826,0.5001808391291958
0.5306122448979591,0.5,0.3799909950040082,0.9199012549666772,0.8974556030935786,0.5399102599626691,0.5174646080895704
0.5510204081632653,0.5,0.36276857006411467,0.9198960466759504,0.8974504030107955,0.5571274766118357,0.5346818329466808
0.5714285714285714,0.5,0.34560987942704136,0.9198850577223787,0.8974394332577663,0.5742751782953374,0.551829553830725
0.5918367346938775,0.5,0.32851492309278846,0.9198625341183355,0.89741695323196,0.5913476110255471,0.5689020301391716
0.6122448979591836,0.5,0.31148370106135603,0.9198176145513286,0.897372129826679,0.6083339134899726,0.585888428765323
0.6326530612244897,0.5,0.29451621333274375,0.919730325305714,0.8972850472719976,0.6252141119729702,0.6027688339392538
0.6530612244897959,0.5,0.2776124599069518,0.9195648447347088,0.8971200001714607,0.641952384827757,0.6195075402645088
0.673469387755102,0.5,0.26077244078398026,0.9192584686825531,0.89681451246224,0.6584860278985729,0.6360420716782598
0.6938775510204082,0.5,0.24399615596382898,0.9187040036515083,0.8962618289441953,0.6747078476876793,0.6522656729803663
0.7142857142857142,0.5,0.22728360544649817,0.9177224246038943,0.8952837504419714,0.6904388191573961,0.6680001449954732
0.7346938775510203,0.5,0.21063478923198758,0.9160216101491293,0.8935896832093055,0.7053868209171417,0.682954893977318
0.7551020408163265,0.5,0.19404970732029733,0.9131359721139773,0.8907168160089232,0.71908626479368,0.6966671086886258
0.7755102040816326,0.5,0.17752835971142736,0.9083411964073281,0.8859458001506896,0.7308128366959008,0.7084174404392622
0.7959183673469387,0.5,0.16107074640537788,0.9005388291654757,0.878186922954167,0.7394680827600978,0.7171161765487891
0.8163265306122448,0.5,0.1446768674021486,0.8881083858159013,0.86583486219171,0.7434315184137528,0.7211579947895614
0.836734693877551,0.5,0.12834672270173964,0.8687322850396366,0.846597970500887,0.740385562337897,0.7182512477991474
0.8571428571428571,0.5,0.112080312304151,0.8392149474351266,0.8173244387597455,0.7271346351309755,0.7052441264555944
0.8775510204081632,0.5,0.09587763620938274,0.7953478469539279,0.7738786829825721,0.6994702107445452,0.6780010467731894
0.8979591836734693,0.5,0.07973869441743488,0.7319265609364818,0.7111763755863226,0.6521878665190469,0.6314376811688878
0.9183673469387754,0.5,0.06366348692830724,0.643118358889447,0.6235802484254845,0.5794548719611398,0.5599167614971773
0.9387755102040816,0.5,0.0476520137419999,0.5235313506257693,0.5060130540531079,0.4758793368837694,0.458361040311108
0.9591836734693877,0.5,0.03170427485851296,0.3705809546210492,0.35639139823872495,0.3388766797625362,0.324687123380212
0.9795918367346939,0.5,0.015820270277846327,0.18913366529180697,0.18037210368005463,0.17331339501396065,0.1645518334022083
1.0,0.5,0.0,0.0,0.0,0.0,0.0
0.0,0.5204081632653061,0.8568329815220225,0.9243174954490855,0.9027189430700672,0.067484513927063,0.045885961548044696
0.02040816326530612,0.5204081632653061,0.8378049371343698,0.9243174954490855,0.9027189430700672,0.08651255831471572,0.0649140059356974
0.04081632653061224,0.5204081632653061,0.8188411284554524,0.9243174954490855,0.9027189430700671,0.10547636699363305,0.08387781461461463
0.061224489795918366,0.5204081632653061,0.7999415554852708,0.9243174954490855,0.9027189430700672,0.12437593996381469,0.10277738758479638
0.08163265306122448,0.5204081632653061,0.7811062182238246,0.9243174954490855,0.9027189430700672,0.14321127722526084,0.12161272484624253
0.1020408163265306,0.5204081632653061,0.7623351166711139,0.9243174954490856,0.9027189430700672,0.16198237877797173,0.1403838263989533
0.12244897959183673,0.5204081632653061,0.7436282508271387,0.9243174954490854,0.9027189430700672,0.1806892446219467,0.1590906922429285
0.14285714285714285,0.5204081632653061,0.7249856206918991,0.9243174954490854,0.9027189430700672,0.19933187475718628,0.17773332237816808
0.16326530612244897,0.5204081632653061,0.7064072262653949,0.9243174954490854,0.9027189430700671,0.2179102691836905,0.1963117168046722
0.18367346938775508,0.5204081632653061,0.6878930675476262,0.9243174954490846,0.9027189430700664,0.23642442790145834,0.21482587552244015
0.2040816326530612,0.5204081632653061,0.6694431445385931,0.9243174954490782,0.9027189430700597,0.25487435091048505,0.23327579853146663
0.22448979591836732,0.5204081632653061,0.6510574572382954,0.9243174954490337,0.9027189430700158,0.2732600382107383,0.2516614858317203
0.24489795918367346,0.5204081632653061,0.6327360056467334,0.9243174954487723,0.9027189430697544,0.2915814898020389,0.26998293742302104
0.26530612244897955,0.5204081632653061,0.6144787897639068,0.9243174954474204,0.9027189430684024,0.30983870568351357,0.2882401533044956
0.2857142857142857,0.5204081632653061,0.5962858095898157,0.9243174954411841,0.9027189430621678,0.32803168585136844,0.3064331334723521
