lambda,epsilon,DPKI_sim,PKI_sim,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho,lambdaTotalMeasured,pManageMeasured,gammaOnChainMeasured,qManageMeasured,muModelOffchainAuthMeasured,lambdaBlockMeasured,serviceCAs,pkiMuPrimaryAuthMeasured,pkiMuCrossExtraCertificateMeasured
5.0,0.1,0.0864852308000624,0.0811148609997034,0.10990415861731868,0.08898938977499703,0.09124011782089411,0.08774379950612685,5.073458581433149,0.1,0.3012345679012346,0.3656937470613416,15.365529467570422,30.119186759460472,4,18.190430605664147,20.958260313253813
8.0,0.1,0.0907511446002125,0.09482653000018,0.12792309071988173,0.10259645150073347,0.11768779351659836,0.15814759867328965,7.594806385828706,0.1,0.3012345679012346,0.3979423245795739,14.352735037632636,30.131724754491078,4,15.059472702189234,20.836120164554337
11.0,0.1,0.0949334090002775,0.1532989163993299,0.16562756324339037,0.13098326928281268,0.18620353504753892,0.3155129791102939,11.657270556882006,0.1,0.3012345679012346,0.3870261110343749,14.17056084616214,30.53952559333871,4,11.30975145901023,20.853137129562384
14.0,0.1,0.0971650441992879,0.2481891754004061,0.20177389458123557,0.15970048357720257,0.27901396084200014,0.4516574961647436,13.485828892757104,0.1,0.3012345679012346,0.38478096170569165,13.730973928288458,30.770630741592427,4,8.765213415687157,21.02759203972585
17.0,0.1,0.0970589010005593,0.2827170619997382,0.263589445157415,0.20520608752055652,0.3921011592442709,0.5924105628876364,16.84540528869103,0.1,0.3012345679012346,0.381830251595045,14.264257630656711,30.321536202730965,4,8.230890334325439,21.129126048822133
20.0,0.1,0.1119261328000426,0.2800232530002296,4.524498848624334,3.600279789594843,0.5987196029679945,0.7298728443425908,20.80890497944104,0.1,0.3012345679012346,0.44519883982784675,11.807247904558,30.759579598818913,4,8.284919994220274,21.16483601941388
