epsilon,DPKI_lower_theory,DPKI_sim,DPKI_upper_theory,DPKI_inside_bounds,PKI_theory,PKI_sim,PKI_abs_error,DPKI_minus_PKI
0.0,0.192466427177997,0.1467945080003142,0.21164337396052577,False,0.21616744046945377,0.1623602540004253,0.05380718646902846,-0.015565746000111097
0.05,0.19662022472356067,0.1728761189994216,0.2178888775651888,False,0.22272417483538384,0.1884818009996414,0.03424237383574244,-0.015605682000219806
0.1,0.2010575451184805,0.1810093320001662,0.22450153458745642,False,0.2292809092013139,0.1673196399991214,0.0619612692021925,0.013689692001044806
0.15,0.20579307290718968,0.1530110529994964,0.23149898322576357,False,0.235837643567244,0.1910830129988491,0.044754630568394876,-0.0380719599993527
0.2,0.21084252928572522,0.1864980029995739,0.2389001062410706,False,0.24239437793317403,0.1868178339998424,0.05557654393333164,-0.0003198310002685001
0.25,0.21622276472867366,0.1856474830000102,0.2467251422053527,False,0.2489511122991041,0.1966357339994609,0.052315378299643195,-0.010988250999450722
0.3,0.2219518617577395,0.2037766509996354,0.25499580892962226,False,0.2555078466650341,0.1862468229991197,0.06926102366591441,0.017529828000515696
0.35,0.2280492491710886,0.274273981000632,0.2637354406556691,False,0.2620645810309642,0.2519787840007245,0.010085797030239707,0.022295196999907507
0.4,0.23453582925240635,0.2426757560004294,0.27296914083562507,True,0.26862131539689427,0.2306861740003526,0.037935141396541666,0.011989582000076798
0.45,0.2414341197130999,0.2849034350004792,0.28272395260505734,False,0.27517804976282434,0.2169339630000293,0.05824408676279505,0.06796947200044992
0.5,0.24876841239707914,0.2576804419997334,0.2930290493867478,True,0.2817347841287544,0.2019639090004563,0.07977087512829811,0.05571653299927709
