model,kind,count,latencyMeanSec,latencyMedianSec,queueMeanSec,serviceMeanSec,serviceMedianSec
DPKI,cross-domain,1238,0.10008416736669995,0.09080364999920129,3.015298845309621e-05,0.10005401437824685,0.09076635000109673
DPKI,intra-off-chain,2597,0.0661091136312572,0.052142099991440774,3.0321832816555766e-05,0.06607879179844063,0.0521169999986887
DPKI,intra-on-chain,1115,0.0982674314797192,0.08954330000281334,3.43018830624396e-05,0.09823312959665675,0.08946209999918937
DPKI,management,550,0.17577310327269813,0.1681604500040412,3.281236372210757e-05,0.17574029090897603,0.1681240999996662
PKI,cross-domain,1238,0.1989238494346475,0.18995679999142887,1.945379650843158e-05,0.19890439563813908,0.18991624999791384
PKI,intra-pki,3712,0.055683509267368834,0.0488057499974966,9.422411097229679e-05,0.055589285156396544,0.0487884999960661
PKI,management,550,0.19966253872700712,0.18803705000132323,2.382818213917988e-05,0.19963871054486795,0.1880164000019431
