epsilon,model,E_T,completed,onChainCount,offChainCount,crossDomainCount,managementCount,actualOnChainRatio,actualOffChainRatio,actualCrossDomainRatio,actualManagementRatio,arrivalSpanSec,targetLambdaOffchain,targetLambdaOnchain,observedLambdaOffchain,observedLambdaOnchain,avgLatencyMs,avgLatencyRawMs,avgQueueMs,avgServiceMs,avgServiceRawMs,avgOffchainProofMs,avgPkiChainVerifyMs,PKI_sim_raw,pkiNetworkCompensationSec,pkiNetworkCompensationMs,pkiAuthNetworkSetupMs,pkiOcspNetworkRttMs,pkiAuthCount,pkiOcspCount,chainTxCount,chainBlockCount,avgTxPerChainBlock,maxTxPerChainBlock,gasUsed
0.1,DPKI,0.9310606373235243,1000,433,567,86,106,0.433,0.567,0.086,0.106,170.35581845615928,3.402,2.598,3.328327762082962,2.541738837710622,931.0606373235242,931.0606373235242,663.1102076233582,267.950429700166,267.950429700166,269.47356031811427,0,,0,0,0,0,0,0,433,433,1,1,93913111
0.1,PKI,0.6940048934061241,1000,0,0,91,98,0,0,0.091,0.098,169.26578424368716,0,0,0,0,694.0048934061242,691.0200218475542,263.1756425464235,430.8292508597007,427.84437930113074,0,430.8292508597007,0.6910200218475542,0.00298487155857,2.98487155857,1.48386291,1.40121465,902,1175,0,0,0,0,0
