epsilon,DPKI_sim,PKI_sim
0.0,0.0923123988231771,0.0829188487309133
0.05,0.09448827537227553,0.09037841479068706
0.1,0.09654043102153692,0.09760595175765344
0.15,0.09903524198912378,0.10483318657931104
0.2,0.10134799738992253,0.11217867770333559
0.25,0.10383204113822117,0.11926990956075603
0.3,0.10635100613113986,0.12674937064844313
0.35,0.10938370361348884,0.13381311677617003
0.4,0.11209317537225863,0.14140135998676123
0.45,0.11493901229018517,0.14843340906891997
0.5,0.11810193821361623,0.1559585313121982
