epsilon,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho,DPKI_mid_theory,DPKI_bound_gap,DPKI_bound_gap_pct_of_mid
0.0,0.1497010897052135,0.13116451022059197,0.08305600703533933,0.03938179160722972,0.14043279996290275,0.018536579484621535,13.19960827493166
0.05,0.15630055589874856,0.1332987796240243,0.09033637353007141,0.03938179160722972,0.14479966776138642,0.023001776274724245,15.885241057754765
0.1,0.16326396504920174,0.13561056379471303,0.09761674002480347,0.03938179160722972,0.14943726442195737,0.027653401254488702,18.505023737857908
0.15,0.17060389756705954,0.13810761405423355,0.10489710651953556,0.03938179160722972,0.15435575581064653,0.03249628351282599,21.05284855894217
0.2,0.1783336771474584,0.140798139698837,0.11217747301426763,0.03938179160722972,0.15956590842314772,0.0375355374486214,23.523531949620534
0.25,0.18646742648367665,0.14369084232636606,0.11945783950899971,0.03938179160722972,0.16507913440502137,0.04277658415731059,25.912774689233782
0.3,0.19502012806867355,0.1467949532981968,0.12673820600373176,0.03938179160722972,0.17090754068343517,0.04822517477047675,28.217113520931303
0.35,0.20400769063511534,0.15012027467535513,0.13401857249846386,0.03938179160722972,0.17706398265523524,0.05388741595976021,30.43386642030156
0.4,0.21344702185345163,0.1536772240105469,0.14129893899319595,0.03938179160722972,0.18356212293199925,0.05976979784290473,32.561073541869256
0.45,0.22335610798665387,0.15747688342654506,0.14857930548792803,0.03938179160722972,0.19041649570659946,0.0658792245601088,34.59743564529087
0.5,0.23375410129080676,0.16153105346718724,0.1558596719826601,0.03938179160722972,0.197642577378997,0.07222304782361952,36.542251564107815
