epsilon,DPKI_sim,E_T_execution_queue_sim,E_T_execution_service_sim,E_T_execution_sim,E_T_offchain_sim,E_T_pool_wait_sim,actual_cross_domain_ratio,actual_intra_onchain_ratio,actual_management_ratio,actual_offchain_ratio,actual_onchain_ratio,blocks,measured_arrivals,measured_blocks,measured_requests,observed_lambda_a,observed_lambda_b,target_lambda_a,target_lambda_b,total_arrivals,PKI_actual_cross_domain_ratio,PKI_actual_management_ratio,PKI_chain_steps_per_request,PKI_chain_verify_sim,PKI_measured_requests,PKI_primary_queue_sim,PKI_primary_service_sim,PKI_sim
0.0,0.0923123988231771,0.0132383497720054,0.14627197316642232,0.15951032293842143,0.06983569715719812,0.028638077262031915,0.0,0.08955008344148076,0.10032603025797548,0.8101238863005438,0.18987611369945623,56075.2,270226.6,50503.6,270226.6,2.432094,0.5700320000000001,2.4349315286949422,0.5693905689897691,300212.6,0.0,0.09974456812105156,0.0,0.0,270683.0,0.004358259129317565,0.07856058960159695,0.0829188487309133
0.05,0.09448827537227553,0.014182713049154394,0.1341156337757326,0.14829834682488063,0.0698916155806183,0.028529095991231136,0.04510584149772349,0.08500084560673221,0.09982399058872538,0.7700693223068189,0.2299306776931811,67837.4,270768.6,61057.0,270768.6,2.31742,0.691946,2.3131849522601953,0.6911371454245163,300936.6,0.050151431157904214,0.09991840312928499,0.1354217644934681,0.007345726121861597,270380.6,0.004418201830466481,0.07861448683835862,0.09037841479068706
0.1,0.09654043102153692,0.014390741647568811,0.12536741243368077,0.1397581540812409,0.069884433541621,0.028598869470192495,0.09019287691343729,0.0804985239816913,0.10003320321904048,0.7292753958858309,0.27072460411416904,79487.6,270410.0,71561.2,270410.0,2.190204,0.8130580000000001,2.1914383758254483,0.8128837218592635,300326.2,0.09999118458446338,0.0998898860422507,0.2700096033383105,0.014556689170152941,270610.8,0.0043790623556115345,0.07867020023189167,0.09760595175765344
0.15,0.09903524198912378,0.015399531527635369,0.11972603476962047,0.13512556629726105,0.06983803048095949,0.028642035579972764,0.13495016599072213,0.07592109120963865,0.10006792901973986,0.6890608137798994,0.31093918622010064,90996.0,270376.6,81857.0,270376.6,2.070322,0.934236,2.069691799390701,0.9346302982940105,300455.8,0.1496835401718345,0.10018859201702404,0.40406112193384586,0.021826437310953933,270383.6,0.004395025071695252,0.07861172419665918,0.10483318657931104
0.2,0.10134799738992253,0.01589969664653727,0.11517117339939001,0.1310708700459241,0.06980115693219466,0.02850673311365523,0.1798709000032554,0.07172603444937842,0.0999084062742939,0.6484946592730723,0.3515053407269277,102436.2,270218.4,92180.8,270218.4,1.9467959999999997,1.055228,1.9479452229559542,1.0563768747287579,300202.4,0.1996884933266248,0.09981303039629927,0.5392708473268368,0.029106347994233544,270664.6,0.004405966834076682,0.07866636287502823,0.11217867770333559
0.25,0.10383204113822117,0.016537459821908008,0.11150050390885866,0.12803796373077697,0.06981809282388028,0.0286160627659796,0.2250306213634455,0.06706536947747921,0.1000323696196473,0.607871639539428,0.392128360460572,113790.2,270072.6,102308.0,270072.6,1.824128,1.176712,1.8261986465212068,1.1781234511635048,300084.0,0.24994606909162895,0.09971548309350181,0.6750677440752962,0.0363993700420678,270637.8,0.004375150512761069,0.07849538900592286,0.11926990956075603
0.3,0.10635100613113986,0.0171567758813813,0.10861890500172229,0.12577568088310537,0.06982003464481448,0.028595549223686956,0.27008995987470075,0.06211771744903829,0.09994738035389503,0.5678449423223659,0.43215505767763407,125179.0,270351.6,112647.2,270351.6,1.7055439999999997,1.2979939999999999,1.7044520700864596,1.2998700275982518,300353.8,0.29966419994547866,0.10014891551905927,0.808960518154942,0.043568009965191876,270683.8,0.004443783105945244,0.07873757757730923,0.12674937064844313
0.35,0.10938370361348884,0.018145406995470077,0.10669900845053822,0.12484441544601026,0.06986055073494937,0.02852289009079822,0.31523690755331113,0.05784715615890943,0.10013435469748906,0.5267815815902903,0.4732184184097095,136647.4,270507.6,123030.2,270507.6,1.5828339999999999,1.421882,1.5827054936517126,1.4216166040329992,300471.6,0.35014058612299576,0.09979423038774815,0.9455960326290024,0.05094372424515993,270258.8,0.004331238159632639,0.07853815437138208,0.13381311677617003
0.4,0.11209317537225863,0.018597658360554423,0.10490893848722752,0.12350659684778512,0.06993368942448976,0.0285614908920923,0.35982547203285875,0.053649631273004705,0.09985644727407479,0.48666844942006177,0.5133315505799383,147646.2,270354.6,132886.8,270354.6,1.4618699999999998,1.541984,1.4609589172169655,1.5433631804677463,300385.4,0.4004232352047076,0.10035073272883355,1.0807233280625368,0.05827688431073634,270506.8,0.004363201061611671,0.07876127461441129,0.14140135998676123
0.45,0.11493901229018517,0.019389142596423138,0.10329596205878602,0.12268510465521006,0.06980947835715136,0.028513000279776525,0.40488058142881844,0.04940239805945963,0.09993083102901978,0.44578618948270216,0.5542138105172978,159283.8,270995.2,143429.6,270995.2,1.34223,1.6686999999999999,1.3392123407822185,1.665109756902493,301093.0,0.4497969102946583,0.10006809825601819,1.2143601099319876,0.0654464500704078,270291.6,0.004356913692854496,0.07863004530565823,0.14843340906891997
0.5,0.11810193821361623,0.020186206210636815,0.10229740304378218,0.12248360925442156,0.0698045022713762,0.028587572135049748,0.4500137598229947,0.04467236621141511,0.09974731859742728,0.4055665553681629,0.5944334446318371,169957.6,270396.8,152862.2,270396.8,1.2190160000000003,1.7866980000000001,1.2174657643474711,1.7868563333372403,300571.4,0.5006126234296044,0.10010555102349242,1.3514959000844546,0.07283814475156855,270787.2,0.004440895647703133,0.07867949091292814,0.1559585313121982
