model,kind,count,latencyMeanSec,latencyMedianSec,queueMeanSec,serviceMeanSec,serviceMedianSec,serviceStdSec,serviceCv
DPKI,cross-domain,9,2.3949336555567053,2.547730100005865,2.2571009444461927,0.1378327111105124,0.09163970001041888,0.09922775781823691,0.7199144311880903
DPKI,intra-off-chain,57,0.11551403333351278,0.09705410000681876,0.0006208087715663408,0.11489322456194644,0.09697100000083447,0.09013802657222363,0.7845373555829163
DPKI,intra-on-chain,24,2.3085860583335163,2.580143100000918,2.1678172374994804,0.14076882083403566,0.09570319999754429,0.09880461375392409,0.7018927427857995
DPKI,management,10,2.3986116700023414,2.6280970000103117,2.008939880000055,0.38967179000228647,0.1921643000021577,0.3497289939446574,0.8974963107865861
PKI,cross-domain,9,0.6162936666624415,0.5408751000016928,0.12671152222156526,0.48958214444087617,0.38288329999148846,0.25525438547875406,0.5213719257883996
PKI,intra-pki,81,0.44910088024665545,0.31503779999911785,0.20326879012437513,0.24583209012228033,0.16969249999523162,0.2133718106419679,0.8679575174088694
PKI,management,10,0.5436814999982714,0.43701455000042916,0.11763373999744654,0.4260477600008249,0.3120951500013471,0.2689588912482219,0.6312881242415197
