epsilon,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho,DPKI_mid_theory,DPKI_bound_gap,DPKI_bound_gap_pct_of_mid
0.0,0.1034203161271454,0.08639976512800648,0.08305600703533933,0.03938179160722972,0.09491004062757594,0.01702055099913892,17.933351294123913
0.05,0.1081930033502641,0.08720305187929629,0.09033637353007141,0.03938179160722972,0.09769802761478019,0.020989951470967813,21.48451916934335
0.1,0.1131545184447654,0.08807489123816983,0.09761674002480347,0.03938179160722972,0.10061470484146762,0.025079627206595567,24.926403398103673
0.15,0.11830874033403435,0.08901724084133039,0.10489710651953556,0.03938179160722972,0.10366299058768237,0.02929149949270396,28.256467739012432
0.2,0.12365969705485,0.09003213358145323,0.11217747301426763,0.03938179160722972,0.10684591531815162,0.033627563473396765,31.472951842159862
0.25,0.1292115729919241,0.09112168125828493,0.11945783950899971,0.03938179160722972,0.11016662712510451,0.038089891733639164,34.574800670247015
0.3,0.1349687165377992,0.09228807844442288,0.12673820600373176,0.03938179160722972,0.11362839749111105,0.04268063809337633,37.56159466801876
0.35,0.1409356482075701,0.09353360658064455,0.13401857249846386,0.03938179160722972,0.11723462739410732,0.047402041626925545,40.433481711486344
0.4,0.14711706924024653,0.09486063831684452,0.14129893899319595,0.03938179160722972,0.12098885377854553,0.052256430923402014,43.19111165318639
0.45,0.15351787072114648,0.09627164211593492,0.14857930548792803,0.03938179160722972,0.1248947564185407,0.05724622860521156,45.83557408396797
0.5,0.16014314326251505,0.0977691871394803,0.1558596719826601,0.03938179160722972,0.12895616520099767,0.06237395612303476,48.368339757789414
