epsilon,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho,DPKI_sim,PKI_sim
0.0,0.10971375979462653,0.08775058202988267,0.07382635065810612,0.035153008303569676,0.0902633415003866,0.0676832965009659
0.05,0.11264684460528218,0.08852691671539561,0.08063721581524938,0.035153008303569676,0.0932151145002991,0.0710961169998347
0.1,0.11567292405272028,0.08934825093920082,0.08744808097239262,0.035153008303569676,0.0869382829999178,0.0814324744999408
0.15,0.11879366855519322,0.0902156128252593,0.09425894612953589,0.035153008303569676,0.0958147179999202,0.0879988804998993
0.2,0.1220107998080843,0.09113006205811812,0.10106981128667913,0.035153008303569676,0.0995270629999786,0.0887598479999601
0.25,0.12532609276666212,0.09209269110326376,0.10788067644382238,0.035153008303569676,0.0936017805007845,0.1088870164999365
0.3,0.12874137772155897,0.09310462648454762,0.11469154160096562,0.035153008303569676,0.1133970614998042,0.1202360740004479
0.35,0.13225854247207172,0.09416703012182073,0.12150240675810886,0.035153008303569676,0.1154491675000637,0.1255810039999336
0.4,0.13587953460270624,0.095281100732115,0.12831327191525213,0.035153008303569676,0.1109501015006751,0.1303463895002007
0.45,0.1396063638687324,0.09644807529791996,0.13512413707239537,0.035153008303569676,0.1186220964999496,0.1244745899997651
0.5,0.14344110469688853,0.0976692306063339,0.14193500222953861,0.035153008303569676,0.1060808559996634,0.1424126000001281
