model,kind,count,latencyMeanSec,latencyMedianSec,queueMeanSec,serviceMeanSec,serviceMedianSec
DPKI,cross-domain,495,0.12150550000014329,0.09770489999651907,4.200303045788192e-05,0.1214634969696854,0.09765619999170304
DPKI,intra-off-chain,1039,0.06992919076041204,0.05580760000646114,3.806294516603798e-05,0.069891127815246,0.05577330000698567
DPKI,intra-on-chain,446,0.11356813834113123,0.09384605000168085,4.491883399374277e-05,0.11352321950713748,0.09379739999771118
DPKI,management,220,0.1878130695454776,0.1711680499985814,4.622500003738832e-05,0.18776684454544024,0.17113695000112056
PKI,cross-domain,495,0.20749041252521552,0.19960719999670984,2.6702020114118358e-05,0.2074637105051014,0.1995891999900341
PKI,intra-pki,1485,0.05577381023584994,0.04989660000801086,3.0131515148111418e-05,0.05574367872070182,0.04986949999630451
PKI,management,220,0.20113543499992653,0.19330425000190735,2.9353636096824253e-05,0.2011060813638297,0.19328685000538826
