epsilon,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho,DPKI_mid_theory,DPKI_bound_gap,DPKI_bound_gap_pct_of_mid
0.0,0.13805542071485807,0.13116451022059197,0.08305600703533933,0.03938179160722972,0.13460996546772502,0.0068909104942661,5.1191681613782976
0.05,0.14184961186628114,0.1332987796240243,0.09033637353007141,0.03938179160722972,0.13757419574515273,0.008550832242256834,6.215433203837656
0.1,0.14589062183156926,0.13561056379471303,0.09761674002480347,0.03938179160722972,0.14075059281314115,0.010280058036856221,7.303740489749772
0.15,0.15018799712970643,0.13810761405423355,0.10489710651953556,0.03938179160722972,0.14414780559197,0.012080383075472878,8.380552881719233
0.2,0.15475184831736666,0.140798139698837,0.11217747301426763,0.03938179160722972,0.14777499400810185,0.013953708618529653,9.442537089708583
0.25,0.15959289226621703,0.14369084232636606,0.11945783950899971,0.03938179160722972,0.15164186729629153,0.015902049939850976,10.486582777815654
0.3,0.16472249830127536,0.1467949532981968,0.12673820600373176,0.03938179160722972,0.1557587257997361,0.017927545003078554,11.509817450695227
0.35,0.17015273861801852,0.15012027467535513,0.13401857249846386,0.03938179160722972,0.16013650664668683,0.020032463942663392,12.509617177338281
0.4,0.1758964434483905,0.1536772240105469,0.14129893899319595,0.03938179160722972,0.1647868337294687,0.022219219437843607,13.48361330512667
0.45,0.18196726150584447,0.15747688342654506,0.14857930548792803,0.03938179160722972,0.16972207246619475,0.024490378079299407,14.429695397560858
0.5,0.18837972630828792,0.16153105346718724,0.1558596719826601,0.03938179160722972,0.17495538988773757,0.02684867284110068,15.346010693542214
