epsilon,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho,DPKI_sim,PKI_sim,PKI_sim_raw,pkiNetworkCompensationSec,pkiNetworkCompensationMs,pkiAuthNetworkSetupMs,pkiOcspNetworkRttMs,pkiAuthCount,pkiOcspCount,pkiCompleted,sourceRun,lambdaTotalMeasured,pManageMeasured,gammaOnChainMeasured,qManageMeasured,muModelOffchainAuthMeasured,lambdaBlockMeasured,serviceCAs,pkiMuPrimaryAuthMeasured,pkiQManageMeasured,pkiMuCrossExtraCertificateMeasured,calibrationScope
0.0,0.0968118345371198,0.0801758995536228,0.0611868037869378,0.0438320224804506,0.0918255763999521,0.061223281904207796,0.0586267121002078,0.002596569804,2.5965698039999996,1.48386291,1.40121465,900.0,900.0,1000.0,epsilon_lambdap30,,,,,,,,,,,
0.005050505050505,0.0970462372877304,0.0802498832865778,0.0619039157580521,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.0101010101010101,0.0972812786104259,0.0803241978144228,0.0626210277291664,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.0151515151515151,0.0975169594697519,0.0803988437650756,0.0633381397002807,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.0202020202020202,0.0977532808327036,0.0804738217680505,0.064055251671395,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.0252525252525252,0.0979902436687333,0.080549132454463,0.0647723636425093,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.0303030303030303,0.0982278489497584,0.0806247764570353,0.0654894756136235,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.0353535353535353,0.0984660976501691,0.0807007544101007,0.0662065875847378,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.0404040404040404,0.098704990746836,0.0807770669496093,0.0669236995558521,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.0454545454545454,0.0989445292191184,0.0808537147131329,0.0676408115269664,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.05,,,,,0.0938749608000218,0.0686203552816609,0.0658346214999109,0.00278573378175,2.7857337817500003,1.48386291,1.40121465,900.0,1035.0,1000.0,epsilon_lambdap30,,,,,,,,,,,
0.0505050505050505,0.0991847140488717,0.0809306983398701,0.0683579234980807,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.0555555555555555,0.0994255462204558,0.0810080184706512,0.0690750354691949,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.0606060606060606,0.0996670267207427,0.0810856757479441,0.0697921474403092,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.0656565656565656,0.0999091565391245,0.0811636708158586,0.0705092594114235,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.0707070707070707,0.1001519366675216,0.0812420043201522,0.0712263713825378,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.0757575757575757,0.1003953681003904,0.0813206769082352,0.0719434833536521,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.0808080808080808,0.1006394518347319,0.0813996892291756,0.0726605953247663,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.0858585858585858,0.1008841888700994,0.0814790419337051,0.0733777072958806,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.0909090909090909,0.1011295802086064,0.0815587356742235,0.0740948192669949,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.0959595959595959,0.1013756268549356,0.0816387711048049,0.0748119312381092,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.1,,,,,0.0956729169998168,0.0754282284593312,0.0724533306998312,0.0029748977595,2.9748977595,1.48386291,1.40121465,900.0,1170.0,1000.0,epsilon_lambdap30,,,,,,,,,,,
0.101010101010101,0.101622329816346,0.0817191488812022,0.0755290432092235,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.106060606060606,0.1018696901026822,0.081799869660853,0.0762461551803378,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.1111111111111111,0.1021177087263819,0.0818809341028848,0.076963267151452,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.1161616161616161,0.1023663867024843,0.0819623428681204,0.0776803791225663,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.1212121212121212,0.1026157250486388,0.0820440966190832,0.0783974910936806,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.1262626262626262,0.102865724785113,0.0821261960200029,0.0791146030647949,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.1313131313131313,0.1031163869348012,0.0822086417368207,0.0798317150359092,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.1363636363636363,0.1033677125232327,0.0822914344371948,0.0805488270070234,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.1414141414141414,0.1036197025785806,0.0823745747905061,0.0812659389781377,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.1464646464646464,0.1038723581316697,0.0824580634678635,0.081983050949252,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.15,,,,,0.0988902828998416,0.08254003573721219,0.0793759739999622,0.00316406173725,3.16406173725,1.48386291,1.40121465,900.0,1305.0,1000.0,epsilon_lambdap30,,,,,,,,,,,
0.1515151515151515,0.1041256802159855,0.0825419011421093,0.0827001629203663,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
0.1565656565656565,0.1043796698676826,0.0826260884878253,0.0834172748914806,0.0438320224804506,,,,,,,,,,,epsilon_lambdap30,,,,,,,,,,,
