epsilon,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho,DPKI_sim,PKI_sim
0.0,0.2116433739605257,0.192466427177997,0.2161674404694537,0.1366544576231719,0.1467945080003142,0.1623602540004253
0.005050505050505,0.2122580455135815,0.1928735315775326,0.2168297368700527,0.1366544576231719,,
0.0101010101010101,0.2128763104615195,0.1932834016582845,0.2174920332706517,0.1366544576231719,,
0.0151515151515151,0.2134981854036992,0.1936960512392333,0.2181543296712507,0.1366544576231719,,
0.0202020202020202,0.2141236870508127,0.1941114942321,0.2188166260718497,0.1366544576231719,,
0.0252525252525252,0.2147528322258146,0.19452974464212,0.2194789224724487,0.1366544576231719,,
0.0303030303030303,0.2153856378648615,0.194950816568825,0.2201412188730477,0.1366544576231719,,
0.0353535353535353,0.2160221210182607,0.1953747242068335,0.2208035152736467,0.1366544576231719,,
0.0404040404040404,0.2166622988514285,0.1958014818466477,0.2214658116742457,0.1366544576231719,,
0.0454545454545454,0.217306188645858,0.1962311038754607,0.2221281080748447,0.1366544576231719,,
0.05,,,,,0.1728761189994216,0.1884818009996414
0.0505050505050505,0.2179538078000973,0.1966636047779697,0.2227904044754437,0.1366544576231719,,
0.0555555555555555,0.2186051738307376,0.1970989991371989,0.2234527008760427,0.1366544576231719,,
0.0606060606060606,0.21926030437341,0.1975373016353302,0.2241149972766417,0.1366544576231719,,
0.0656565656565656,0.2199192171837945,0.1979785270545425,0.2247772936772407,0.1366544576231719,,
0.0707070707070707,0.2205819301386377,0.1984226902778595,0.2254395900778397,0.1366544576231719,,
0.0757575757575757,0.2212484612367819,0.198869806290006,0.2261018864784387,0.1366544576231719,,
0.0808080808080808,0.2219188286002039,0.1993198901782736,0.2267641828790377,0.1366544576231719,,
0.0858585858585858,0.2225930504750653,0.1997729571333945,0.2274264792796367,0.1366544576231719,,
0.0909090909090909,0.2232711452327728,0.2002290224504245,0.2280887756802357,0.1366544576231719,,
0.0959595959595959,0.2239531313710501,0.2006881015296359,0.2287510720808347,0.1366544576231719,,
0.1,,,,,0.1810093320001662,0.1673196399991214
0.101010101010101,0.2246390275150203,0.201150209877418,0.2294133684814337,0.1366544576231719,,
0.106060606060606,0.2253288524183,0.2016153631071885,0.2300756648820327,0.1366544576231719,,
0.1111111111111111,0.2260226249641043,0.2020835769403134,0.2307379612826317,0.1366544576231719,,
0.1161616161616161,0.226720364166363,0.2025548672070366,0.2314002576832307,0.1366544576231719,,
0.1212121212121212,0.2274220891708496,0.2030292498474195,0.2320625540838297,0.1366544576231719,,
0.1262626262626262,0.2281278192563205,0.2035067409122899,0.2327248504844286,0.1366544576231719,,
0.1313131313131313,0.2288375738356672,0.2039873565642011,0.2333871468850276,0.1366544576231719,,
0.1363636363636363,0.2295513724570799,0.2044711130784007,0.2340494432856266,0.1366544576231719,,
0.1414141414141414,0.2302692348052237,0.2049580268438101,0.2347117396862256,0.1366544576231719,,
0.1464646464646464,0.2309911807024263,0.2054481143640134,0.2353740360868246,0.1366544576231719,,
0.15,,,,,0.1530110529994964,0.1910830129988491
0.1515151515151515,0.2317172301098799,0.2059413922582577,0.2360363324874236,0.1366544576231719,,
0.1565656565656565,0.2324474031288533,0.2064378772624631,0.2366986288880226,0.1366544576231719,,
0.1616161616161616,0.2331817200019188,0.2069375862302435,0.2373609252886216,0.1366544576231719,,
0.1666666666666666,0.2339202011141912,0.2074405361339385,0.2380232216892206,0.1366544576231719,,
0.1717171717171717,0.2346628669945798,0.207946744065656,0.2386855180898196,0.1366544576231719,,
0.1767676767676768,0.2354097383170539,0.2084562272383255,0.2393478144904186,0.1366544576231719,,
0.1818181818181818,0.2361608359019217,0.2089690029867631,0.2400101108910176,0.1366544576231719,,
0.1868686868686868,0.2369161807171226,0.2094850887687479,0.2406724072916166,0.1366544576231719,,
0.1919191919191919,0.2376757938795335,0.2100045021661089,0.2413347036922156,0.1366544576231719,,
0.196969696969697,0.2384396966562887,0.2105272608858244,0.2419970000928146,0.1366544576231719,,
0.2,,,,,0.1864980029995739,0.1868178339998424
0.202020202020202,0.2392079104661142,0.2110533827611331,0.2426592964934136,0.1366544576231719,,
0.2070707070707071,0.2399804568806761,0.2115828857526568,0.2433215928940126,0.1366544576231719,,
0.2121212121212121,0.2407573576259438,0.2121157879495347,0.2439838892946116,0.1366544576231719,,
0.2171717171717171,0.241538634583567,0.2126521075705711,0.2446461856952106,0.1366544576231719,,
0.2222222222222222,0.2423243097922685,0.2131918629653939,0.2453084820958096,0.1366544576231719,,
0.2272727272727273,0.2431144054492512,0.2137350726156272,0.2459707784964086,0.1366544576231719,,
0.2323232323232323,0.243908943911621,0.214281755136075,0.2466330748970076,0.1366544576231719,,
0.2373737373737374,0.2447079476978241,0.2148319292759191,0.2472953712976066,0.1366544576231719,,
0.2424242424242424,0.2455114394891014,0.2153856139199287,0.2479576676982056,0.1366544576231719,,
0.2474747474747475,0.246319442130957,0.2159428280896841,0.2486199640988046,0.1366544576231719,,
0.25,,,,,0.1856474830000102,0.1966357339994609
0.2525252525252525,0.2471319786346435,0.2165035909448133,0.2492822604994036,0.1366544576231719,,
0.2575757575757576,0.2479490721786638,0.217067921784242,0.2499445569000026,0.1366544576231719,,
0.2626262626262626,0.2487707461102884,0.2176358400474576,0.2506068533006016,0.1366544576231719,,
0.2676767676767677,0.2495970239470901,0.2182073653157861,0.2512691497012006,0.1366544576231719,,
0.2727272727272727,0.2504279293784952,0.2187825173136847,0.2519314461017996,0.1366544576231719,,
0.2777777777777778,0.2512634862673513,0.2193613159100463,0.2525937425023986,0.1366544576231719,,
0.2828282828282829,0.2521037186515129,0.2199437811195208,0.2532560389029976,0.1366544576231719,,
0.2878787878787879,0.2529486507454445,0.2205299331038484,0.2539183353035965,0.1366544576231719,,
0.2929292929292929,0.253798306941841,0.2211197921732101,0.2545806317041955,0.1366544576231719,,
0.297979797979798,0.2546527118132659,0.2217133787875913,0.2552429281047945,0.1366544576231719,,
0.3,,,,,0.2037766509996354,0.1862468229991197
0.303030303030303,0.2555118901138081,0.222310713558161,0.2559052245053935,0.1366544576231719,,
0.3080808080808081,0.256375866780757,0.2229118172486669,0.2565675209059925,0.1366544576231719,,
0.3131313131313131,0.2572446669362958,0.2235167107768453,0.2572298173065915,0.1366544576231719,,
0.3181818181818182,0.2581183158892139,0.2241254152158467,0.2578921137071905,0.1366544576231719,,
0.3232323232323232,0.2589968391366389,0.2247379517956781,0.2585544101077895,0.1366544576231719,,
0.3282828282828283,0.259880262365787,0.2253543419046601,0.2592167065083886,0.1366544576231719,,
0.3333333333333333,0.2607686114557335,0.2259746070909016,0.2598790029089875,0.1366544576231719,,
0.3383838383838384,0.261661912479203,0.2265987690637903,0.2605412993095865,0.1366544576231719,,
0.3434343434343435,0.2625601917043806,0.2272268496955002,0.2612035957101855,0.1366544576231719,,
0.3484848484848485,0.2634634755967419,0.2278588710225158,0.2618658921107845,0.1366544576231719,,
0.35,,,,,0.274273981000632,0.2519787840007245
