epsilon,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho
0.0,0.19035533456618442,0.1720589055969884,0.16852391121465088,0.10882352941176472
0.005,0.19087731997295632,0.1723889406128724,0.17011214650876852,0.10882352941176472
0.01,0.19140196600052667,0.17272096148413185,0.17170038180288616,0.10882352941176472
0.015,0.191929282963475,0.17305497664732658,0.17328861709700383,0.10882352941176472
0.02,0.19245928123515746,0.17339099458712182,0.17487685239112147,0.10882352941176472
0.025,0.1929919712481243,0.17372902383662936,0.1764650876852391,0.10882352941176472
0.03,0.19352736349454022,0.17406907297775134,0.17805332297935675,0.10882352941176472
0.035,0.19406546852660844,0.17441115064152743,0.17964155827347442,0.10882352941176472
0.04,0.1946062969569986,0.17475526550848458,0.18122979356759206,0.10882352941176472
0.045,0.19514985945927832,0.17510142630899006,0.18281802886170972,0.10882352941176472
0.05,0.19569616676834836,0.1754496418236074,0.18440626415582734,0.10882352941176472
0.055,0.19624522968088146,0.17579992088345542,0.18599449944994498,0.10882352941176472
0.06,0.19679705905576508,0.17615227237057046,0.18758273474406265,0.10882352941176472
0.065,0.1973516658145479,0.17650670521827133,0.18917097003818029,0.10882352941176472
0.07,0.19790906094189048,0.17686322841152818,0.19075920533229793,0.10882352941176472
0.075,0.1984692554860193,0.17722185098733378,0.19234744062641557,0.10882352941176472
0.08,0.19903226055918505,0.17758258203507857,0.1939356759205332,0.10882352941176472
0.085,0.19959808733812506,0.17794543069692853,0.19552391121465088,0.10882352941176472
0.09,0.20016674706452933,0.17831040616820676,0.19711214650876852,0.10882352941176472
0.095,0.200738251045511,0.17867751769777826,0.19870038180288618,0.10882352941176472
0.1,0.20131261065408051,0.17904677458843754,0.20028861709700382,0.10882352941176472
0.105,0.20188983732962473,0.17941818619730077,0.20187685239112144,0.10882352941176472
0.11,0.20246994257838902,0.1797917619362,0.2034650876852391,0.10882352941176472
0.115,0.20305293797396468,0.18016751127208203,0.20505332297935674,0.10882352941176472
0.12,0.2036388351577801,0.18054544372740994,0.2066415582734744,0.10882352941176472
0.125,0.2042276458395963,0.1809255688805685,0.20822979356759203,0.10882352941176472
0.13,0.20481938179800693,0.1813078963662732,0.2098180288617097,0.10882352941176472
0.135,0.20541405488094244,0.18169243587598283,0.21140626415582733,0.10882352941176472
0.14,0.20601167700617917,0.18207919715831558,0.21299449944994497,0.10882352941176472
0.145,0.20661226016185258,0.18246819001946896,0.21458273474406264,0.10882352941176472
0.15,0.20721581640697473,0.1828594243236433,0.21617097003818028,0.10882352941176472
0.155,0.2078223578719573,0.18325290999346927,0.21775920533229795,0.10882352941176472
0.16,0.2084318967591382,0.1836486570104388,0.21934744062641556,0.10882352941176472
0.165,0.20904444534331357,0.1840466754153403,0.2209356759205332,0.10882352941176472
0.17,0.20966001597227424,0.18444697530869747,0.22252391121465087,0.10882352941176472
0.17500000000000002,0.21027862106734702,0.18484956685121173,0.2241121465087685,0.10882352941176472
0.18,0.21090027312394063,0.1852544602642094,0.22570038180288618,0.10882352941176472
0.185,0.21152498471209713,0.1856616658300922,0.2272886170970038,0.10882352941176472
0.19,0.21215276847704745,0.18607119389279203,0.22887685239112146,0.10882352941176472
0.195,0.2127836371397725,0.18648305485822975,0.2304650876852391,0.10882352941176472
0.2,0.2134176034975692,0.18689725919477834,0.23205332297935674,0.10882352941176472
0.20500000000000002,0.21405468042462134,0.18731381743372974,0.2336415582734744,0.10882352941176472
0.21,0.2146948808725762,0.1877327401697666,0.23522979356759205,0.10882352941176472
0.215,0.21533821787112542,0.18815403806143732,0.23681802886170972,0.10882352941176472
0.22,0.2159847045285922,0.1885777218316365,0.23840626415582736,0.10882352941176472
0.225,0.21663435403252287,0.1890038022680889,0.239994499449945,0.10882352941176472
0.23,0.2172871796502846,0.18943229022383803,0.24158273474406264,0.10882352941176472
0.23500000000000001,0.21794319472966772,0.18986319661773937,0.24317097003818028,0.10882352941176472
0.24,0.21860241269949465,0.19029653243495792,0.24475920533229792,0.10882352941176472
0.245,0.21926484707023308,0.1907323087274702,0.24634744062641556,0.10882352941176472
0.25,0.21993051143461562,0.191170536614571,0.24793567592053323,0.10882352941176472
0.255,0.22059941946826506,0.19161122728338464,0.24952391121465087,0.10882352941176472
0.26,0.22127158493032456,0.19205439198938093,0.2511121465087685,0.10882352941176472
0.265,0.22194702166409508,0.19250004205689591,0.2527003818028862,0.10882352941176472
0.27,0.22262574359767695,0.19294818887965748,0.25428861709700384,0.10882352941176472
0.275,0.22330776474461886,0.19339884392131548,0.2558768523911215,0.10882352941176472
0.28,0.22399309920457158,0.19385201871597701,0.2574650876852391,0.10882352941176472
0.28500000000000003,0.22468176116394864,0.1943077248687467,0.2590533229793568,0.10882352941176472
0.29,0.22537376489659267,0.1947659740562715,0.2606415582734744,0.10882352941176472
0.295,0.22606912476444785,0.19522677802729127,0.262229793567592,0.10882352941176472
0.3,0.2267678552182389,0.19569014860319373,0.2638180288617097,0.10882352941176472
0.305,0.22746997079815603,0.19615609767857506,0.26540626415582735,0.10882352941176472
0.31,0.22817548613454658,0.1966246372218055,0.266994499449945,0.10882352941176472
0.315,0.2288844159486127,0.19709577927560015,0.26858273474406263,0.10882352941176472
0.32,0.22959677505311593,0.19756953595759524,0.2701709700381803,0.10882352941176472
0.325,0.2303125783530884,0.1980459194609299,0.27175920533229797,0.10882352941176472
0.33,0.23103184084654976,0.19852494205483295,0.2733474406264156,0.10882352941176472
0.335,0.2317545776252326,0.19900661608521547,0.2749356759205333,0.10882352941176472
0.34,0.23248080387531234,0.1994909539752691,0.2765239112146509,0.10882352941176472
0.34500000000000003,0.23321053487814644,0.19997796822606945,0.2781121465087686,0.10882352941176472
0.35000000000000003,0.23394378601101878,0.20046767141718588,0.2797003818028862,0.10882352941176472
0.355,0.2346805727478914,0.20096007620729617,0.2812886170970038,0.10882352941176472
0.36,0.23542091066016435,0.20145519533480782,0.28287685239112154,0.10882352941176472
0.365,0.2361648154174411,0.2019530416184847,0.28446508768523915,0.10882352941176472
0.37,0.23691230278830275,0.20245362795807995,0.2860533229793568,0.10882352941176472
0.375,0.23766338864108835,0.20295696733497445,0.28764155827347443,0.10882352941176472
0.38,0.2384180889446837,0.2034630728128221,0.2892297935675921,0.10882352941176472
0.385,0.2391764197693165,0.20397195753820013,0.29081802886170977,0.10882352941176472
0.39,0.23993839728736022,0.20448363474126685,0.2924062641558273,0.10882352941176472
0.395,0.24070403777414484,0.20499811773642476,0.29399449944994505,0.10882352941176472
0.4,0.24147335760877578,0.20551541992299033,0.2955827347440627,0.10882352941176472
0.405,0.24224637327496049,0.20603555478587054,0.2971709700381803,0.10882352941176472
0.41000000000000003,0.2430231013618425,0.20655853589624482,0.29875920533229794,0.10882352941176472
0.41500000000000004,0.24380355856484487,0.207084376912255,0.30034744062641566,0.10882352941176472
0.42,0.24458776168652008,0.20761309157970081,0.3019356759205333,0.10882352941176472
0.425,0.24537572763740922,0.20814469373274253,0.3035239112146509,0.10882352941176472
0.43,0.2461674734369092,0.2086791972946102,0.30511214650876856,0.10882352941176472
0.435,0.24696301621414773,0.20921661627832003,0.3067003818028862,0.10882352941176472
0.44,0.24776237320886835,0.20975696478739742,0.30828861709700384,0.10882352941176472
0.445,0.24856556177232175,0.21030025701660698,0.30987685239112145,0.10882352941176472
0.45,0.24937259936816794,0.21084650725269002,0.3114650876852392,0.10882352941176472
0.455,0.250183503573386,0.21139572987510885,0.3130533229793568,0.10882352941176472
0.46,0.2509982920791927,0.21194793935679831,0.3146415582734745,0.10882352941176472
0.465,0.2518169826919706,0.212503150264925,0.31622979356759207,0.10882352941176472
0.47000000000000003,0.25263959333420494,0.21306137726165356,0.3178180288617098,0.10882352941176472
0.47500000000000003,0.2534661420454297,0.21362263510492055,0.3194062641558274,0.10882352941176472
0.48,0.25429664698318305,0.2141869386492163,0.320994499449945,0.10882352941176472
0.485,0.2551311264239717,0.2147543028463736,0.3225827347440627,0.10882352941176472
0.49,0.25596959876424574,0.215324742746365,0.32417097003818035,0.10882352941176472
0.495,0.2568120825213822,0.21589827349810775,0.325759205332298,0.10882352941176472
0.5,0.2576585963346784,0.216474910350276,0.3273474406264156,0.10882352941176472
