epsilon,DPKI_upper_theory_point,DPKI_lower_theory_point,PKI_theory_point,PKI_rho,DPKI_sim,PKI_sim,lambdaTotalMeasuredPoint,pManageMeasuredPoint,gammaMeasuredPoint,qManageMeasuredPoint,muMeasuredPoint,pkiMuMeasuredPoint,pkiQMeasuredPoint,pkiCrossExtraMuMeasuredPoint,lambdaBlockMeasured,serviceCAs
0.0,0.05563799906567595,0.041032387996894924,0.07473523162198108,0.05502720180190549,0.0601436659990251,0.0693081059999763,3.1774242431517687,0.1,0.3,0.11739197532342865,47.59219741845773,18.008003477034165,0.2878001704102865,19.251311366751274,29.28111321092955,4
0.05,0.05144716957376495,0.03593514802799033,0.08698977054583744,0.051731700386878424,0.0543126440002024,0.0815811980006098,2.794449307095877,0.1,0.3023255813953488,0.11186011746624792,54.964931915101545,16.76362418195222,0.29296873123098766,17.93617856717293,29.28111321092955,4
0.1,0.06384753634047853,0.04667241339969212,0.09419568636347597,0.05365902451285566,0.0737264080008864,0.0882354399998486,2.928909851551211,0.1,0.2962962962962963,0.11508650174606246,43.25137425526313,16.928473167195946,0.2936419567885118,17.586744777698897,29.28111321092955,4
0.15,0.051917871151305445,0.03368191520825811,0.09313987384853034,0.05809755691445257,0.0568007050004601,0.0881552960009872,3.458656566550369,0.1,0.2987012987012987,0.09782311883521304,65.54281772250852,18.697933941954293,0.28063802301132923,19.998189861282153,29.28111321092955,4
0.2,0.05719211049462274,0.037464585320334094,0.09651041335688397,0.0511462657318846,0.0683225999996066,0.0910672569999098,3.119948413524324,0.1,0.3055555555555556,0.09667942087782838,59.9603134663865,19.201700502769395,0.2784605269177958,20.725111192351612,29.28111321092955,4
0.25,0.05695452390669764,0.036100856074855886,0.1113110503566464,0.059459139990971216,0.0664722869993746,0.1037309630000591,3.3038896306079604,0.1,0.29850746268656714,0.09903385322471882,61.861787082357104,17.52624024763056,0.276503880694229,20.44730472429938,29.28111321092955,4
0.3,0.058403815946478886,0.036311710041059646,0.12014494762555451,0.056481650042205976,0.0731481830008328,0.1158287379997968,3.1529585744219117,0.1,0.30158730158730157,0.11461279603045857,56.34185884078562,17.579246265736856,0.27804931016622797,19.032075179415575,29.28111321092955,4
0.35,0.06813236834971993,0.04449080856706021,0.11553879705501116,0.04444033659569747,0.0841510499998927,0.1113802419999241,2.728406347865612,0.1,0.3050847457627119,0.11626338605740386,46.30195333206645,19.79187733976504,0.25675130156441467,20.55137958828343,29.28111321092955,4
0.4,0.05960935719392022,0.03551792954128545,0.12945224389135598,0.04959614997270942,0.0719885889995098,0.1224700409997999,2.7295386413688565,0.1,0.2962962962962963,0.11303734519084448,57.63799787995282,17.33506726825831,0.2778366750930676,20.960280649430228,29.28111321092955,4
0.45,0.06110193628904597,0.03512926310337703,0.14423526706133835,0.064626168251796,0.075342036999017,0.1331273080003261,3.2791428847798976,0.1,0.3,0.09464120033399584,67.23527214958385,15.97988477644092,0.27797678893751854,20.99475236107071,29.28111321092955,4
0.5,0.06025622097181811,0.033700770869160554,0.13622291263036934,0.04231133517630766,0.080810992000699,0.1338832699990272,2.524120227864728,0.1,0.3111111111111111,0.1036038288523899,63.88481937407845,19.19413058852022,0.2584046948725894,20.80650142348528,29.28111321092955,4
