epsilon,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho,DPKI_sim,PKI_sim,DPKI_inside_bounds,PKI_abs_error,DPKI_minus_PKI,DPKI_bound_gap
0.0,0.09272709717950296,0.08639976512800648,0.08305600703533933,0.03938179160722972,0.0923123988231771,0.0829188487309133,True,0.0001371583044260244,0.009393550092263794,0.006327332051496479
0.05,0.09500599508062563,0.08720305187929629,0.09033637353007141,0.03938179160722972,0.09448827537227553,0.09037841479068706,True,4.2041260615646725e-05,0.004109860581588465,0.007802943201329335
0.1,0.09739815751033123,0.08807489123816983,0.09761674002480347,0.03938179160722972,0.09654043102153692,0.09760595175765344,True,1.078826715003589e-05,-0.0010655207361165153,0.009323266272161401
0.15,0.09990625633712455,0.08901724084133039,0.10489710651953556,0.03938179160722972,0.09903524198912378,0.10483318657931104,True,6.391994022451886e-05,-0.0057979445901872595,0.010889015495794158
0.2,0.10253306614172816,0.09003213358145323,0.11217747301426763,0.03938179160722972,0.10134799738992253,0.11217867770333559,True,1.2046890679601185e-06,-0.010830680313413055,0.01250093256027493
0.25,0.10528146920031327,0.09112168125828493,0.11945783950899971,0.03938179160722972,0.10383204113822117,0.11926990956075603,True,0.00018792994824368137,-0.015437868422534862,0.014159787942028337
0.3,0.10815446076073,0.09228807844442288,0.12673820600373176,0.03938179160722972,0.10635100613113986,0.12674937064844313,True,1.1164644711375571e-05,-0.020398364517303272,0.015866382316307118
0.35,0.11115515463203193,0.09353360658064455,0.13401857249846386,0.03938179160722972,0.10938370361348884,0.13381311677617003,True,0.00020545572229382913,-0.024429413162681185,0.01762154805138738
0.4,0.11428678910921197,0.09486063831684452,0.14129893899319595,0.03938179160722972,0.11209317537225863,0.14140135998676123,True,0.00010242099356527756,-0.029308184614502603,0.019426150792367453
0.45,0.11755273325683713,0.09627164211593492,0.14857930548792803,0.03938179160722972,0.11493901229018517,0.14843340906891997,True,0.00014589641900805694,-0.033494396778734795,0.02128109114090221
0.5,0.12095649357720248,0.0977691871394803,0.1558596719826601,0.03938179160722972,0.11810193821361623,0.1559585313121982,True,9.885932953809795e-05,-0.03785659309858197,0.023187306437722183
