epsilon,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho
0.0,0.09272709717950296,0.08639976512800648,0.08305600703533933,0.03938179160722972
0.005,0.09294996416845794,0.08647706322963634,0.08378404368481254,0.03938179160722972
0.01,0.09317394051758657,0.08655502979670346,0.08451208033428576,0.03938179160722972
0.015,0.09339902876697752,0.086633666690291,0.08524011698375895,0.03938179160722972
0.02,0.09362523146615759,0.08671297577839732,0.08596815363323217,0.03938179160722972
0.025,0.09385255117413564,0.08679295893596821,0.08669619028270537,0.03938179160722972
0.03,0.09408099045944662,0.0868736180449291,0.08742422693217858,0.03938179160722972
0.035,0.09431055190019604,0.08695495499421764,0.08815226358165179,0.03938179160722972
0.04,0.09454123808410445,0.08703697167981636,0.08888030023112499,0.03938179160722972
0.045,0.09477305160855241,0.08711967000478554,0.08960833688059819,0.03938179160722972
0.05,0.09500599508062563,0.08720305187929629,0.09033637353007141,0.03938179160722972
0.055,0.09524007111716018,0.08728711922066373,0.09106441017954461,0.03938179160722972
0.06,0.0954752823447883,0.08737187395338047,0.09179244682901781,0.03938179160722972
0.065,0.09571163139998419,0.08745731800915027,0.09252048347849103,0.03938179160722972
0.07,0.09594912092911007,0.08754345332692169,0.09324852012796424,0.03938179160722972
0.075,0.09618775358846275,0.08763028185292224,0.09397655677743745,0.03938179160722972
0.08,0.09642753204432014,0.08771780554069246,0.09470459342691065,0.03938179160722972
0.085,0.09666845897298826,0.08780602635112039,0.09543263007638385,0.03938179160722972
0.09,0.0969105370608484,0.08789494625247607,0.09616066672585707,0.03938179160722972
0.095,0.09715376900440459,0.08798456722044636,0.09688870337533027,0.03938179160722972
0.1,0.09739815751033123,0.08807489123816983,0.09761674002480347,0.03938179160722972
0.105,0.09764370529552126,0.08816592029627204,0.0983447766742767,0.03938179160722972
0.11,0.09789041508713422,0.08825765639290076,0.0990728133237499,0.03938179160722972
0.115,0.09813828962264495,0.08835010153376166,0.09980084997322311,0.03938179160722972
0.12,0.09838733164989233,0.08844325773215403,0.10052888662269631,0.03938179160722972
0.125,0.0986375439271284,0.0885371270090067,0.10125692327216951,0.03938179160722972
0.13,0.09888892922306769,0.0886317113929143,0.10198495992164273,0.03938179160722972
0.135,0.09914149031693692,0.08872701292017354,0.10271299657111593,0.03938179160722972
0.14,0.09939522999852489,0.08882303363481989,0.10344103322058913,0.03938179160722972
0.145,0.0996501510682328,0.08891977558866435,0.10416906987006234,0.03938179160722972
0.15,0.09990625633712455,0.08901724084133039,0.10489710651953556,0.03938179160722972
0.155,0.1001635486269778,0.08911543146029127,0.10562514316900877,0.03938179160722972
0.16,0.10042203077033487,0.08921434952090737,0.10635317981848197,0.03938179160722972
0.165,0.10068170561055412,0.0893139971064639,0.10708121646795517,0.03938179160722972
0.17,0.10094257600186175,0.08941437630820878,0.1078092531174284,0.03938179160722972
0.17500000000000002,0.10120464480940372,0.08951548922539063,0.10853728976690159,0.03938179160722972
0.18,0.10146791490929792,0.08961733796529714,0.1092653264163748,0.03938179160722972
0.185,0.10173238918868685,0.08971992464329355,0.109993363065848,0.03938179160722972
0.19,0.10199807054579046,0.08982325138286143,0.11072139971532122,0.03938179160722972
0.195,0.10226496188995934,0.08992732031563758,0.11144943636479443,0.03938179160722972
0.2,0.10253306614172816,0.09003213358145323,0.11217747301426763,0.03938179160722972
0.20500000000000002,0.10280238623286952,0.09013769332837357,0.11290550966374083,0.03938179160722972
0.21,0.10307292510644799,0.09024400171273718,0.11363354631321405,0.03938179160722972
0.215,0.10334468571687457,0.09035106089919603,0.11436158296268725,0.03938179160722972
0.22,0.10361767102996143,0.09045887306075565,0.11508961961216047,0.03938179160722972
0.225,0.10389188402297692,0.09056744037881526,0.11581765626163368,0.03938179160722972
0.23,0.10416732768470094,0.09067676504320848,0.11654569291110688,0.03938179160722972
0.23500000000000001,0.1044440050154807,0.09078684925224417,0.11727372956058009,0.03938179160722972
0.24,0.10472191902728659,0.09089769521274729,0.11800176621005329,0.03938179160722972
0.245,0.10500107274376869,0.09100930514010039,0.11872980285952649,0.03938179160722972
0.25,0.10528146920031327,0.09112168125828493,0.11945783950899971,0.03938179160722972
0.255,0.10556311144409994,0.09123482579992323,0.12018587615847291,0.03938179160722972
0.26,0.10584600253415884,0.0913487410063203,0.12091391280794613,0.03938179160722972
0.265,0.10613014554142843,0.09146342912750624,0.12164194945741934,0.03938179160722972
