epsilon,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho,DPKI_sim,PKI_sim
0.0,0.05088784079466786,0.036521997784894344,0.0761158800912704,0.052846051492148105,0.0601436659990251,0.0693081059999763
0.05,0.052466145841335576,0.03683175010720492,0.08286267398917554,0.052846051492148105,0.0543126440002024,0.0815811980006098
0.1,0.054055716428444804,0.037144754629942864,0.08960946788708066,0.052846051492148105,0.0737264080008864,0.0882354399998486
0.15,0.055656594497029276,0.03746102934686566,0.0963562617849858,0.052846051492148105,0.0568007050004601,0.0881552960009872
0.2,0.05726882229822869,0.03778059238483934,0.10310305568289091,0.052846051492148105,0.0683225999996066,0.0910672569999098
0.25,0.058892442396152433,0.03810346200506388,0.10984984958079605,0.052846051492148105,0.0664722869993746,0.1037309630000591
0.3,0.06052749767077506,0.03842965660431219,0.11659664347870116,0.052846051492148105,0.0731481830008328,0.1158287379997968
0.35,0.062174031320864326,0.03875919471618316,0.1233434373766063,0.052846051492148105,0.0841510499998927,0.1113802419999241
0.4,0.0638320868669417,0.03909209501236847,0.13009023127451144,0.052846051492148105,0.0719885889995098,0.1224700409997999
0.45,0.06550170815427626,0.03942837630393384,0.13683702517241658,0.052846051492148105,0.075342036999017,0.1331273080003261
0.5,0.0671829393559121,0.03976805754261452,0.1435838190703217,0.052846051492148105,0.080810992000699,0.1338832699990272
