epsilon,DPKI_lower_theory,DPKI_sim,DPKI_upper_theory,DPKI_inside_bounds,PKI_theory,PKI_sim,PKI_abs_error,DPKI_minus_PKI
0.0,0.08236530703112192,0.0819420850000083,0.09775238008078284,False,0.07536306195550692,0.0648663784001171,0.010496683555389824,0.017075706599891202
0.05,0.08304546558466086,0.0842981036002934,0.0999332797623858,True,0.08204340411355239,0.0733914594000578,0.008651944713494591,0.010906644200235599
0.1,0.08376483015634456,0.0849312326003909,0.1021852223283808,True,0.08872374627159783,0.086331518999964,0.002392227271633837,-0.0014002863995730974
0.15,0.08452424115444195,0.101111746800363,0.10450944480351963,True,0.09540408842964328,0.0978522400000095,0.002448151570366222,0.003259506800353501
0.2,0.08532456327817792,0.100371314599961,0.1069072199303071,True,0.10208443058768875,0.1081490713998675,0.006064640812178751,-0.007777756799906499
0.25,0.08616668639382787,0.0901494691996574,0.1093798574595987,True,0.10876477274573419,0.0972003376003205,0.011564435145413693,-0.007050868400663102
0.3,0.0870515264492967,0.0917757203993797,0.11192870549785756,True,0.11544511490377965,0.1068360925999581,0.008609022303821545,-0.015060372200578404
0.35,0.0879800264291665,0.0910906816001236,0.11455515191399171,True,0.12212545706182511,0.1119337130004167,0.010191744061408409,-0.020843031400293102
0.4,0.08895315735231617,0.0912177702003717,0.1172606258088672,True,0.12880579921987056,0.1199153813997507,0.008890417820119859,-0.02869761119937901
0.45,0.08997191931434166,0.0919241698001325,0.1200465990507768,True,0.135486141377916,0.1263624794002771,0.00912366197763892,-0.03443830960014459
0.5,0.09103734257713908,0.0948536265997588,0.12291458788034179,True,0.14216648353596145,0.1327199444001019,0.00944653913585955,-0.03786631780034311
