M,epsilon,DPKI_sim,PKI_sim,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho,lambdaTotalMeasured,pManageMeasured,gammaOnChainMeasured,qManageMeasured,muModelOffchainAuthMeasured,lambdaBlockMeasured,serviceCAs,pkiMuPrimaryAuthMeasured,pkiMuCrossExtraCertificateMeasured
2.0,0.1,0.1230601746675372,0.1259619864262569,0.1292831184048259,0.10004902455496742,0.1993203493336704,0.4463390099452033,11.236860612466959,0.1,0.3004115226337449,0.22131471296613173,22.24323204474512,30.447526874714423,2,17.322100124697116,21.125616799266883
3.0,0.1,0.1170347710007429,0.1236515180933901,0.12198537692990943,0.09341996303303979,0.15818564673867863,0.31112790433197446,11.243433286848656,0.1,0.3004115226337449,0.21958269222632024,23.246803988055287,30.31302383801325,3,16.546128573960562,21.237211062883585
4.0,0.1,0.1177648393336932,0.1262871630930332,0.12221893171380366,0.09417589043842814,0.15293462906028696,0.2544747703178928,11.241305075346421,0.1,0.3004115226337449,0.21928036005580692,23.14499659585448,30.984606015975775,4,14.929428407273202,21.373951195586812
5.0,0.1,0.1178040973329544,0.1275454864259986,0.12941772765548445,0.10011164325015917,0.15015033303854108,0.21502561186283148,11.225690696631261,0.1,0.3004115226337449,0.21836610841438564,22.34005095213664,30.425662033151294,5,14.009565569784503,21.055101110273146
6.0,0.1,0.1135954266667366,0.1267955237589705,0.12161080096495813,0.09354719675627707,0.14022802953673466,0.1775882028932423,11.243503742467224,0.1,0.3004115226337449,0.21977372322863326,23.210774256293156,30.877544071968686,6,14.194587785938328,20.98311927711202
7.0,0.1,0.1117198280002673,0.1262003097596196,0.12364236520909452,0.09482517234623289,0.13606183662330143,0.15330534990495168,11.234327383078726,0.1,0.3004115226337449,0.21871127246869146,23.078164181831063,30.231473688125,7,14.080001572377924,20.7647275267409
8.0,0.1,0.1261910979998111,0.1193530914246468,0.12294439541396741,0.09518331381769832,0.13264929512277296,0.13578078677023792,11.235329286220802,0.1,0.3004115226337449,0.22465663256806126,22.64835562189407,31.45762951675772,8,13.670898458675115,21.296455395239967
