epsilon,model,E_T,completed,onChainCount,offChainCount,crossDomainCount,managementCount,actualOnChainRatio,actualOffChainRatio,actualCrossDomainRatio,actualManagementRatio,arrivalSpanSec,targetLambdaOffchain,targetLambdaOnchain,observedLambdaOffchain,observedLambdaOnchain,avgLatencyMs,avgQueueMs,avgServiceMs,avgOffchainProofMs,avgPkiChainVerifyMs,chainTxCount,chainBlockCount,avgTxPerChainBlock,maxTxPerChainBlock,gasUsed
0,DPKI,0.18112151400002838,500,185,315,0,50,0.37,0.63,0,0.1,165.85603299999238,1.8900000000000001,1.1099999999999999,1.8992375152251137,1.115425207354432,181.12151400002838,14.25027459987998,166.8712394001484,133.2407815874569,0,185,185,1,1,45246731
0,PKI,0.1620516348001361,500,0,0,0,50,0,0,0,0.1,168.08905640000106,0,0,0,0,162.0516348001361,0.03225119996070862,162.0193836001754,0,162.0193836001754,0,0,0,0,0
0.05,DPKI,0.18367609599998594,500,201,299,23,50,0.402,0.598,0.046,0.1,140.01859059999884,1.7954999999999997,1.2045000000000001,2.1354307218687465,1.4355236625271506,183.67609599998593,18.953379600286485,164.72271639969944,131.16692842777357,0,201,201,1,1,49446559
0.05,PKI,0.1672054253998101,500,0,0,23,50,0,0,0.046,0.1,160.5060340999961,0,0,0,0,167.20542539981008,1.0287751998007297,166.17665020000933,0,166.17665020000933,0,0,0,0,0
0.1,DPKI,0.2181376751998663,500,217,283,45,50,0.434,0.566,0.09,0.1,168.3056670999974,1.701,1.299,1.6814644739909912,1.2893208157457423,218.1376751998663,35.036901800006625,183.10077339985966,134.6994289752662,0,217,217,1,1,53645967
0.1,PKI,0.1797632919999659,500,0,0,45,50,0,0,0.09,0.1,181.9280910999924,0,0,0,0,179.7632919999659,0.02486940026283264,179.73842259970309,0,179.73842259970309,0,0,0,0,0
0.15,DPKI,0.19880428959906102,500,232,268,67,50,0.464,0.536,0.134,0.1,168.35502339999377,1.6065,1.3935,1.5918740919494887,1.3780402587025424,198.804289599061,27.906160399228334,170.89812919983268,134.28586641782476,0,232,232,1,1,57582666
0.15,PKI,0.1883804256001711,500,0,0,68,50,0,0,0.136,0.1,158.68845870000123,0,0,0,0,188.3804256001711,0.12853340005874633,188.25189220011234,0,188.25189220011234,0,0,0,0,0
0.2,DPKI,0.19042462460014223,500,248,252,90,50,0.496,0.504,0.18,0.1,158.40702800001205,1.512,1.4880000000000002,1.5908385074933722,1.5655871026125252,190.42462460014224,20.28716099998355,170.1374636001587,118.8947162699723,0,248,248,1,1,61782386
0.2,PKI,0.18706811020040512,500,0,0,90,50,0,0,0.18,0.1,163.10862020000815,0,0,0,0,187.06811020040513,0.01899820053577423,187.04911199986935,0,187.04911199986935,0,0,0,0,0
0.25,DPKI,0.2029285890004039,500,264,236,113,50,0.528,0.472,0.226,0.1,165.44053319999577,1.4175,1.5825000000000002,1.426494435403609,1.595739537909122,202.9285890004039,30.89095299991965,172.03763600048424,137.18496356001597,0,264,264,1,1,65981566
0.25,PKI,0.20089774019977452,500,0,0,113,50,0,0,0.226,0.1,168.33600580000876,0,0,0,0,200.89774019977452,0.01647099995613098,200.88126919981838,0,200.88126919981838,0,0,0,0,0
0.3,DPKI,0.2075432858002782,500,280,220,135,50,0.56,0.44,0.27,0.1,166.96787019999326,1.323,1.6769999999999998,1.31761877142282,1.6769693454472254,207.5432858002782,36.57466180035472,170.96862399992347,133.62696318125182,0,280,280,1,1,70181190
0.3,PKI,0.20403691279989483,500,0,0,135,50,0,0,0.27,0.1,163.0728167999983,0,0,0,0,204.03691279989482,0.017340599715709688,204.0195722001791,0,204.0195722001791,0,0,0,0,0
0.35,DPKI,0.20183709959971904,500,295,205,157,50,0.59,0.41,0.314,0.1,165.62542599999904,1.2285000000000001,1.7715,1.2377326655147816,1.7811274942773685,201.83709959971904,40.79433040001988,161.04276919969917,112.19296536525574,0,295,295,1,1,74117937
0.35,PKI,0.2120017526000738,500,0,0,157,50,0,0,0.314,0.1,166.8776709999889,0,0,0,0,212.00175260007381,0.01835819998383522,211.98339440009,0,211.98339440009,0,0,0,0,0
0.4,DPKI,0.18280299539995193,500,311,189,180,50,0.622,0.378,0.36,0.1,173.108830400005,1.134,1.8660000000000003,1.0917987231689745,1.7965576873309579,182.80299539995193,22.123135799646377,160.67985960030555,130.19557037098068,0,311,311,1,1,78316481
0.4,PKI,0.21401748900017142,500,0,0,180,50,0,0,0.36,0.1,172.96456890000402,0,0,0,0,214.01748900017142,0.4557830002009869,213.56170599997043,0,213.56170599997043,0,0,0,0,0
0.45,DPKI,0.19215551760029795,500,327,173,203,50,0.654,0.346,0.406,0.1,163.9390310000032,1.0395,1.9605,1.055270358405355,1.9946439722459601,192.15551760029794,43.169686000347134,148.98583159995079,111.02470520224874,0,327,327,1,1,82516837
0.45,PKI,0.22013563840001824,500,0,0,202,50,0,0,0.404,0.1,160.63979949998856,0,0,0,0,220.13563840001822,0.017184000194072725,220.11845439982415,0,220.11845439982415,0,0,0,0,0
0.5,DPKI,0.24757911780005692,500,343,157,225,50,0.686,0.314,0.45,0.1,169.22162590000033,0.9450000000000001,2.055,0.9277773994015247,2.0269276942339043,247.57911780005693,75.92492880004644,171.6541890000105,131.01009171973368,0,343,343,1,1,86716713
0.5,PKI,0.22287128340005877,500,0,0,225,50,0,0,0.45,0.1,174.79313390000164,0,0,0,0,222.87128340005876,0.017544200122356416,222.8537391999364,0,222.8537391999364,0,0,0,0,0
