lambda,DPKI_lower_theory,DPKI_sim,DPKI_upper_theory,PKI_theory,PKI_sim,DPKI_inside_bounds,PKI_abs_error
5.0,0.088989389774997,0.0864852308000624,0.1099041586173186,0.0912401178208941,0.0811148609997034,False,0.010125256821190698
8.0,0.1025964515007334,0.0907511446002125,0.1279230907198817,0.1176877935165983,0.09482653000018,False,0.022861263516418304
11.0,0.1309832692828126,0.0949334090002775,0.1656275632433903,0.1862035350475389,0.1532989163993299,False,0.03290461864820898
14.0,0.1597004835772025,0.0971650441992879,0.2017738945812355,0.2790139608420001,0.2481891754004061,False,0.030824785441593977
17.0,0.2052060875205565,0.0970589010005593,0.263589445157415,0.3921011592442709,0.2827170619997382,False,0.10938409724453274
