M,source,model,E_T_total
2.0,Theory,PKI FCFS,0.6183376623376624
2.0,Theory,DPKI Upper,0.325319348101507
2.0,Theory,DPKI Lower,0.2887038671763648
2.006006006006006,Theory,PKI FCFS,0.6183376623376624
2.006006006006006,Theory,DPKI Upper,0.325319348101507
2.006006006006006,Theory,DPKI Lower,0.2887038671763648
2.012012012012012,Theory,PKI FCFS,0.6183376623376624
2.012012012012012,Theory,DPKI Upper,0.325319348101507
2.012012012012012,Theory,DPKI Lower,0.2887038671763648
2.018018018018018,Theory,PKI FCFS,0.6183376623376624
2.018018018018018,Theory,DPKI Upper,0.325319348101507
2.018018018018018,Theory,DPKI Lower,0.2887038671763648
2.024024024024024,Theory,PKI FCFS,0.6183376623376624
2.024024024024024,Theory,DPKI Upper,0.325319348101507
2.024024024024024,Theory,DPKI Lower,0.2887038671763648
2.03003003003003,Theory,PKI FCFS,0.6183376623376624
2.03003003003003,Theory,DPKI Upper,0.325319348101507
2.03003003003003,Theory,DPKI Lower,0.2887038671763648
2.036036036036036,Theory,PKI FCFS,0.6183376623376624
2.036036036036036,Theory,DPKI Upper,0.325319348101507
2.036036036036036,Theory,DPKI Lower,0.2887038671763648
2.042042042042042,Theory,PKI FCFS,0.6183376623376624
2.042042042042042,Theory,DPKI Upper,0.325319348101507
2.042042042042042,Theory,DPKI Lower,0.2887038671763648
2.048048048048048,Theory,PKI FCFS,0.6183376623376624
2.048048048048048,Theory,DPKI Upper,0.325319348101507
2.048048048048048,Theory,DPKI Lower,0.2887038671763648
2.054054054054054,Theory,PKI FCFS,0.6183376623376624
2.054054054054054,Theory,DPKI Upper,0.325319348101507
2.054054054054054,Theory,DPKI Lower,0.2887038671763648
2.06006006006006,Theory,PKI FCFS,0.6183376623376624
2.06006006006006,Theory,DPKI Upper,0.325319348101507
2.06006006006006,Theory,DPKI Lower,0.2887038671763648
2.066066066066066,Theory,PKI FCFS,0.6183376623376624
2.066066066066066,Theory,DPKI Upper,0.325319348101507
2.066066066066066,Theory,DPKI Lower,0.2887038671763648
2.0720720720720722,Theory,PKI FCFS,0.6183376623376624
2.0720720720720722,Theory,DPKI Upper,0.325319348101507
2.0720720720720722,Theory,DPKI Lower,0.2887038671763648
2.078078078078078,Theory,PKI FCFS,0.6183376623376624
2.078078078078078,Theory,DPKI Upper,0.325319348101507
2.078078078078078,Theory,DPKI Lower,0.2887038671763648
2.084084084084084,Theory,PKI FCFS,0.6183376623376624
2.084084084084084,Theory,DPKI Upper,0.325319348101507
2.084084084084084,Theory,DPKI Lower,0.2887038671763648
