epsilon,model,kind,count,originalLatencyMs,originalServiceMs,figLatencyMs,figServiceMs,figQueueMs,figCompensationMs,M,runDir
0.1,PKI,cross-domain,900,227.82890481462096,195.29294077787134,232.22866777549206,193.3194746692313,31.820471596260727,7.08872151,4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_4_lambda_28_r10000
0.1,PKI,intra-pki,8100,81.85574189347236,49.34976656782774,83.55669520696438,48.83533904960862,31.836278597355783,2.8850775599999996,4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_4_lambda_28_r10000
0.1,PKI,management,1000,183.29893161555916,169.80757349926233,181.80953206854656,168.72229129505158,13.087240773495,0.0,4.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_4_lambda_28_r10000
0.1,DPKI,cross-domain,900,141.19268881534882,139.7711654450496,125.71917914776695,124.29765577746763,1.4215233702993322,0.0,5.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_5_lambda_28_r10000
0.1,DPKI,intra-off-chain,8100,79.37830882300507,78.98064497534139,63.889957257676826,63.752803753371595,0.13715350430523537,0.0,5.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_5_lambda_28_r10000
0.1,DPKI,management,1000,334.09543454941615,332.7739766998291,253.66065855058537,252.3392007009983,1.3214578495870593,0.0,5.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_5_lambda_28_r10000
0.1,PKI,cross-domain,900,219.0767655453036,195.76854710916678,223.58499842318722,193.79061522139443,22.705661691792773,7.08872151,5.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_5_lambda_28_r10000
0.1,PKI,intra-pki,8100,74.33397410222622,48.989436913073796,76.19952937667746,48.47521346939199,24.839238347285484,2.8850775599999996,5.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_5_lambda_28_r10000
0.1,PKI,management,1000,187.88742185492092,169.1414029006362,186.27614454690465,168.05849989926816,18.217644647636515,0.0,5.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_5_lambda_28_r10000
0.1,DPKI,cross-domain,900,138.92790477210846,137.51894077791107,123.3826474380618,121.97368344386419,1.4089639941976182,0.0,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_6_lambda_28_r10000
0.1,DPKI,intra-off-chain,8100,79.39474343370908,79.32835612370644,63.90338871557746,63.88281028370063,0.020578431876831556,0.0,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_6_lambda_28_r10000
0.1,DPKI,management,1000,332.3612794975721,331.0228271985054,251.2525343030775,249.91408200401068,1.3384522990668197,0.0,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_6_lambda_28_r10000
0.1,PKI,cross-domain,900,209.1512218230941,193.46762622243827,213.9662978306588,191.5120665531026,15.365509767556196,7.08872151,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_6_lambda_28_r10000
0.1,PKI,intra-pki,8100,66.36914405722219,48.27457033344257,68.4253195602313,47.76488506165551,17.775356938575786,2.8850775599999996,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_6_lambda_28_r10000
0.1,PKI,management,1000,176.96702715327538,168.71023310011626,175.65137454683327,167.62286200231313,8.028512544520128,0.0,6.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_6_lambda_28_r10000
