dataKind,epsilon,DPKI_upper_bound,DPKI_lower_bound,DPKI_experimental,PKI_theory,PKI_experimental,lambdaTotalMeasured,pManageMeasured,gammaOnChainMeasured,qManageMeasured,muModelOffchainAuthMeasured,lambdaBlockMeasured,lambdaBlockHeightMeasured,lambdaBlockTxConfirmMeanMs,serviceCAs,pkiMuPrimaryAuthMeasured,pkiQManageMeasured,calibrationScope,PKI_rho
measured_point,0.0,0.08941556438581816,0.06802677179014777,0.07921544373295193,0.061597479932505556,0.06269965979573036,3.0659736481797264,0.1,0.3,0.3,19.43949115375731,20.76409052927516,28.921595701178866,47.196866080809286,4.0,20.76006802577094,0.3252482608952282,Fig6 epsilon measured parameters,0.044581172732764254
measured_point,0.05,0.09345071416025523,0.06816415118982214,0.0821742160291438,0.06849062910538732,0.06910276816679214,2.9283828703566672,0.1,0.3,0.3,19.476619434031864,19.069017531048928,28.921595701178866,51.392264882253386,4.0,20.525051609196197,0.3300170395835256,Fig6 epsilon measured parameters,0.0429096060383734
measured_point,0.1,0.09598718947763067,0.06876907053884192,0.08359570984344852,0.07491206759974114,0.07641987995770949,3.021218992139492,0.1,0.3,0.3,19.50494220680213,19.38138460619389,28.921595701178866,50.56398291001419,4.0,20.792923506018422,0.31686843512822704,Fig6 epsilon measured parameters,0.044156353677931
measured_point,0.15,0.09901224413929924,0.06977280113740966,0.08532867706198285,0.08046312167076003,0.08235013910809773,2.9820687270068538,0.1,0.3,0.3,19.370760575021656,19.50474395355599,28.921595701178866,50.24418686723298,4.0,20.86740992186687,0.32723488153213864,Fig6 epsilon measured parameters,0.04307140795221901
measured_point,0.2,0.10218330375862308,0.07041378833884394,0.08721199592004938,0.08719008793556585,0.08895823463032583,3.0137839577984407,0.1,0.3,0.3,19.37786827207728,19.38090689697669,28.921595701178866,50.56522923356463,4.0,20.930727654617986,0.3185036862836512,Fig6 epsilon measured parameters,0.04369935999937984
measured_point,0.25,0.10443656222475295,0.07090179139901079,0.08909090072109177,0.09388112987855209,0.0954807044612674,2.910487230708703,0.1,0.3,0.3,19.340338704493,19.564852771346146,28.921595701178866,50.08982236939019,4.0,20.771376995409625,0.3251732301146842,Fig6 epsilon measured parameters,0.04229974692135198
measured_point,0.3,0.1080073998477935,0.07133353453532118,0.0914148142310622,0.09971908652455384,0.10227512188872565,2.9717713343724608,0.1,0.3,0.3,19.430935189854996,19.191305158192627,28.921595701178866,51.06479168154153,4.0,20.949949314359877,0.32245000698438536,Fig6 epsilon measured parameters,0.042914382485201984
measured_point,0.35,0.11084255176345205,0.07174855389152575,0.09334252746841175,0.10860591111447017,0.11051982827621663,2.923825011914272,0.1,0.3,0.3,19.451104138734788,19.1099813722858,28.921595701178866,51.282101269928106,4.0,20.514079573139984,0.3195320245343201,Fig6 epsilon measured parameters,0.04322002335779224
measured_point,0.4,0.11172270675235338,0.07182923489438409,0.09333402171346991,0.11609840422725891,0.11677693938817224,2.9294170688372048,0.1,0.3,0.3,19.594567812530915,19.871340438323237,28.921595701178866,49.31725683235758,4.0,20.287240577566397,0.3267907802799159,Fig6 epsilon measured parameters,0.04353592459079973
measured_point,0.45,0.11526204148434516,0.07261540300679872,0.09589141911708961,0.12173666650056596,0.12397965834364434,2.816379055449872,0.1,0.3,0.3,19.470290053247574,19.544309066986404,28.921595701178866,50.14247352726239,4.0,20.429238735323423,0.32683893510793327,Fig6 epsilon measured parameters,0.04156351133290267
measured_point,0.5,0.12243133423175323,0.07516227407874793,0.09974897370097001,0.12643786965495238,0.1299523018868046,2.9566500057232004,0.1,0.3,0.3,19.184057455690812,18.931732344945036,28.921595701178866,51.76494058461955,4.0,20.811925569797047,0.32060867025774337,Fig6 epsilon measured parameters,0.04304243749807115
measured_point,0.55,0.12469566739552941,0.07544939327603489,0.1015279003758353,0.13809797045041533,0.1397911770162296,2.998545950915756,0.1,0.3,0.3,19.33107050035134,19.206934258806093,28.921595701178866,51.023239148678016,4.0,19.95225779444516,0.3337423878382108,Fig6 epsilon measured parameters,0.045071999110596665
measured_point,0.6,0.12818469737624205,0.07632779723313349,0.10254935660709022,0.14603750827533118,0.14758354484324498,3.036132324199065,0.1,0.3,0.3,19.354665975018015,19.269281907002135,28.921595701178866,50.858148462911025,4.0,19.83816236563619,0.32899018170270267,Fig6 epsilon measured parameters,0.04606504294609271
plot_curve,0.0,0.09049848612361325,0.06810425289380298,0.07984077748384824,0.06222319487486976,,,,,,,,,,,,,,
plot_curve,0.002006688963210702,0.09059935370232187,0.06811819261676684,0.07991229183698478,0.06245944855189803,,,,,,,,,,,,,,
plot_curve,0.004013377926421404,0.09070038619784891,0.06813222231635178,0.07998384357883548,0.06269597716423357,,,,,,,,,,,,,,
plot_curve,0.006020066889632107,0.09080158361019434,0.06814634199255784,0.08005543270940031,0.0629327807118764,,,,,,,,,,,,,,
plot_curve,0.008026755852842809,0.0909029459393582,0.068160551645385,0.0801270592286793,0.06316985919482652,,,,,,,,,,,,,,
plot_curve,0.01003344481605351,0.09100447318534045,0.06817485127483325,0.08019872313667242,0.06340721261308392,,,,,,,,,,,,,,
plot_curve,0.012040133779264214,0.09110616534814112,0.0681892408809026,0.0802704244333797,0.0636448409666486,,,,,,,,,,,,,,
plot_curve,0.014046822742474915,0.0912080224277602,0.06820372046359305,0.08034216311880112,0.06388274425552057,,,,,,,,,,,,,,
plot_curve,0.016053511705685617,0.09131004442419768,0.0682182900229046,0.08041393919293668,0.06412092247969982,,,,,,,,,,,,,,
plot_curve,0.01806020066889632,0.09141223133745356,0.06823294955883724,0.08048575265578639,0.06435937563918635,,,,,,,,,,,,,,
plot_curve,0.02006688963210702,0.09151458316752786,0.06824769907139099,0.08055760350735025,0.06459810373398017,,,,,,,,,,,,,,
plot_curve,0.022073578595317722,0.09161709991442057,0.06826253856056583,0.08062949174762825,0.06483710676408128,,,,,,,,,,,,,,
plot_curve,0.024080267558528427,0.09171978157813168,0.06827746802636178,0.0807014173766204,0.06507638472948966,,,,,,,,,,,,,,
plot_curve,0.02608695652173913,0.0918226281586612,0.06829248746877882,0.08077338039432669,0.06531593763020534,,,,,,,,,,,,,,
plot_curve,0.02809364548494983,0.09192563965600914,0.06830759688781696,0.08084538080074713,0.0655557654662283,,,,,,,,,,,,,,
plot_curve,0.030100334448160532,0.09202881607017548,0.0683227962834762,0.08091741859588172,0.06579586823755854,,,,,,,,,,,,,,
plot_curve,0.032107023411371234,0.09213215740116022,0.06833808565575654,0.08098949377973044,0.06603624594419606,,,,,,,,,,,,,,
