probe,model,kind,count,meanMs,stdMs,cv,cvGapToExp,expKs,p50EmpMs,p50ExpMs,p50AbsErrMs,p90EmpMs,p90ExpMs,p90AbsErrMs,p95EmpMs,p95ExpMs,p95AbsErrMs,maxMs,p99Ms
offchain_intra,DPKI,intra-off-chain,300,59.76931833386421,10.874489327708726,0.1819409963313474,0.8180590036686526,0.5381608032782952,55.4381500184536,41.428934487107824,14.009215531345774,76.8264200270176,137.6239414139715,60.79752138695386,80.28190501630307,179.0528759010792,98.77097088477612,99.65249997377396,93.63351302206516
offchain_intra,PKI,intra-pki,300,55.53208533326785,11.541027935876375,0.207826301976858,0.792173698023142,0.5258739895873756,51.1251500248909,38.4919083793689,12.633241645521998,69.65775995850564,127.86735187125583,58.20959191275021,76.7747949898243,166.3592602506247,89.58446526080039,132.15849995613098,87.01843094408511
onchain_intra,DPKI,intra-on-chain,300,121.6249613346656,31.029752063155147,0.2551265112247236,0.7448734887752764,0.4497975686969536,115.80689999461174,84.30399903483583,31.502900959775918,162.34320001006125,280.05182290517826,117.708622895117,177.9539949923754,364.3558219400139,186.4018269476385,235.7921999692917,216.18695003926751
cross_domain,DPKI,cross-domain,300,136.96750433464845,31.5947667872242,0.230673450178589,0.769326549821411,0.4566117138980409,132.4374000132084,94.93863945789366,37.49876055531473,176.89649000763893,315.3793337055589,138.48284369791998,192.19299999773503,410.3179731634524,218.12497316571736,274.88580000400543,232.398254033327
cross_domain,PKI,cross-domain,300,190.76487433274588,16.130328275672493,0.0845560710906181,0.915443928909382,0.5831437383041254,188.2164999842644,132.22813479361508,55.98836519064929,210.6186000108719,439.2523559054632,228.63375589459127,215.7966000378132,571.480490699078,355.68389066126485,303.497800052166,233.16219799935809
management,DPKI,management,300,272.20434166789056,43.68723642450487,0.1604942674933764,0.8395057325066235,0.5092689165983398,263.9949499964714,188.6776719632744,75.31727803319703,326.32339000105856,626.7736593727428,300.45026937168427,350.39954500794414,815.4513313360169,465.0517863280728,490.4676000475884,390.7860689669847
management,PKI,management,300,163.9727793329954,20.51198726126533,0.1250938560943073,0.8749061439056927,0.5369030019912977,160.81094998121262,113.65726968324384,47.15368029796879,193.8894099891186,377.5612773489574,183.6718673598388,200.34503497481347,491.218547032201,290.8735120573876,227.6026999950409,216.95305398523809
