sample,count,meanMs,medianMs,p90Ms,p95Ms,minMs,maxMs
DPKI intra-off-chain,2205,65.66612467300865,62.710100173950195,80.11915993690492,86.99475994110097,44.20979976654053,137.08609986305237
PKI intra-pki,3150,59.32592971022167,55.62000000476837,77.12738039493561,85.18465496301651,39.19989991188049,150.45450019836426
