sequence,method,from,serializationWaitMs,estimateGasMs,nonceMs,encodeMs,signMs,submitToHashMs,submitAttempts,submitTimeouts,submitAssumedHash,submitAcceptedByError,lastSubmitError,hashToReceiptMs,receiptPolls,lastReceiptPollError,receiptTotalMs,lockHeldMs,totalMs,gasMode,gasEstimate,gasLimit,gasUsed,nonce,blockNumber,transactionIndex,transactionHash,status,error
1,putDomainRoot,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.08929991722106934,0,0.002200007438659668,0.9809999465942383,0.9559000730514526,3.0190000534057617,1,0,,,,147.30949997901917,10,,150.3402999639511,5.203400015830994,152.41429996490479,fixed,,800000,44373,93373,4888969,0,0x48f3e607f57f0bb00edeaf2ae015783b7d1b012a61c4ca203656386d4f20ca1e,true,
2,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.004600048065185547,0,0.0012999773025512695,1.2577999830245972,0.9630999565124512,2.0300999879837036,1,0,,,,10.298200011253357,2,,12.332599997520447,4.3694000244140625,14.581500053405762,fixed,,800000,189057,93374,4888970,0,0x72a8a27e7302ecc6dd9e589ae0592b218af7a649c87b76740ccd4d9a52129c10,true,
3,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.004000067710876465,0,0.001199960708618164,0.5722000598907471,0.760699987411499,1.9021000862121582,1,0,,,,43.22200000286102,4,,45.13029992580414,3.351799964904785,46.48900008201599,fixed,,800000,189045,93375,4888971,0,0x2cbf24f878ab7bada685071fcc949396b99e0559eae9ef2bcdf0754e45eff512,true,
4,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.004500031471252441,0,0.0012999773025512695,0.4494999647140503,0.8722999095916748,2.1088000535964966,1,0,,,,166.92110002040863,12,,169.0378999710083,3.589900016784668,170.38709998130798,fixed,,800000,189045,93376,4888973,0,0x33b6fdd65a50d90305dd5608563b4ce3dfd7076a2a7791f763df53f6dfb87ef3,true,
5,putDomainRoot,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.007400035858154297,0,0.0017000436782836914,0.08789992332458496,0.802899956703186,2.301100015640259,1,0,,,,69.3902999162674,6,,71.70179998874664,3.3418999910354614,72.6224000453949,fixed,,800000,44373,93377,4888975,0,0xb419c7d51862309478493691de7eb6a5e31fbab9dc7c835e90de1653b63a724f,true,
6,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.00410008430480957,0,0.001399993896484375,0.42669999599456787,0.6863000392913818,2.0198999643325806,1,0,,,,43.78190004825592,4,,45.80809998512268,3.2523999214172363,46.95179998874664,fixed,,800000,189045,93378,4888976,0,0xc57dc2d90796518427e8deee26b4e2f10e914d25e6819c0274a5e017ee6af8c4,true,
7,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.008299946784973145,0,0.0029000043869018555,0.41589999198913574,0.8567999601364136,2.5221999883651733,1,0,,,,103.78509998321533,8,,106.31659996509552,3.961899995803833,107.64129996299744,fixed,,800000,189009,93379,4888978,0,0x4400ea4717d38983223e76589d009f2e426a46f855b6a312c0ef72e3761c03d9,true,
8,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.004599928855895996,0,0.001799941062927246,0.29170000553131104,0.7476000785827637,2.0292000770568848,1,0,,,,43.282999992370605,4,,45.32009994983673,3.190000057220459,46.47350001335144,fixed,,800000,189057,93380,4888980,0,0x073875d7d9a6bd01a533a70f1d320630fed50659520acbf5818ca96d23b6dd61,true,
9,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.0056999921798706055,0,0.001199960708618164,0.3494999408721924,0.6957000494003296,1.7558000087738037,1,0,,,,121.0541000366211,9,,122.81700003147125,2.9185999631881714,123.90079998970032,fixed,,800000,189045,93381,4888981,0,0x252398731a5f639001363b153c661d8772c9fcdb566e6d8823723256e38b0651,true,
10,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.006199955940246582,0,0.0015000104904174805,0.3057999610900879,0.6805000305175781,2.06850004196167,1,0,,,,43.355299949645996,4,,45.43269991874695,3.175700068473816,46.4481999874115,fixed,,800000,189057,93382,4888984,0,0x71f859f9e3aff9944090b8e9430812934a0ce007cb5b514529b124f202e188ef,true,
11,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.009000062942504883,0,0.0017000436782836914,0.29700005054473877,0.7114999294281006,1.7792999744415283,1,0,,,,28.71060001850128,3,,30.49589991569519,2.8935999870300293,31.53470003604889,fixed,,800000,189057,93383,4888985,0,0xc2e52dc0aec1864167867b54c3bc20a3c0247ccc0dfef31e3199ae84250b20a6,true,
12,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.007599949836730957,0,0.001999974250793457,0.3432999849319458,0.7386000156402588,1.8694000244140625,1,0,,,,27.4342999458313,3,,29.31029999256134,3.0644999742507935,30.428099989891052,fixed,,800000,189057,93384,4888986,0,0xb5cc57cbfc5b8e60d035c7067beff446435fc8f8af7431ef541e79d7e91527e7,true,
13,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.0076999664306640625,0,0.001399993896484375,0.23829996585845947,0.6740000247955322,1.73170006275177,1,0,,,,105.15490007400513,8,,106.89280009269714,2.745800018310547,107.82739996910095,fixed,,800000,189045,93385,4888987,0,0x9cc89649e13fe3e40a0d4ace0be5b535cfba4ade14971266fb6629b08813e3c9,true,
