p,DPKI_sim,PKI_sim
0.1,0.1762811453044793,0.20474134017254544
0.15,0.20120023859800118,0.2227546203431744
0.2,0.22986568002126156,0.23965388067962837
0.25,0.2607481859621137,0.2569429161299909
0.3,0.2961231823485755,0.27422109260668215
0.35,0.33499705938138136,0.29085499451154573
0.4,0.38084674428337434,0.30788804998938313
