Parameter,Value
DPKI_lambda_n,1.6260000000000001
DPKI_rho_block,0.7026000000000001
DPKI_EW_tx,2.945534807259473
DPKI_eta_val,0.27688125725393786
DPKI_alpha_approx,0.8155633807192384
M/H2/1_lambda_rate,1.6260000000000001
M/H2/1_rho,0.30894000000000005
M/H2/1_EW,0.25646687697160886
M/H2/1_eta_val,0.8066174157694193
M/H2/1_alpha_approx,0.20687064953329273


Percentile,DPKI_Sim_Time_Value,DPKI_Sim_Tail_Prob,DPKI_Approx_Tail_Prob,M/H2/1_Sim_Time_Value,M/H2/1_Sim_Tail_Prob,M/H2/1_Approx_Tail_Prob
0.0,3.1703649712904083e-08,1.0,0.8155633735601037,0.0,1.0,0.20687064953329273
0.1,0.0010013134307270384,0.9990000000000001,0.8153373012548268,0.0,0.9990000000000001,0.20687064953329273
0.2,0.0019997781872409244,0.998,0.8151119273759048,0.0,0.998,0.20687064953329273
0.30000000000000004,0.0030061829096372852,0.997,0.8148848243270035,0.0,0.997,0.20687064953329273
0.4,0.004022200688962692,0.996,0.814655616200988,0.0,0.996,0.20687064953329273
0.5,0.005036768780106285,0.995,0.8144267994497993,0.0,0.995,0.20687064953329273
0.6000000000000001,0.006053139167965235,0.9940000000000001,0.8141976406648319,0.0,0.9940000000000001,0.20687064953329273
0.7000000000000001,0.007077556195133599,0.993,0.8139667328689815,0.0,0.993,0.20687064953329273
0.8,0.008102754393526779,0.992,0.8137357145546871,0.0,0.992,0.20687064953329273
0.9,0.009140112830418391,0.991,0.8135020227886818,0.0,0.991,0.20687064953329273
1.0,0.010177413780190867,0.99,0.81326841108006,0.0,0.99,0.20687064953329273
1.1,0.011224534450567916,0.9890000000000001,0.8130326559025155,0.0,0.9890000000000001,0.20687064953329273
1.2000000000000002,0.012276964037511525,0.988,0.8127957743056241,0.0,0.988,0.20687064953329273
1.3,0.013326331675198767,0.987,0.8125596506103284,0.0,0.987,0.20687064953329273
1.4000000000000001,0.014384768249756794,0.986,0.8123215557537299,0.0,0.986,0.20687064953329273
1.5,0.01545518911927464,0.985,0.8120808359905367,0.0,0.985,0.20687064953329273
1.6,0.016522859570271275,0.9840000000000001,0.8118408058096439,0.0,0.9840000000000001,0.20687064953329273
1.7000000000000002,0.017609741347034837,0.983,0.8115965294742741,0.0,0.983,0.20687064953329273
1.8,0.018693639263155697,0.982,0.8113529969590341,0.0,0.982,0.20687064953329273
1.9000000000000001,0.019780012100340385,0.981,0.8111089816994916,0.0,0.981,0.20687064953329273
2.0,0.02086837908440434,0.98,0.8108645921153567,0.0,0.98,0.20687064953329273
2.1,0.02196629880122821,0.9790000000000001,0.810618132100911,0.0,0.9790000000000001,0.20687064953329273
2.2,0.023070041757410988,0.978,0.8103704403988365,0.0,0.978,0.20687064953329273
2.3000000000000003,0.0241772030686056,0.977,0.810122057617783,0.0,0.977,0.20687064953329273
2.4000000000000004,0.02529385253317623,0.976,0.8098716233574275,0.0,0.976,0.20687064953329273
2.5,0.026416855139623947,0.975,0.8096198423382769,0.0,0.975,0.20687064953329273
2.6,0.02754072484135272,0.9740000000000001,0.809367945280289,0.0,0.9740000000000001,0.20687064953329273
2.7,0.028685194099753057,0.973,0.8091115117082613,0.0,0.973,0.20687064953329273
2.8000000000000003,0.02982232581527314,0.972,0.8088568026771039,0.0,0.972,0.20687064953329273
2.9000000000000004,0.030958677671486818,0.971,0.8086023484287913,0.0,0.971,0.20687064953329273
3.0,0.032108541931906,0.97,0.8083449499359251,0.0,0.97,0.20687064953329273
3.1,0.03326095093391643,0.9690000000000001,0.8080870640082057,0.0,0.9690000000000001,0.20687064953329273
3.2,0.03442737171973391,0.968,0.8078261263051436,0.0,0.968,0.20687064953329273
3.3000000000000003,0.035598417361336225,0.9670000000000001,0.8075642387452805,0.0,0.9670000000000001,0.20687064953329273
3.4000000000000004,0.03677669787710811,0.966,0.8073008188987564,0.0,0.966,0.20687064953329273
3.5,0.03795514377107177,0.965,0.8070374480229608,0.0,0.965,0.20687064953329273
3.6,0.03912952066382106,0.9640000000000001,0.8067750720049457,0.0,0.9640000000000001,0.20687064953329273
3.7,0.04030879726428997,0.963,0.8065116871434953,0.0,0.963,0.20687064953329273
3.8000000000000003,0.041507452300479336,0.9620000000000001,0.8062440623335235,0.0,0.9620000000000001,0.20687064953329273
3.9000000000000004,0.04271822179450007,0.961,0.8059738228741258,0.0,0.961,0.20687064953329273
4.0,0.04393413195171845,0.96,0.8057025271942944,0.0,0.96,0.20687064953329273
4.1000000000000005,0.04514501174707872,0.9590000000000001,0.8054324446501657,0.0,0.9590000000000001,0.20687064953329273
4.2,0.0463750924366691,0.958,0.8051581721131061,0.0,0.958,0.20687064953329273
4.3,0.04759403832008372,0.9570000000000001,0.8048864744501816,0.0,0.9570000000000001,0.20687064953329273
4.4,0.048827925007476604,0.956,0.8046115399237268,0.0,0.956,0.20687064953329273
4.5,0.050066660282226776,0.955,0.8043356195022966,0.0,0.955,0.20687064953329273
4.6000000000000005,0.05132099843735906,0.9540000000000001,0.8040563200530327,0.0,0.9540000000000001,0.20687064953329273
4.7,0.05258163923996048,0.953,0.803775714930255,0.0,0.953,0.20687064953329273
4.800000000000001,0.05384190246680093,0.9520000000000001,0.8034952917353164,0.0,0.9520000000000001,0.20687064953329273
4.9,0.05511053642223291,0.951,0.8032131047676446,0.0,0.951,0.20687064953329273
5.0,0.05638800827559297,0.95,0.8029290520952649,0.0,0.95,0.20687064953329273
5.1000000000000005,0.05766355550136767,0.9490000000000001,0.8026455276011392,0.0,0.9490000000000001,0.20687064953329273
5.2,0.058960081231609625,0.948,0.8023574426725063,0.0,0.948,0.20687064953329273
5.300000000000001,0.06025335726482073,0.9470000000000001,0.8020701828296436,0.0,0.9470000000000001,0.20687064953329273
5.4,0.0615646895087727,0.946,0.8017790173863383,0.0,0.946,0.20687064953329273
5.5,0.06286062226092139,0.945,0.8014913750573653,0.0,0.945,0.20687064953329273
5.6000000000000005,0.06417093879410815,0.9440000000000001,0.8012006450540066,0.0,0.9440000000000001,0.20687064953329273
5.7,0.06549923826881146,0.943,0.8009060326762131,0.0,0.943,0.20687064953329273
5.800000000000001,0.06683255186211513,0.9420000000000001,0.8006104171308064,0.0,0.9420000000000001,0.20687064953329273
5.9,0.06816531368930379,0.941,0.8003150329645901,0.0,0.941,0.20687064953329273
6.0,0.06952078065373114,0.94,0.8000147283700189,0.0,0.94,0.20687064953329273
6.1000000000000005,0.07088295281673732,0.9390000000000001,0.7997130517559393,0.0,0.9390000000000001,0.20687064953329273
6.2,0.07225249081257135,0.938,0.7994098585338043,0.0,0.938,0.20687064953329273
6.300000000000001,0.07362099889083724,0.937,0.7991070081377769,0.0,0.937,0.20687064953329273
6.4,0.0749854398768077,0.9359999999999999,0.7988051720096362,0.0,0.9359999999999999,0.20687064953329273
6.5,0.07637586744359624,0.935,0.7984977045209745,0.0,0.935,0.20687064953329273
6.6000000000000005,0.07777448610538275,0.934,0.7981885451170997,0.0,0.934,0.20687064953329273
6.7,0.07917779695021919,0.9329999999999999,0.7978784688259641,0.0,0.9329999999999999,0.20687064953329273
6.800000000000001,0.080596876225318,0.932,0.7975650308289095,0.0,0.932,0.20687064953329273
6.9,0.08201564262605048,0.9309999999999999,0.7972517850277695,0.0,0.9309999999999999,0.20687064953329273
7.0,0.0834414917700508,0.93,0.7969370993967252,0.0,0.93,0.20687064953329273
7.1000000000000005,0.08488887267092407,0.929,0.7966177887339612,0.0,0.929,0.20687064953329273
7.2,0.08633987513821041,0.9279999999999999,0.796297807527013,0.0,0.9279999999999999,0.20687064953329273
7.300000000000001,0.08779892779173375,0.927,0.7959761806587665,0.0,0.927,0.20687064953329273
7.4,0.08926061302261684,0.9259999999999999,0.7956541037349925,0.0,0.9259999999999999,0.20687064953329273
7.5,0.09073352658947187,0.925,0.7953296845167912,0.0,0.925,0.20687064953329273
7.6000000000000005,0.09221588031410025,0.924,0.7950033195923805,0.0,0.924,0.20687064953329273
7.7,0.09372178842008347,0.9229999999999999,0.7946719059106939,0.0,0.9229999999999999,0.20687064953329273
7.800000000000001,0.09521915824510169,0.922,0.7943425082806346,0.0,0.922,0.20687064953329273
7.9,0.09672594948954537,0.9209999999999999,0.7940111759166988,0.0,0.9209999999999999,0.20687064953329273
8.0,0.09824686172591499,0.92,0.793676878602456,0.0,0.92,0.20687064953329273
8.1,0.09975539667153835,0.919,0.793345440856978,0.0,0.919,0.20687064953329273
8.200000000000001,0.1012876792955742,0.9179999999999999,0.7930089272407076,0.0,0.9179999999999999,0.20687064953329273
8.3,0.10284681801310903,0.917,0.792666662112802,0.0,0.917,0.20687064953329273
8.4,0.10442161467024734,0.9159999999999999,0.7923211096791293,0.0,0.9159999999999999,0.20687064953329273
8.5,0.10599322153975849,0.915,0.791976407351662,0.0,0.915,0.20687064953329273
8.6,0.10757643973296742,0.914,0.7916293099292618,0.0,0.914,0.20687064953329273
8.700000000000001,0.10917023085073085,0.9129999999999999,0.7912800481964093,0.0,0.9129999999999999,0.20687064953329273
8.8,0.11076581639016272,0.912,0.7909305475881776,0.0,0.912,0.20687064953329273
8.9,0.11237869295463307,0.9109999999999999,0.7905774164044538,0.0,0.9109999999999999,0.20687064953329273
9.0,0.1139769636342376,0.91,0.7902276386349688,0.0,0.91,0.20687064953329273
9.1,0.11560399689512119,0.909,0.7898717251977871,0.0,0.909,0.20687064953329273
9.200000000000001,0.11722987420770557,0.9079999999999999,0.7895162247545773,0.0,0.9079999999999999,0.20687064953329273
9.3,0.11890597189819241,0.907,0.7891499110427256,0.0,0.907,0.20687064953329273
9.4,0.12056705632737383,0.9059999999999999,0.7887870461850084,0.0,0.9059999999999999,0.20687064953329273
9.5,0.12224652078400332,0.905,0.7884203358304658,0.0,0.905,0.20687064953329273
9.600000000000001,0.1239498957017523,0.904,0.7880485787796757,0.0,0.904,0.20687064953329273
9.700000000000001,0.1256482059461713,0.903,0.7876781015908473,0.0,0.903,0.20687064953329273
9.8,0.12736479575882997,0.902,0.7873038138035278,0.0,0.902,0.20687064953329273
9.9,0.12908920014848907,0.9009999999999999,0.7869280011840071,0.0,0.9009999999999999,0.20687064953329273
10.0,0.13084550019127503,0.9,0.7865454216993968,0.0,0.9,0.20687064953329273
10.100000000000001,0.13260554158803986,0.899,0.7861622138184771,0.0,0.899,0.20687064953329273
10.200000000000001,0.13440440064238138,0.898,0.7857707472213504,0.0,0.898,0.20687064953329273
10.3,0.1361895901157644,0.897,0.7853824481033149,0.0,0.897,0.20687064953329273
10.4,0.13797198858960205,0.8959999999999999,0.7849949474930786,0.0,0.8959999999999999,0.20687064953329273
10.5,0.13978678147794676,0.895,0.7846006006390798,0.0,0.895,0.20687064953329273
10.600000000000001,0.14157601251918855,0.894,0.7842120022039285,0.0,0.894,0.20687064953329273
10.700000000000001,0.14339125526819624,0.893,0.7838179510363342,0.0,0.893,0.20687064953329273
10.8,0.14522610131818384,0.892,0.7834198456244343,0.0,0.892,0.20687064953329273
10.9,0.1470588741050373,0.8909999999999999,0.7830223919045209,0.0,0.8909999999999999,0.20687064953329273
11.0,0.14893175849259274,0.89,0.7826164479212092,0.0,0.89,0.20687064953329273
11.100000000000001,0.15080546103990544,0.889,0.7822105371957105,0.0,0.889,0.20687064953329273
11.200000000000001,0.15270088881718086,0.888,0.7818001342157701,0.0,0.888,0.20687064953329273
11.3,0.15458752344562246,0.887,0.7813918489819459,0.0,0.887,0.20687064953329273
11.4,0.1565092443582509,0.8859999999999999,0.7809761899567501,0.0,0.8859999999999999,0.20687064953329273
11.5,0.15844884412529922,0.885,0.7805568880244168,0.0,0.885,0.20687064953329273
11.600000000000001,0.16040834237463342,0.884,0.7801335130425133,0.0,0.884,0.20687064953329273
11.700000000000001,0.1623705840357241,0.883,0.7797097754324805,0.0,0.883,0.20687064953329273
11.8,0.1643108046904331,0.882,0.7792910194617095,0.0,0.882,0.20687064953329273
11.9,0.16630734350543638,0.8809999999999999,0.7788603431816452,0.0,0.8809999999999999,0.20687064953329273
12.0,0.1683215814975836,0.88,0.7784260901742152,0.0,0.88,0.20687064953329273
12.100000000000001,0.17032882313511902,0.879,0.7779935863804045,0.0,0.879,0.20687064953329273
12.200000000000001,0.17235013871494143,0.878,0.777558292887917,0.0,0.878,0.20687064953329273
12.3,0.17437052724643853,0.877,0.7771234424193525,0.0,0.877,0.20687064953329273
12.4,0.17640512381522716,0.8759999999999999,0.7766857797008011,0.0,0.8759999999999999,0.20687064953329273
12.5,0.17847241780025647,0.875,0.7762413358876254,0.0,0.875,0.20687064953329273
12.600000000000001,0.18056665149613668,0.8740000000000001,0.7757913596713568,0.0,0.8740000000000001,0.20687064953329273
12.700000000000001,0.18268840017697996,0.873,0.7753357374724,0.0,0.873,0.20687064953329273
12.8,0.18482050373434336,0.872,0.7748781612262542,0.0,0.872,0.20687064953329273
12.9,0.18697161133599063,0.871,0.774416780139485,0.0,0.871,0.20687064953329273
13.0,0.18910001665513926,0.87,0.7739605387442371,0.0,0.87,0.20687064953329273
13.100000000000001,0.19126357306746294,0.8690000000000001,0.7734970379050113,0.0,0.8690000000000001,0.20687064953329273
13.200000000000001,0.19344800755676977,0.868,0.7730293459410695,0.0,0.868,0.20687064953329273
13.3,0.19564468455366574,0.867,0.7725593180003476,0.0,0.867,0.20687064953329273
13.4,0.19784898356151004,0.866,0.7720879464425576,0.0,0.866,0.20687064953329273
13.5,0.20009151792747829,0.865,0.7716086936912357,0.0,0.865,0.20687064953329273
13.600000000000001,0.20234714026451087,0.8640000000000001,0.771126943997534,0.0,0.8640000000000001,0.20687064953329273
13.700000000000001,0.20462582745517682,0.863,0.7706405735813047,0.0,0.863,0.20687064953329273
13.8,0.20692067168463435,0.862,0.770151064590882,0.0,0.862,0.20687064953329273
13.9,0.20921318121687368,0.861,0.7696623640710457,0.0,0.861,0.20687064953329273
14.0,0.21153175446154238,0.86,0.7691684228917846,0.0,0.86,0.20687064953329273
14.100000000000001,0.2138827075932499,0.8590000000000001,0.768667907272201,0.0,0.8590000000000001,0.20687064953329273
14.200000000000001,0.21623142944160886,0.858,0.7681681919242427,0.0,0.858,0.20687064953329273
14.3,0.2186084473730764,0.857,0.7676627870473502,0.0,0.857,0.20687064953329273
14.4,0.22102472319441235,0.856,0.767149375908519,0.0,0.856,0.20687064953329273
14.5,0.22349673827064934,0.855,0.7666244766122442,0.0,0.855,0.20687064953329273
14.600000000000001,0.2259259898236743,0.8540000000000001,0.76610900746004,0.0,0.8540000000000001,0.20687064953329273
14.700000000000001,0.2284019019475409,0.853,0.7655839939246764,0.0,0.853,0.20687064953329273
