p,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,DPKI_sim,PKI_sim
0.1,0.17642820555591449,0.16659201126525078,0.20494074492099323,0.1762811453044793,0.20474134017254544
0.10303030303030304,0.1779154291657845,0.16794711224630848,0.20597859238428634,,
0.10606060606060606,0.17941198425504123,0.16931063712470018,0.20701669640603224,,
0.1090909090909091,0.18091794497718644,0.1706826553264847,0.20805505735530397,,
0.11212121212121212,0.18243338630289863,0.17206323704280302,0.20909367560188272,,
0.11515151515151516,0.18395838403131987,0.17345245324044578,0.21013255151625973,,
0.1181818181818182,0.18549301480153074,0.17485037567259637,0.21117168546963774,,
0.12121212121212122,0.18703735610421607,0.1762570768897531,0.21221107783393303,,
0.12424242424242425,0.18859148629352632,0.17767263025083432,0.21325072898177683,,
0.1272727272727273,0.19015548459913656,0.17909710993446892,0.21429063928651726,,
0.1303030303030303,0.19172943113850968,0.1805305909504773,0.21533080912222088,,
0.13333333333333336,0.19331340692936494,0.18197314915154555,0.2163712388636746,,
0.13636363636363638,0.19490749390235795,0.18342486124509655,0.2174119288863871,,
0.1393939393939394,0.1965117749139756,0.18488580480536337,0.21845287956659104,,
0.14242424242424245,0.1981263337596498,0.1863560582856666,0.2194940912812444,,
0.14545454545454548,0.1997512551870952,0.1878357010309018,0.22053556440803238,,
0.1484848484848485,0.20138662490987433,0.1893248132902402,0.22157729932536926,,
0.15,,,,0.20120023859800118,0.2227546203431744
0.15151515151515152,0.20303252962119597,0.1908234762300472,0.2226192964123999,,
0.15454545454545454,0.20468905700795037,0.1923317719470225,0.2236615560490017,,
0.1575757575757576,0.2063562957649862,0.19384978348156773,0.22470407861578648,,
0.1606060606060606,0.20803433560963525,0.19537759483138412,0.2257468644941019,,
0.16363636363636364,0.20972326729648788,0.19691529096530702,0.22678991406603347,,
0.16666666666666669,0.21142318263242632,0.1984629578373801,0.22783322771440642,,
0.1696969696969697,0.21313417449191985,0.20002068240117588,0.22887680582278733,,
0.17272727272727273,0.21485633683258754,0.20158855262436598,0.22992064877548582,,
0.17575757575757578,0.21658976471103403,0.20316665750354784,0.23096475695755678,,
0.1787878787878788,0.21833455429896398,0.20475508707933132,0.23200913075480162,,
0.18181818181818182,0.22009080289958116,0.20635393245169267,0.23305377055377055,,
0.18484848484848487,0.221858608964277,0.20796328579559925,0.23409867674176418,,
0.1878787878787879,0.22363807210961653,0.20958324037691223,0.23514384970683527,,
0.19090909090909092,0.22542929313462576,0.21121389056857232,0.23618928983779078,,
0.19393939393939397,0.22723237403838845,0.21285533186707437,0.2372349975241935,,
0.196969696969697,0.2290474180379575,0.21450766090923729,0.23828097315636396,,
0.2,,,,0.22986568002126156,0.23965388067962837
