M,DPKI_upper_theory,DPKI_lower_theory,PKI_theory
0.5,0.4705189631815345,0.4558154090842208,0.9216666666666669
0.5404040404040404,0.44493090377048317,0.43022734967316945,0.756937984496124
0.5808080808080808,0.4242800030900385,0.40957644899272483,0.6543710691823902
0.6212121212121212,0.4072630649594938,0.3925595108621801,0.5843650793650794
0.6616161616161617,0.39299845194811855,0.37829489785080483,0.5335388127853882
0.702020202020202,0.38086838130498624,0.3661648272076725,0.4949598393574298
0.7424242424242424,0.3704270887264019,0.35572353462908823,0.46467741935483875
0.7828282828282829,0.3613448528109375,0.3466412987136238,0.44027508090614886
0.8232323232323233,0.35337254154372266,0.33866898744640894,0.4201917404129793
0.8636363636363636,0.34631840841905653,0.33161485432174287,0.40337398373983746
0.9040404040404041,0.34003246925858044,0.3253289151612668,0.3890852130325815
0.9444444444444444,0.3343957195494974,0.31969216545218376,0.37679487179487187
0.9848484848484849,0.32931252852633747,0.3146089744290238,0.36611111111111116
1.0252525252525253,0.24570024308824912,0.23099668899093542,0.3567382413087935
1.0656565656565657,0.24450033712535507,0.2297967830280414,0.34844894026974954
1.106060606060606,0.24344069235339316,0.22873713825607947,0.34106557377049185
1.1464646464646466,0.24250023164394233,0.22779667754662863,0.33444732297063906
1.1868686868686869,0.24166169964176526,0.22695814554445157,0.3284811165845649
1.2272727272727273,0.24091085912678029,0.2262073050294666,0.32307511737089206
1.2676767676767677,0.24023587810861236,0.2255323240112987,0.3181539611360239
1.3080808080808082,0.23962685755379523,0.22492330345648154,0.3136552217453505
1.3484848484848486,0.239075463996183,0.22437190989886932,0.3095267489711934
1.3888888888888888,0.23857464120058813,0.22387108710327444,0.30572463768115943
1.4292929292929295,0.23811838199943108,0.22341482790211742,0.30221166032953106
1.4696969696969697,0.23770154635269455,0.22299799225538086,0.29895604395604397
1.5101010101010102,0.2373197152204169,0.2226161611231032,0.2959305064782097
1.5505050505050506,0.23696907240485893,0.22226551830754526,0.2931114903299204
1.590909090909091,0.23664630840181966,0.221942754304506,0.2904785478547855
1.6313131313131315,0.23634854169360484,0.22164498759629114,0.288013844515442
