M,DPKI_sim,PKI_sim
0.5,,0.9225783211677744
1.0,,0.3610718675120164
1.5,,0.2965378802405406
2.0,,0.27081610139567414
2.5,,0.2576807885260597
3.0,,0.24858401466348057
3.5,,0.24355195876104974
4.0,,0.24054448505712342
4.5,,0.23682563496283512
