epsilon,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho,DPKI_sim,PKI_sim,PKI_sim_raw,pkiNetworkCompensationSec,pkiNetworkCompensationMs,pkiAuthNetworkSetupMs,pkiOcspNetworkRttMs,pkiAuthCount,pkiOcspCount
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
0.1,inf,inf,0.23096077599599907,0.4487083932873439,0.2185859613989048,,,,,,,,
