model,kind,phase,count,meanMs,medianMs,totalServiceMeanMs,totalServiceMedianMs
DPKI,cross-domain,pow_onchain_confirm,48,20.600814630587895,18.05910015106201,20.63124579191208,18.098549842834473
DPKI,intra-on-chain,pow_onchain_confirm,12,25.025591731071472,22.65750002861023,25.12220001220703,22.676300048828125
DPKI,intra-off-chain,openssl_cert_verify,102,12.244467679192038,11.933000087738037,25.194172564674826,24.55205011367798
DPKI,intra-off-chain,mpt_status_verify,102,10.555753904230455,7.849850177764893,25.194172564674826,24.55205011367798
DPKI,intra-off-chain,auth_signature,102,2.294366672927258,2.01265025138855,25.194172564674826,24.55205011367798
DPKI,management,openssl_issue_cert,18,95.78750560018752,90.48940014839172,123.92449445194669,120.68195009231567
DPKI,management,build_mpt,18,11.371477762858072,10.486999988555908,123.92449445194669,120.68195009231567
DPKI,management,pow_put_cert_and_root,18,9.699833340115017,8.740149736404419,123.92449445194669,120.68195009231567
PKI,intra-pki,openssl_cert_verify,114,11.79254206439905,10.436899900436401,66.99627717754296,65.30824995040894
PKI,intra-pki,ocsp_status_verify,114,25.729634201317502,25.106550216674805,66.99627717754296,65.30824995040894
PKI,intra-pki,assertion_sign_verify,114,28.45901225742541,27.35159993171692,66.99627717754296,65.30824995040894
PKI,cross-domain,openssl_cert_chain_verify,48,37.62772293885549,36.667449951171875,141.12727500995,140.04924988746643
PKI,cross-domain,ocsp_status_verify,48,74.09525207678477,73.13200044631958,141.12727500995,140.04924988746643
PKI,cross-domain,assertion_sign_verify,48,27.60529789328575,27.079100131988525,141.12727500995,140.04924988746643
PKI,management,openssl_issue_cert,18,93.69175566567316,90.70650005340576,135.3099944856432,131.15530014038086
PKI,management,openssl_cert_verify,18,10.979377826054892,10.553999662399292,135.3099944856432,131.15530014038086
PKI,management,ocsp_status_verify,18,30.08012779553731,29.212000131607056,135.3099944856432,131.15530014038086
