model,kind,count,latencyMeanSec,latencyRawMeanSec,latencyMedianSec,queueMeanSec,serviceMeanSec,serviceRawMeanSec,serviceMedianSec,serviceStdSec,serviceCv,localNetworkCompensationMeanSec
DPKI,cross-domain,18,0.1536688155516102,0.1536688155516102,0.14224224090179785,0.021256382218743073,0.1324124333328671,0.1324124333328671,0.12028245002031326,0.038853389506332436,0.29342704856620394,0.0
DPKI,intra-off-chain,130,0.061302183841742,0.061302183841742,0.05742024999856949,0.0,0.061302183841742006,0.061302183841742006,0.05742024999856949,0.009454917393270488,0.15423459330061298,0.0
DPKI,intra-on-chain,32,0.14269509448628934,0.14269509448628934,0.12489254999160766,0.01131851637508782,0.13137657811120151,0.13137657811120151,0.11710474997758864,0.043482972064513035,0.33097963647452894,0.0
DPKI,management,20,0.30877953134250097,0.30877953134250097,0.2922518439834989,0.014169656337017325,0.29460987500548363,0.29460987500548363,0.2893069499731064,0.04983027440995616,0.1691398647415626,0.0
