epsilon,targetLambdaOffchain,observedLambdaOffchain,targetLambdaOnchain,observedLambdaOnchain,actualOnChainRatio,actualCrossDomainRatio,arrivalSpanSec,completed,onChainCount,offChainCount,crossDomainCount,chainBlockCount,avgTxPerChainBlock
0.1,0.5832,0.5457053097522667,0.21680000000000002,0.2018362104563178,0.27,0.09,267.5436676001549,200,54,146,18,74,1
0.15,0.5508000000000001,0.6042717491141585,0.2492,0.2714844090223031,0.31,0.135,228.37407209968566,200,62,138,27,82,1
0.2,0.5184000000000001,0.519755049424573,0.2816,0.27986810353630853,0.35,0.18,250.11782019996642,200,70,130,36,90,1
0.25,0.48600000000000004,0.500365302440649,0.31400000000000006,0.3266847842381097,0.395,0.225,241.82332270002365,200,79,121,45,99,1
0.3,0.4536,0.441202289248053,0.34640000000000004,0.33968671827062485,0.435,0.27,256.1183446998596,200,87,113,54,107,1
0.35,0.4212000000000001,0.430237405266382,0.3788,0.3892624142886313,0.475,0.315,244.051304500103,200,95,105,63,115,1
0.4,0.38880000000000003,0.44776145824950014,0.4112000000000001,0.475458043295861,0.515,0.36,216.63320550012588,200,103,97,72,123,1
0.45,0.35640000000000005,0.3303120417070186,0.4436,0.41196220931998945,0.555,0.405,269.4421902999878,200,111,89,81,131,1
0.5,0.32400000000000007,0.2947556135830196,0.4760000000000001,0.433036024893572,0.595,0.45,274.8039265999794,200,119,81,90,139,1
