epsilon,model,kind,count,originalLatencyMs,originalServiceMs,figLatencyMs,figServiceMs,figQueueMs,figCompensationMs,p,runDir
0.1,PKI,management,200,167.89482553698232,165.50446150004865,166.81951552338927,164.465936986506,2.3535785368832878,0.0,0.1,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p1_r2000
0.1,DPKI,cross-domain,170,129.07075529164683,128.01906235603724,127.4249364621104,126.37324352650081,1.0516929356095823,0.0,0.15,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p15_r2000
0.1,DPKI,intra-off-chain,1071,64.25131185855074,64.25131185855074,62.77137628116973,62.77137628116973,0.0,0.0,0.15,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p15_r2000
0.1,DPKI,intra-on-chain,459,125.68499534646581,123.7277357279605,124.11699883298559,122.15973921448057,1.957259618505017,0.0,0.15,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p15_r2000
0.1,DPKI,management,300,283.3261899230023,281.85761000096795,213.16379592747901,211.69521600544454,1.4685799220345022,0.0,0.15,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p15_r2000
0.1,PKI,cross-domain,170,201.94238323292734,199.76134411832865,207.08250120928102,197.84253705424422,2.1512426450368367,7.088721510000001,0.15,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p15_r2000
0.1,PKI,intra-pki,1530,62.50939418394775,58.25598411645765,64.89767785499684,57.74770385303528,4.264896441961546,2.88507756,0.15,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p15_r2000
0.1,PKI,management,300,170.60560621890787,168.52239766716957,169.51798822813532,167.47612201015156,2.0418662179837703,0.0,0.15,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p15_r2000
0.1,DPKI,cross-domain,160,123.55721526686962,123.0015087492764,121.93407401648244,121.37836749888956,0.5557065175928756,0.0,0.2,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p2_r2000
0.1,DPKI,intra-off-chain,1008,63.68116498076253,63.68116498076253,62.178244348083226,62.178244348083226,0.0,0.0,0.2,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p2_r2000
0.1,DPKI,intra-on-chain,432,128.6770453816668,126.90733935159666,127.03439884405563,125.26469281398587,1.7697060300697474,0.0,0.2,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p2_r2000
0.1,DPKI,management,400,279.8552519128661,278.2138789997995,212.69121715897697,211.04984424591063,1.6413729130663341,0.0,0.2,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p2_r2000
0.1,PKI,cross-domain,160,208.24160268242014,205.4204931218177,213.34573493157205,203.49313187524677,2.7638815463252913,7.088721510000001,0.2,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p2_r2000
0.1,PKI,intra-pki,1440,63.96427513860913,58.88000541652242,66.54876156159074,58.37312979147666,5.290554210114075,2.8850775599999996,0.2,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p2_r2000
0.1,PKI,management,400,169.07388451973827,166.56641549944877,167.98709002266563,165.5208500020206,2.4662400206450092,0.0,0.2,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p2_r2000
0.1,DPKI,cross-domain,150,132.01728585838512,128.30804200013478,130.4815165241487,126.772272665898,3.709243858250702,0.0,0.25,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p25_r2000
0.1,DPKI,intra-off-chain,945,63.587686560898234,63.587686560898234,62.11482878759425,62.11482878759425,0.0,0.0,0.25,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p25_r2000
0.1,DPKI,intra-on-chain,405,128.03892313861476,125.99683827117637,126.38509006104285,124.34300519360437,2.0420848674384726,0.0,0.25,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p25_r2000
0.1,DPKI,management,500,282.51436704369473,280.6249956008196,216.14336404045522,214.25399259757995,1.8893714428752755,0.0,0.25,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p25_r2000
0.1,PKI,cross-domain,150,203.60077383998447,200.04925399859746,208.71087670789308,198.1248413538933,3.497313843999849,7.08872151,0.25,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p25_r2000
0.1,PKI,intra-pki,1350,63.69899691607719,57.599930222652574,66.02568629183466,57.08713118332404,6.053477548510617,2.8850775599999996,0.25,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p25_r2000
0.1,PKI,management,500,168.4059107769964,165.54563719987868,167.27979007505718,164.48203539764881,2.7977546774083604,0.0,0.25,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p25_r2000
0.1,DPKI,cross-domain,140,130.92564402491843,127.27107928778445,129.4588754493523,125.80431071221828,3.6545647371339975,0.0,0.3,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p3_r2000
0.1,DPKI,intra-off-chain,882,64.52686247148482,64.52686247148482,62.97951564692856,62.97951564692856,0.0,0.0,0.3,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p3_r2000
0.1,DPKI,intra-on-chain,378,129.7291417416844,126.16509788298103,128.14000946820326,124.57596560950002,3.564043858703237,0.0,0.3,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p3_r2000
