model,kind,stage,count,meanMs,medianMs,minMs,maxMs
DPKI,management,dpkiManagementBuildMpt,300,2.620426333745321,2.427849978208542,2.26500004529953,5.2817999720573425
DPKI,management,dpkiManagementDispatchHttp,300,12.012960665623346,8.847750008106232,0.07420003414154053,51.26380002498627
DPKI,management,dpkiManagementHttpWindow,300,8.347345002293586,5.339000016450882,0.043299973011016846,24.075800001621246
DPKI,management,dpkiManagementIssueCertificate,300,82.66345033148924,79.01929998397827,56.62000000476837,160.48329997062683
DPKI,management,dpkiManagementIssuerAssertionSign,300,12.34467566649119,12.107650011777878,11.194599986076355,21.43910002708435
DPKI,management,dpkiManagementIssuerAssertionVerify,300,9.571604332725206,9.424149990081787,8.647499978542328,18.615700006484985
DPKI,management,dpkiManagementLeafAssertionSign,300,12.603440333207448,12.132849991321564,11.161100029945374,48.18369996547699
DPKI,management,dpkiManagementLeafAssertionVerify,300,9.573398999174437,9.433200031518936,8.598800003528595,16.625699996948242
DPKI,management,dpkiManagementOpenSslIssueCsr,300,17.887417333324752,17.622400015592575,16.695800006389618,30.22810000181198
DPKI,management,dpkiManagementOpenSslIssueExtractPubkey,300,9.319173665046693,9.140650033950806,8.242799997329712,14.219099998474121
DPKI,management,dpkiManagementOpenSslIssueKeygen,300,40.029949666460354,36.71545001864433,16.098399996757507,103.70239996910095
DPKI,management,dpkiManagementOpenSslIssueSignCert,300,13.847601999441782,13.546900004148483,12.722599983215332,29.803099989891052
DPKI,management,dpkiManagementOpenSslVerifyIssuerCA,300,9.412210998336475,9.304249972105026,8.461999952793121,13.832599997520447
DPKI,management,dpkiManagementOpenSslVerifyLeaf,300,9.572576666076978,9.439650028944016,8.569000005722046,13.420400023460388
DPKI,management,dpkiManagementPutCertAndRootTx,300,91.59920900086561,85.80274999141693,26.639299988746643,284.58100003004074
DPKI,management,dpkiManagementRelayHttp,300,0,0,0,0
DPKI,management,dpkiManagementRepositoryHttpVerify,300,11.00626700381438,8.411449998617172,3.340299963951111,33.67900002002716
DPKI,management,dpkiManagementVerifyRepositoryUpdateLocal,300,0.006114665468533834,0.0055999755859375,0.0042999982833862305,0.07639998197555542
PKI,management,pkiManagementDispatchHttp,300,10.291360998749733,6.504599958658218,0.025399982929229736,37.44539999961853
PKI,management,pkiManagementHttpWindow,300,8.063738998969397,5.518500000238419,0.023000001907348633,25.883300006389618
PKI,management,pkiManagementIssuerAssertionSign,300,12.329467997550964,12.10495001077652,11.20329999923706,21.035100042819977
PKI,management,pkiManagementIssuerAssertionVerify,300,9.553947665691375,9.376599997282028,8.637199997901917,14.690500020980835
PKI,management,pkiManagementLeafAssertionSign,300,12.209324000875155,12.081399977207184,11.220600008964539,16.405699968338013
PKI,management,pkiManagementLeafAssertionVerify,300,9.631217333674432,9.408099979162216,8.702699959278107,16.762600004673004
PKI,management,pkiManagementOpenSslVerifyIssuerCA,300,9.41571699957053,9.237350016832352,8.526800036430359,13.894200026988983
PKI,management,pkiManagementOpenSslVerifyLeaf,300,9.486114665468534,9.240999966859818,8.569999992847443,15.250600039958954
PKI,management,pkiManagementRelayHttp,300,0,0,0,0
PKI,management,pkiManagementRepositoryHttpVerify,300,0.12087666511535644,0.11520004272460938,0.09880000352859497,0.2687000036239624
PKI,management,pkiOpenSslIssueCsr,300,17.886134000221887,17.565900027751923,16.692599952220917,47.18450003862381
PKI,management,pkiOpenSslIssueExtractPubkey,300,9.240147333343824,9.081749975681305,8.386900007724762,13.69839996099472
PKI,management,pkiOpenSslIssueKeygen,300,40.94563733537992,37.33430004119873,15.490899980068207,90.24099999666214
PKI,management,pkiOpenSslIssueSignCert,300,13.937513332366944,13.517500013113022,12.59689998626709,68.95469999313354
