model,kind,count,meanMs,stdMs,cv,cvGapToExp,expKs,p50EmpMs,p50ExpMs,p50AbsErrMs,p90EmpMs,p90ExpMs,p90AbsErrMs,p95EmpMs,p95ExpMs,p95AbsErrMs,maxMs,p99Ms
DPKI,management,300,272.20434166789056,43.68723642450487,0.16049426749337645,0.8395057325066235,0.5092689165983398,263.9949499964714,188.67767196327438,75.31727803319703,326.32339000105856,626.7736593727428,300.45026937168427,350.39954500794414,815.4513313360169,465.05178632807275,490.4676000475884,390.78606896698466
PKI,management,300,163.9727793329954,20.51198726126533,0.1250938560943073,0.8749061439056927,0.5369030019912977,160.81094998121262,113.65726968324383,47.15368029796879,193.8894099891186,377.5612773489574,183.67186735983879,200.34503497481347,491.218547032201,290.87351205738753,227.6026999950409,216.95305398523809
