mechanism,requestClass,count,meanLatencyMs,medianLatencyMs,p95LatencyMs,stdLatencyMs,meanNormalizedLatencyMs,medianNormalizedLatencyMs,p95NormalizedLatencyMs,stdNormalizedLatencyMs,meanGasUsed,meanTxInputBytes,meanRawTxBytes,meanReceiptLogBytes,meanStateWriteBytesEstimated,meanStatusValidationMs,meanCertVerificationMs,meanCertChecks,meanIssueUpdateMs,meanQueueDelayMs,meanWaitMs,meanInterarrivalMs,meanServiceMs,meanContractExecutionMs
full-contract-onchain,intra-on-chain,500,242.12163500499724,178.7578001022339,644.6064801096913,195.1412615030452,242.12163500499724,178.7578001022339,644.6064801096913,195.1412615030452,357210.866,676,780.744,160,544,0,0,1,0,0,0,0,242.12163500499724,242.12163500499724
full-contract-onchain,cross-on-chain,500,290.7731858019829,193.67924988269806,783.4950499176979,257.1026469061662,290.7731858019829,193.67924988269806,783.4950499176979,257.1026469061662,363276.036,740,844.994,160,544,0,0,2,0,0,0,0,290.7731858019829,290.7731858019829
full-contract-onchain,management,500,386.7141781526765,304.6271982795,861.3322283273935,263.2939969705962,386.7141781526765,304.6271982795,861.3322283273935,263.2939969705962,235687.57,260,364.994,288,288,0,0,0,98.3603983527422,0,0,0,288.3537797999382,288.3537797999382
