epsilon,DPKI_sim,PKI_sim,lambdaTotalMeasured,pManageMeasured,gammaOnChainMeasured,qManageMeasured,muModelOffchainAuthMeasured,lambdaBlockMeasured,lambdaBlockHeightMeasured,lambdaBlockTxConfirmMeanMs,serviceCAs,pkiMuPrimaryAuthMeasured,pkiQManageMeasured,calibrationScope,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,PKI_rho,lambda,runDir,meanBlockMs,configuredLambdaBlock,DPKI_in_bounds,DPKI_minus_lower,DPKI_minus_upper,PKI_abs_error,PKI_signed_error
0.1,0.1128560822727536,,8.346987266882312,0.1,0.19753086419753085,0.3,15.634856345166328,9.996903437325352,11.520278482377897,98.03035571404865,4,1.0,1.0,Fig6 epsilon measured parameters,0.1642613582174263,0.10251281476628973,inf,2.086746816720578,8.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_70_lambda_8_r200,70.0,14.285714285714286,True,0.01034326750646386,-0.0514052759446727,,
0.1,0.10911323728206615,,8.660009787434987,0.1,0.19753086419753085,0.3,16.024064494444133,9.992794555138694,13.379028254225753,98.07066427639552,4,1.0,1.0,Fig6 epsilon measured parameters,0.16262992401885945,0.10043722755998628,inf,2.1650024468587468,8.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_60_lambda_8_r200,60.0,16.666666666666668,True,0.008676009722079867,-0.0535166867367933,,
0.1,0.10700709226278993,,10.849182236681504,0.1,0.19753086419753085,0.3,16.361403767946456,10.047281540498005,11.43640780352251,97.53882142645972,4,1.0,1.0,Fig6 epsilon measured parameters,0.17716255158913854,0.10687846764640932,inf,2.712295559170376,10.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_70_lambda_10_r200,70.0,14.285714285714286,True,0.00012862461638060707,-0.07015545932634862,,
0.1,0.10596901458210319,,9.909081824006083,0.1,0.19753086419753085,0.3,16.206020911639715,11.151932712263383,13.202724040077374,87.87714428390775,4,1.0,1.0,Fig6 epsilon measured parameters,0.1640305091635078,0.10405114160644016,inf,2.477270456001521,10.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_60_lambda_10_r200,60.0,16.666666666666668,True,0.0019178729756630236,-0.058061494581404624,,
0.1,0.12533886532737223,,9.126229606114945,0.1,0.19753086419753085,0.3,15.416136181436976,7.34845622081567,8.454761373308365,133.3613442812647,4,1.0,1.0,Fig6 epsilon measured parameters,0.1971544291021386,0.1079541352489975,inf,2.2815574015287363,10.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_10_r200,100.0,10.0,True,0.01738473007837474,-0.07181556377476636,,
0.1,0.11202170767517698,,12.580278590658178,0.1,0.19753086419753085,0.3,16.347876573375785,10.164920199915313,13.542408592448588,96.41000428199769,4,1.0,1.0,Fig6 epsilon measured parameters,0.19408924065127026,0.11615430628688053,inf,3.1450696476645446,12.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_60_lambda_12_r200,60.0,16.666666666666668,False,-0.00413259861170355,-0.08206753297609327,,
0.1,0.10877665188331438,,11.546564988998142,0.1,0.19753086419753085,0.3,15.859236538986805,10.717699330669086,12.411415601774696,91.43753428459168,4,1.0,1.0,Fig6 epsilon measured parameters,0.18643368931822388,0.1158000412126928,inf,2.8866412472495355,12.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_70_lambda_12_r200,70.0,14.285714285714286,False,-0.007023389329378418,-0.0776570374349095,,
0.1,0.13403141052548975,,12.622035045551556,0.1,0.19753086419753085,0.3,16.10216142851667,7.480153250514278,8.710528268256269,131.01335857425417,4,1.0,1.0,Fig6 epsilon measured parameters,0.22695308331223119,0.11934632597118452,inf,3.155508761387889,12.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_100_lambda_12_r200,100.0,10.0,True,0.014685084554305228,-0.09292167278674143,,
0.1,0.11718301563955964,,12.523925612454054,0.1,0.19753086419753085,0.3,15.75489895291896,9.439050181195766,12.351052138819343,103.82400571959359,4,1.0,1.0,Fig6 epsilon measured parameters,0.2094613358894028,0.12312612123404947,inf,3.1309814031135135,14.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_70_lambda_14_r200,70.0,14.285714285714286,False,-0.0059431055944898226,-0.09227832024984316,,
0.1,0.10598538654911727,,11.875357879495704,0.1,0.19753086419753085,0.3,16.1578776780232,11.520932358756117,13.858596694278415,85.06255999803543,4,1.0,1.0,Fig6 epsilon measured parameters,0.18048153589077248,0.11427865342414953,inf,2.968839469873926,14.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\lambda_experiment\scout_stable_three_lambdap_100_70_60_r200_blockms_60_lambda_14_r200,60.0,16.666666666666668,False,-0.008293266875032262,-0.07449614934165522,,
